	GTEX.ZVZQ.0826.SM.51MRF	GTEX.QVJO.1826.SM.447C9	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DXY.1326.SM.5987Z	GTEX.11OF3.2326.SM.5GU73	GTEX.13VXU.1126.SM.5LU3U	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.139TU.1326.SM.5LZXW	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	GTEX.RN64.1226.SM.2TC6E	GTEX.U3ZH.0526.SM.3DB75	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.12WSD.2326.SM.59HKQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07	GTEX.111VG.0526.SM.5N9BW
TNRC6C	121.79	251.48	36.53	48.52	99.43	265.87	329.84	309.83	289.02	366.09	299.25	234.57	285.03	356.05	201.25	236.21	273.37	309.83	287.01	295.11	161.02	231.32	35.25	41.22	90.77	47.17	22.1	27.84	39.5	48.18	46.18	43.94	51.35	31.67	29.06	45.85	32.59	55.89	48.87	45.21	50.63	54.33	35.5	68.07	75.64	54.33	45.21	45.53	189.02	1.95	5.87	52.08	115.97	100.83	41.81	22.1	19.11	26.67	16.63	43.02	47.17	22.1	29.7	22.43	40.93	45.53	19.39	48.52	36.53	18.16	334.46	361.04	212.78	275.28	267.73	115.16	186.4	175.07	237.86	209.84	226.54	63.45	183.82	63.89	46.84	88.26	115.97	143.01	66.18	106.63	38.67	76.17	99.43	35.76	175.07
TRAM2	303.44	371.22	339.14	264.03	242.88	262.2	297.17	239.52	358.54	432.53	275.28	392.44	264.03	463.65	218.79	348.71	336.79	361.04	234.57	368.65	262.2	316.37	39.5	31.67	48.87	69.52	26.67	19.97	48.52	36.27	41.22	70.51	56.28	47.84	36.27	31.22	56.28	40.36	52.45	49.21	52.45	54.72	35.25	108.9	228.13	68.07	155.5	81.71	301.33	5.5	66.65	121.79	253.23	255.0	28.65	31.22	53.19	28.24	25.72	106.63	77.25	94.67	22.75	45.85	27.44	60.82	26.86	46.18	226.54	157.68	198.47	307.69	312.0	525.39	226.54	285.03	435.55	187.71	260.38	381.68	318.57	255.0	503.95	102.25	91.41	140.04	145.02	273.37	145.02	156.59	80.57	248.0	112.77	60.82	256.78
TRANK1	156.59	423.61	262.2	285.03	693.58	361.04	435.55	460.44	336.79	339.14	271.48	457.25	316.37	325.29	341.51	275.28	371.22	379.04	182.55	323.03	351.14	167.9	50.63	37.59	19.25	44.57	69.52	17.64	28.65	82.29	92.7	133.36	41.52	24.81	38.12	75.11	269.6	78.89	57.49	25.54	93.35	53.57	74.06	45.21	49.91	28.65	52.45	87.65	470.14	3.17	80.57	58.71	114.36	155.5	81.71	53.57	40.07	46.18	88.26	101.54	30.12	80.01	22.43	34.51	64.34	61.68	11.13	102.97	127.89	41.52	148.09	981.29	753.83	743.43	529.06	291.04	277.2	220.32	384.34	563.18	323.03	429.54	295.11	159.9	180.02	232.94	860.08	559.28	148.09	332.14	55.1	209.84	124.37	93.35	563.18
TRIM25	325.29	1277.29	1073.91	890.44	620.67	406.31	679.29	429.54	674.59	665.29	343.89	547.75	444.72	728.11	312.0	802.41	571.05	698.41	571.05	620.67	314.17	384.34	109.66	116.78	155.5	146.03	134.3	151.22	241.19	201.25	231.32	215.77	125.24	190.34	156.59	175.07	187.71	109.66	226.54	189.02	166.73	156.59	133.36	226.54	265.87	149.12	466.88	137.14	511.0	21.47	180.02	242.88	277.2	239.52	341.51	343.89	220.32	177.53	197.09	151.22	234.57	351.14	217.27	314.17	180.02	208.38	389.72	195.72	149.12	267.73	381.68	1781.89	674.59	698.41	497.0	1104.13	587.13	281.09	693.58	251.48	460.44	616.37	521.76	483.38	363.56	536.45	1225.22	343.89	320.8	518.15	253.23	171.45	239.52	118.43	769.69
TRPC6	123.5	106.63	8.25	21.01	36.27	74.06	126.12	343.89	163.28	61.68	50.98	68.07	70.01	80.01	269.6	159.9	234.57	211.31	181.28	303.44	140.04	395.18	8.06	6.46	9.06	14.35	8.19	6.46	6.62	44.25	5.06	20.71	20.26	7.69	10.88	8.45	4.1	65.72	11.91	14.45	12.64	8.85	7.17	18.97	25.72	42.71	947.83	44.25	63.89	3.89	9.63	27.64	78.89	67.59	2.81	0.43	3.92	1.53	0.41	16.63	1.31	3.2	1.69	0.39	0.42	5.45	1.5	3.41	7.57	13.42	55.89	713.11	1605.83	30.78	20.71	18.7	65.26	27.25	60.82	43.32	57.49	26.28	99.43	11.64	17.51	24.46	47.17	59.13	14.24	15.11	181.28	90.14	111.99	104.42	223.41
TTC28	392.44	381.68	59.97	62.12	97.36	251.48	325.29	314.17	346.29	358.54	255.0	287.01	293.07	318.57	199.85	376.41	248.0	305.55	221.86	305.55	177.53	265.87	53.19	54.72	75.11	74.58	21.78	42.41	49.56	94.01	67.59	94.01	102.97	153.34	87.65	57.08	59.13	140.04	70.01	59.13	60.82	92.05	57.08	92.7	153.34	141.02	55.49	81.14	253.23	19.82	77.25	167.9	211.31	260.38	190.34	151.22	129.69	124.37	77.25	147.06	150.17	95.34	154.42	164.42	129.69	115.97	84.04	131.51	64.8	40.93	91.41	934.76	295.11	239.52	214.27	144.01	177.53	133.36	387.02	253.23	336.79	104.42	336.79	117.6	66.18	226.54	287.01	334.46	136.19	186.4	120.1	201.25	220.32	70.01	148.09
USP54	348.71	363.56	791.35	909.17	769.69	371.22	718.08	796.86	429.54	299.25	392.44	500.46	236.21	371.22	291.04	366.09	361.04	532.74	248.0	348.71	660.68	974.5	56.68	234.57	152.28	90.14	93.35	80.01	148.09	60.39	106.63	262.2	74.58	77.25	31.67	182.55	127.0	409.15	98.04	48.87	115.97	116.78	107.38	146.03	178.77	138.1	102.25	115.97	199.85	56.68	599.49	149.12	221.86	209.84	327.56	120.1	287.01	78.34	119.26	181.28	165.57	147.06	127.89	134.3	167.9	80.57	170.25	172.65	66.65	42.41	186.4	872.1	928.3	466.88	559.28	629.35	409.15	775.05	698.41	660.68	595.34	679.29	242.88	921.88	791.35	954.43	493.56	555.41	595.34	397.93	656.11	476.71	974.5	169.07	1313.23
USPL1	299.25	334.46	173.85	260.38	289.02	224.97	293.07	305.55	273.37	277.2	208.38	303.44	312.0	244.57	400.71	223.41	307.69	351.14	181.28	242.88	223.41	371.22	76.17	208.38	110.43	106.63	55.89	53.19	74.06	75.11	78.89	85.22	90.77	127.89	84.04	120.1	101.54	218.79	87.03	146.03	90.14	70.01	88.88	155.5	162.14	108.9	312.0	198.47	273.37	34.51	57.49	170.25	178.77	154.42	209.84	76.17	120.1	94.67	45.85	130.6	87.03	54.72	88.26	82.87	110.43	53.57	120.1	129.69	79.45	145.02	123.5	679.29	346.29	514.56	423.61	187.71	285.03	197.09	305.55	275.28	397.93	155.5	251.48	236.21	141.02	182.55	129.69	169.07	134.3	204.07	78.89	183.82	129.69	115.16	260.38
VGLL3	587.13	144.01	30.56	25.91	57.49	98.73	307.69	285.03	193.01	197.09	89.51	199.85	86.43	212.78	146.03	256.78	277.2	181.28	183.82	316.37	180.02	395.18	1.75	0.37	14.67	3.89	1.41	0.79	4.58	1.17	0.0	0.39	0.46	1.87	1.28	5.11	1.2	0.79	1.55	2.32	2.71	23.76	1.39	4.1	30.34	13.52	38.4	5.68	215.77	0.0	3.26	11.64	49.56	32.59	0.39	1.2	0.39	2.46	0.38	1.85	1.25	7.94	1.64	0.36	0.0	25.72	1.43	0.0	6.73	6.89	48.52	74.06	483.38	221.86	101.54	22.26	79.45	81.71	54.72	329.84	73.03	11.73	679.29	20.86	5.28	19.53	59.97	102.25	69.52	24.28	5.96	115.97	20.71	5.92	143.01
VIPR1	1151.06	1397.83	4268.94	3540.14	2555.58	182.55	40.36	79.45	214.27	178.77	60.39	49.91	33.54	52.45	24.11	59.13	73.54	75.64	49.91	74.58	26.86	147.06	26.1	37.05	30.78	33.78	10.24	24.11	76.71	65.26	27.05	21.47	33.78	38.12	26.67	24.81	19.39	7.0	29.48	25.72	28.04	21.47	40.93	47.5	255.0	34.75	5.28	28.86	26.1	14.03	37.32	33.78	49.56	72.52	12.45	6.67	3.99	3.08	6.67	19.11	12.09	7.82	13.52	2.27	6.89	6.89	4.86	13.12	6.01	43.32	27.05	5076.84	525.39	236.21	218.79	438.59	46.18	514.56	92.05	39.5	400.71	341.51	29.48	529.06	656.11	733.19	185.11	376.41	332.14	476.71	215.77	42.11	988.12	476.71	223.41
WHSC1L1	934.76	941.27	414.87	392.44	620.67	591.22	915.51	860.08	902.89	825.0	669.92	802.41	764.36	915.51	708.18	967.76	830.75	693.58	624.99	921.88	579.04	713.11	417.77	253.23	373.81	387.02	312.0	314.17	180.02	412.0	332.14	397.93	409.15	381.68	346.29	228.13	309.83	420.68	332.14	460.44	316.37	339.14	167.9	361.04	563.18	457.25	555.41	373.81	796.86	173.85	136.19	497.0	532.74	525.39	409.15	173.85	211.31	190.34	186.4	412.0	406.31	224.97	209.84	236.21	301.33	395.18	305.55	329.84	194.36	236.21	260.38	1733.13	1037.29	1313.23	1216.75	775.05	928.3	988.12	759.08	813.63	764.36	866.07	1151.06	684.02	351.14	595.34	753.83	738.29	329.84	651.58	336.79	616.37	470.14	253.23	928.3
XAF1	1015.93	2148.82	733.19	764.36	551.56	1883.54	4181.07	4298.64	3212.66	3901.01	1417.35	2609.3	1963.57	2739.08	988.12	3467.27	2271.4	3928.15	1417.35	2119.22	1605.83	1295.13	134.3	55.89	34.02	183.82	58.71	34.75	148.09	37.59	48.52	165.57	246.28	43.32	82.87	150.17	64.8	59.55	43.94	140.04	98.73	129.69	58.3	68.55	2178.83	140.04	242.88	185.11	3467.27	8.13	20.86	267.73	435.55	129.69	114.36	19.68	105.89	34.26	26.86	201.25	12.45	27.64	47.84	25.17	24.81	99.43	175.07	71.0	854.13	320.8	825.0	2400.97	2451.44	2417.67	1378.57	587.13	1096.5	1127.35	2400.97	1208.34	1151.06	1001.93	2816.11	309.83	316.37	708.18	3081.75	796.86	305.55	1233.75	217.27	575.03	441.64	297.17	1561.89
XG	587.13	281.09	8.0	8.19	3.17	24.63	18.43	35.5	87.03	19.97	13.72	77.25	11.21	156.59	14.14	35.25	14.35	15.45	16.03	19.25	18.56	16.15	1.77	0.0	1.28	0.79	0.47	0.0	0.0	2.36	0.41	1.2	0.0	0.0	1.28	0.79	1.6	2.39	1.57	0.39	0.0	2.39	0.47	0.38	100.83	128.79	4.17	1.91	4.17	0.0	0.41	8.65	20.56	11.38	1.95	0.0	0.0	0.49	0.0	0.38	2.1	0.44	0.0	0.0	0.39	0.0	0.0	0.0	5.63	0.64	9.78	218.79	43.32	47.5	15.8	2.68	12.36	3.72	4.66	98.04	100.13	13.83	191.67	3.72	9.7	47.84	17.51	163.28	82.29	19.25	6.57	190.34	7.88	0.0	97.36
ZBTB1	466.88	460.44	379.04	384.34	476.71	400.71	551.56	450.94	521.76	629.35	406.31	525.39	571.05	616.37	457.25	563.18	441.64	612.11	423.61	518.15	454.09	457.25	220.32	255.0	289.02	256.78	205.5	204.07	249.73	327.56	329.84	341.51	269.6	351.14	329.84	343.89	177.53	366.09	237.86	232.94	420.68	169.07	262.2	460.44	376.41	323.03	417.77	273.37	603.67	603.67	457.25	1059.11	368.65	366.09	289.02	129.69	161.02	121.79	158.79	264.03	183.82	131.51	194.36	251.48	208.38	111.21	303.44	262.2	307.69	145.02	244.57	866.07	842.36	848.22	688.78	493.56	518.15	420.68	417.77	493.56	571.05	327.56	629.35	379.04	256.78	536.45	346.29	403.5	329.84	293.07	329.84	483.38	647.07	215.77	616.37
ZBTB2	366.09	329.84	144.01	147.06	182.55	102.25	130.6	127.89	155.5	138.1	96.68	134.3	130.6	146.03	116.78	139.07	115.16	162.14	164.42	126.12	157.68	175.07	102.97	53.57	49.91	87.65	94.67	60.39	50.27	46.5	72.01	80.01	104.42	60.39	84.04	127.89	64.8	127.89	63.89	79.45	60.82	63.45	70.01	76.71	117.6	102.97	152.28	88.88	183.82	11.21	70.51	73.03	173.85	157.68	102.97	60.82	186.4	110.43	67.59	166.73	92.7	88.26	109.66	84.04	106.63	103.69	122.64	98.73	148.09	61.68	121.79	320.8	201.25	332.14	244.57	193.01	195.72	161.02	295.11	228.13	267.73	220.32	249.73	138.1	138.1	142.01	147.06	143.01	165.57	114.36	220.32	249.73	371.22	165.57	299.25
ZC3H7A	974.5	896.64	500.46	607.87	563.18	890.44	1369.04	1167.14	1183.45	1073.91	1030.12	981.29	1030.12	1313.23	1628.26	1044.52	866.07	1119.56	1066.48	1127.35	1127.35	1304.15	351.14	476.71	432.53	486.75	583.07	629.35	463.65	540.19	599.49	493.56	483.38	633.73	376.41	866.07	414.87	808.0	595.34	493.56	529.06	351.14	323.03	579.04	733.19	559.28	954.43	532.74	1340.84	124.37	341.51	830.75	633.73	674.59	612.11	409.15	532.74	525.39	403.5	555.41	441.64	277.2	320.8	460.44	486.75	400.71	486.75	403.5	620.67	412.0	764.36	1594.73	1322.37	1208.34	1059.11	688.78	733.19	836.53	1059.11	780.44	1030.12	454.09	1001.93	358.54	403.5	507.46	796.86	647.07	669.92	536.45	708.18	785.88	890.44	785.88	981.29
ZCCHC2	248.0	486.75	221.86	164.42	178.77	253.23	323.03	392.44	206.94	281.09	244.57	273.37	173.85	371.22	281.09	258.57	429.54	307.69	291.04	264.03	312.0	412.0	140.04	145.02	112.77	135.24	167.9	68.07	95.34	151.22	109.66	215.77	136.19	108.14	105.89	146.03	136.19	123.5	115.97	108.14	118.43	115.16	132.44	100.83	122.64	81.14	195.72	108.14	275.28	17.64	134.3	121.79	152.28	114.36	96.68	98.04	50.63	54.72	145.02	147.06	142.01	122.64	154.42	94.01	105.89	139.07	166.73	99.43	314.17	151.22	197.09	599.49	454.09	341.51	229.72	159.9	198.47	158.79	291.04	211.31	285.03	241.19	264.03	104.42	98.73	145.02	283.05	236.21	129.69	110.43	237.86	142.01	148.09	154.42	202.66
ZEB1	1191.69	1030.12	118.43	183.82	583.07	486.75	698.41	738.29	669.92	738.29	647.07	688.78	878.17	728.11	684.02	660.68	591.22	656.11	595.34	775.05	473.41	825.0	172.65	28.65	75.11	116.78	58.3	32.13	47.17	40.93	40.36	214.27	125.24	37.59	75.11	58.3	47.5	432.53	42.41	87.65	78.89	69.03	50.98	88.88	381.68	95.34	291.04	134.3	511.0	23.25	21.47	171.45	285.03	332.14	82.87	48.52	32.13	49.56	47.17	164.42	73.54	48.87	25.17	64.34	49.21	95.34	82.87	79.45	187.71	108.9	358.54	802.41	323.03	651.58	1322.37	228.13	651.58	1037.29	2384.37	2796.65	1745.2	177.53	1417.35	126.12	63.45	171.45	684.02	802.41	253.23	234.57	187.71	567.1	293.07	190.34	540.19
ZNF143	511.0	343.89	139.07	228.13	332.14	303.44	301.33	339.14	314.17	297.17	327.56	318.57	497.0	299.25	358.54	343.89	316.37	297.17	301.33	283.05	295.11	384.34	144.01	141.02	138.1	190.34	105.89	102.97	82.29	89.51	85.82	183.82	165.57	150.17	133.36	118.43	134.3	293.07	92.7	142.01	148.09	163.28	144.01	131.51	285.03	314.17	371.22	156.59	327.56	187.71	212.78	191.67	248.0	251.48	182.55	183.82	167.9	119.26	129.69	193.01	159.9	101.54	149.12	117.6	151.22	195.72	136.19	183.82	339.14	187.71	242.88	412.0	361.04	339.14	384.34	211.31	191.67	297.17	301.33	417.77	400.71	293.07	438.59	237.86	271.48	242.88	387.02	351.14	258.57	209.84	166.73	400.71	183.82	202.66	336.79
ZNF148	420.68	341.51	121.79	90.14	167.9	153.34	204.07	159.9	178.77	202.66	194.36	201.25	165.57	242.88	117.6	165.57	149.12	175.07	159.9	199.85	111.21	159.9	106.63	187.71	162.14	140.04	111.21	100.83	48.87	128.79	157.68	175.07	149.12	209.84	100.13	91.41	112.77	150.17	147.06	166.73	154.42	117.6	140.04	295.11	363.56	281.09	198.47	130.6	189.02	70.01	71.0	239.52	305.55	368.65	158.79	122.64	108.9	82.29	90.14	187.71	165.57	79.45	169.07	152.28	97.36	116.78	199.85	108.9	185.11	70.01	82.87	728.11	703.28	277.2	287.01	239.52	185.11	150.17	334.46	303.44	285.03	176.29	420.68	145.02	108.14	134.3	301.33	197.09	157.68	156.59	128.79	195.72	363.56	108.14	251.48
ZNF385D	490.14	125.24	7.88	15.68	7.57	264.03	417.77	514.56	271.48	301.33	532.74	325.29	279.14	356.05	571.05	438.59	332.14	231.32	323.03	176.29	332.14	343.89	23.59	2.68	3.89	10.71	0.99	4.46	8.0	0.82	1.28	36.27	6.16	2.71	4.82	6.46	1.66	3.66	3.99	10.55	1.6	62.56	1.93	2.32	74.06	51.35	167.9	4.86	48.52	1.95	2.94	12.36	116.78	69.03	0.41	82.29	41.81	228.13	3.5	7.22	5.54	28.24	262.2	0.39	4.03	55.89	2.94	14.89	11.47	392.44	55.49	147.06	16.88	82.87	100.83	5.96	65.72	48.52	71.5	155.5	201.25	27.64	713.11	8.06	5.59	11.38	84.04	38.67	51.71	69.03	21.32	223.41	16.88	11.38	51.35
ZNF451	409.15	529.06	181.28	212.78	262.2	309.83	651.58	579.04	466.88	579.04	376.41	432.53	389.72	579.04	583.07	384.34	444.72	493.56	351.14	400.71	336.79	514.56	119.26	187.71	118.43	120.94	63.89	115.16	98.04	108.9	146.03	130.6	145.02	149.12	85.82	121.79	84.63	151.22	131.51	136.19	158.79	104.42	109.66	169.07	262.2	178.77	299.25	137.14	463.65	62.56	104.42	178.77	336.79	217.27	153.34	86.43	101.54	76.17	77.79	148.09	113.56	77.25	137.14	105.89	124.37	89.51	140.04	119.26	540.19	194.36	206.94	483.38	457.25	591.22	463.65	379.04	305.55	271.48	507.46	395.18	363.56	241.19	332.14	309.83	198.47	279.14	307.69	293.07	287.01	220.32	172.65	211.31	260.38	191.67	420.68
