	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CR.7369.01A.11R.2132.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.BA.5152.01A.02R.1873.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.BQ.5875.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.DW.7837.01A.11R.2139.07	TCGA.B9.5155.01A.01R.1592.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.BR.7715.01A.11R.2055.13	TCGA.CG.5726.01A.11R.1602.13	TCGA.CG.4441.01A.01R.1802.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.CD.5813.01A.11R.1602.13	TCGA.D7.6528.01A.11R.1802.13	GTEX.117YW.2226.SM.5N9DB	GTEX.1399T.0126.SM.5KM15
WDR96	3.38	15.56	1.64	4.35	0.6	1.95	2.76	2.27	1.33	2.94	1.75	2.76	5.87	1.01	6.52	22.75	51.71	41.22	189.02	7.11	43.63	82.29	53.57	154.42	63.89	134.3	17.25	46.84	189.02	29.06	193.01	106.63	63.45	153.34	239.52	18.7	134.3	76.71	66.18	151.22	435.55	27.44	95.34	59.55	56.28	42.11	66.18	67.59	47.84	69.52	40.93	143.01	30.56	139.07	146.03	42.11	149.12	65.26	237.86	40.64	81.71	176.29	150.17	234.57	25.72	29.91	72.01	186.4	42.11	15.91	44.57	40.36	24.63	38.67	221.86	57.08	195.72	74.06	11.91	29.06	13.42	45.85	27.64	109.66	64.34	38.67	102.97	97.36	75.64	221.86	163.28	23.59	87.65	181.28	78.89	12.09	191.67	190.34	16.51	40.93	42.11	19.97	81.71	89.51	27.05	212.78	17.0	59.55	130.6	0.0	0.0	4.43	4.7	1.27	5.68	4.35	17.13	26.1	9.48	13.42	1.6	5.82	11.3	5.28	4.94	5.96	281.09
ZC2HC1C	26.86	69.52	47.17	8.45	13.03	9.93	71.5	9.63	15.8	18.84	37.05	26.47	63.45	341.51	559.28	351.14	139.07	72.52	161.02	92.05	279.14	241.19	167.9	183.82	389.72	361.04	109.66	133.36	289.02	166.73	518.15	267.73	164.42	226.54	283.05	312.0	318.57	226.54	183.82	231.32	289.02	260.38	239.52	141.02	164.42	157.68	150.17	198.47	178.77	194.36	161.02	186.4	115.97	249.73	361.04	273.37	172.65	125.24	190.34	169.07	228.13	277.2	307.69	246.28	161.02	132.44	159.9	267.73	134.3	87.65	193.01	163.28	193.01	271.48	244.57	100.83	149.12	156.59	149.12	116.78	135.24	239.52	109.66	185.11	193.01	169.07	232.94	119.26	166.73	221.86	341.51	251.48	209.84	218.79	185.11	110.43	273.37	271.48	169.07	120.1	202.66	177.53	242.88	236.21	182.55	186.4	129.69	189.02	244.57	0.0	0.01	5.45	97.36	29.48	30.12	92.7	95.34	78.34	95.34	50.63	104.42	72.52	68.07	34.26	130.6	26.28	507.46
ZCCHC4	99.43	215.77	100.13	60.82	76.17	75.64	89.51	82.29	37.85	100.13	80.01	53.95	80.57	149.12	172.65	112.77	138.1	90.77	152.28	78.89	105.89	154.42	118.43	166.73	150.17	130.6	102.25	88.26	173.85	96.01	178.77	120.94	137.14	182.55	231.32	98.04	112.77	123.5	93.35	127.89	201.25	69.03	127.0	102.25	147.06	88.88	119.26	115.97	133.36	151.22	128.79	173.85	61.25	224.97	129.69	156.59	133.36	125.24	121.79	139.07	147.06	127.89	141.02	197.09	116.78	75.64	158.79	126.12	124.37	92.05	115.16	124.37	100.83	105.89	156.59	131.51	155.5	145.02	37.59	87.03	103.69	133.36	69.03	124.37	134.3	85.22	147.06	123.5	104.42	153.34	143.01	90.14	172.65	163.28	127.0	68.07	120.94	162.14	64.8	95.34	76.71	55.49	142.01	135.24	92.05	170.25	136.19	128.79	145.02	0.0	0.22	82.29	115.16	152.28	71.0	114.36	59.97	109.66	79.45	101.54	95.34	58.3	72.01	62.56	78.89	59.55	169.07
ZKSCAN7	142.01	75.11	8.99	8.19	5.77	2.01	31.22	2.34	3.32	18.7	28.65	4.39	47.17	41.22	38.4	29.06	49.91	16.88	16.03	25.72	37.32	66.65	42.71	74.58	24.81	80.57	24.11	6.01	82.87	30.12	96.01	42.11	90.77	119.26	76.71	41.22	63.45	40.36	54.72	66.65	169.07	5.11	63.45	4.06	23.76	18.97	88.26	100.13	81.14	67.12	66.65	72.01	18.16	70.01	96.01	29.7	72.01	27.05	142.01	70.01	98.73	120.94	84.63	78.89	15.0	28.04	77.25	80.57	66.65	8.0	111.99	59.97	25.35	48.87	66.65	49.56	84.04	39.79	19.11	29.27	35.76	21.47	6.84	64.34	34.26	30.12	45.85	88.88	52.82	90.14	66.65	80.57	117.6	72.01	64.8	10.24	91.41	136.19	17.38	13.52	21.47	29.91	36.01	41.81	7.17	128.79	21.78	23.93	88.26	0.0	0.15	10.39	23.59	15.0	37.59	27.05	10.08	4.35	38.67	3.72	12.0	11.04	27.84	61.25	2.86	0.0	108.14
ZNF19	88.26	108.14	13.72	9.13	21.94	11.47	27.84	7.34	15.56	17.13	12.74	5.11	43.02	52.45	88.88	108.9	204.07	69.03	217.27	55.89	128.79	205.5	100.13	171.45	231.32	228.13	77.25	130.6	314.17	92.7	209.84	271.48	206.94	518.15	312.0	122.64	289.02	199.85	171.45	307.69	493.56	78.89	206.94	45.85	285.03	177.53	178.77	187.71	351.14	149.12	158.79	214.27	115.16	271.48	314.17	246.28	275.28	129.69	403.5	206.94	299.25	197.09	249.73	420.68	85.22	81.14	291.04	220.32	197.09	102.97	249.73	165.57	108.14	107.38	450.94	100.83	325.29	97.36	38.12	141.02	42.11	185.11	83.45	171.45	135.24	111.21	180.02	320.8	201.25	343.89	327.56	108.14	262.2	329.84	195.72	67.12	177.53	299.25	48.18	100.83	94.67	116.78	166.73	116.78	136.19	343.89	96.68	163.28	432.53	0.0	0.2	14.78	12.74	21.63	16.88	14.14	25.72	49.91	65.72	25.72	55.1	40.07	26.1	41.52	53.19	10.88	325.29
ZNF214	23.25	18.16	23.25	3.08	5.15	6.06	13.62	0.0	0.95	9.48	8.38	2.76	24.99	10.47	49.91	14.35	53.95	34.75	96.01	46.5	38.12	49.91	17.13	32.82	67.12	59.55	13.03	53.57	105.15	59.97	100.83	47.84	48.18	82.87	84.63	50.98	52.82	37.05	58.71	64.8	91.41	47.17	38.95	36.01	51.35	21.16	56.28	45.21	61.68	58.71	33.54	51.35	19.11	73.03	50.27	74.06	53.19	46.18	53.57	41.81	87.65	48.52	38.95	72.52	45.53	14.78	96.01	59.97	114.36	26.47	81.71	60.82	44.25	38.4	83.45	26.1	56.68	34.26	10.96	40.93	37.32	44.57	47.17	51.35	40.93	31.22	71.5	76.71	48.52	90.77	72.01	42.71	49.21	54.33	46.18	12.27	37.05	62.12	21.16	35.76	43.63	58.3	43.32	21.63	28.04	81.14	62.12	69.03	101.54	0.0	0.13	0.95	15.8	15.8	11.47	20.56	21.32	38.95	13.62	21.16	17.38	6.26	23.42	23.93	17.64	0.0	101.54
ZNF287	68.07	132.44	23.93	12.18	52.08	18.56	84.63	9.06	10.16	16.63	55.49	39.5	73.03	51.71	153.34	136.19	147.06	54.72	63.0	71.5	72.52	206.94	163.28	95.34	62.12	353.59	111.99	96.68	387.02	178.77	346.29	105.15	81.71	248.0	195.72	70.01	246.28	209.84	129.69	119.26	186.4	57.08	199.85	30.56	55.49	186.4	71.5	162.14	182.55	279.14	163.28	80.01	46.18	239.52	137.14	178.77	76.71	87.65	170.25	128.79	223.41	228.13	120.1	297.17	20.86	119.26	127.0	191.67	60.82	127.89	142.01	134.3	191.67	124.37	186.4	78.34	63.45	57.49	104.42	44.25	208.38	234.57	39.5	161.02	64.8	185.11	137.14	136.19	201.25	186.4	195.72	129.69	202.66	226.54	218.79	220.32	226.54	153.34	131.51	59.97	43.63	96.01	275.28	267.73	56.68	191.67	133.36	148.09	191.67	0.0	0.0	30.56	74.06	113.56	80.57	145.02	33.06	3.17	96.68	43.02	73.03	24.11	130.6	94.67	37.59	6.57	75.11
ZNF334	102.25	50.27	34.26	1.27	1.28	1.91	16.39	1.27	9.56	18.56	17.51	7.22	42.11	9.41	9.48	141.02	176.29	61.25	214.27	114.36	82.29	303.44	57.49	237.86	154.42	175.07	30.78	9.85	381.68	31.67	341.51	111.99	154.42	334.46	279.14	51.71	209.84	128.79	152.28	123.5	500.46	38.12	145.02	65.72	77.79	35.5	152.28	201.25	172.65	68.07	156.59	220.32	11.91	299.25	101.54	155.5	108.9	52.82	197.09	249.73	177.53	351.14	173.85	432.53	35.25	17.51	197.09	229.72	106.63	50.27	113.56	64.34	105.89	43.32	323.03	133.36	158.79	92.7	3.08	35.5	55.49	90.14	19.39	173.85	111.21	105.15	132.44	92.05	135.24	236.21	171.45	55.49	318.57	193.01	153.34	43.02	133.36	139.07	46.84	56.28	66.18	96.68	215.77	84.04	77.79	444.72	59.13	90.77	353.59	0.0	0.43	8.32	2.1	16.15	38.12	5.73	20.71	2.01	27.44	2.03	7.22	6.46	163.28	71.0	2.58	0.0	353.59
ZNF33B	127.89	69.52	74.58	31.67	82.87	30.78	88.88	25.17	37.05	75.64	45.85	40.36	151.22	104.42	113.56	226.54	265.87	229.72	579.04	132.44	224.97	255.0	120.94	480.04	180.02	239.52	125.24	185.11	287.01	363.56	373.81	206.94	269.6	343.89	295.11	486.75	341.51	236.21	423.61	353.59	368.65	295.11	229.72	157.68	356.05	94.67	728.11	267.73	256.78	260.38	229.72	323.03	90.14	351.14	234.57	231.32	316.37	406.31	379.04	289.02	361.04	414.87	229.72	295.11	258.57	55.89	400.71	255.0	529.06	271.48	316.37	287.01	187.71	201.25	239.52	191.67	454.09	220.32	22.1	206.94	134.3	148.09	239.52	212.78	299.25	220.32	299.25	426.57	271.48	417.77	271.48	361.04	283.05	327.56	239.52	77.79	241.19	346.29	277.2	249.73	420.68	234.57	262.2	135.24	341.51	366.09	305.55	129.69	493.56	0.0	0.16	57.89	43.02	74.58	56.28	52.45	73.03	170.25	92.05	84.04	144.01	62.56	154.42	45.21	158.79	57.49	363.56
ZNF396	48.52	82.29	26.47	6.57	27.64	9.85	13.83	6.57	7.22	8.13	12.83	10.63	53.95	28.65	97.36	47.84	45.21	36.53	74.06	27.44	91.41	108.14	67.12	129.69	60.39	131.51	50.27	57.89	135.24	50.63	146.03	98.73	73.03	171.45	175.07	68.55	118.43	103.69	111.21	127.89	137.14	25.91	269.6	29.27	48.52	53.95	108.9	110.43	108.14	151.22	74.06	130.6	50.98	121.79	142.01	120.94	139.07	82.87	148.09	41.81	190.34	64.34	107.38	148.09	75.11	27.84	131.51	127.89	144.01	37.85	149.12	94.67	70.51	169.07	221.86	84.04	125.24	93.35	6.26	80.01	47.5	105.89	65.72	109.66	89.51	44.57	118.43	194.36	111.21	128.79	154.42	103.69	183.82	167.9	73.54	16.88	137.14	127.0	98.04	49.91	77.79	120.94	87.65	90.14	37.32	124.37	63.45	63.0	152.28	0.0	0.06	8.19	4.1	12.93	18.84	8.99	17.25	1.0	30.78	32.59	32.82	15.34	26.28	27.64	16.51	8.32	169.07
ZNF428	595.34	457.25	343.89	265.87	277.2	356.05	842.36	279.14	529.06	480.04	426.57	320.8	674.59	698.41	1199.98	836.53	813.63	1023.0	521.76	583.07	921.88	1295.13	708.18	1794.29	830.75	1721.16	764.36	808.0	1250.98	1199.98	2319.15	1066.48	947.83	1498.22	1066.48	728.11	1457.23	1806.78	1883.54	1617.0	928.3	1540.37	1529.73	934.76	848.22	1208.34	1023.0	1135.2	1073.91	1073.91	981.29	1037.29	764.36	1286.18	1167.14	995.0	1369.04	928.3	866.07	796.86	748.61	2271.4	1583.71	1950.0	748.61	796.86	780.44	1745.2	1277.29	1467.37	981.29	808.0	1143.1	808.0	1617.0	1304.15	1369.04	1199.98	1794.29	1127.35	1369.04	1183.45	1427.22	1427.22	1733.13	1322.37	921.88	934.76	1008.9	1331.57	1417.35	1216.75	1037.29	1242.34	1519.15	764.36	1477.58	1487.87	764.36	1127.35	1674.06	1081.39	1199.98	1388.16	1883.54	1721.16	559.28	748.61	1088.92	351.14	1709.26	651.58	785.88	813.63	928.3	802.41	884.29	698.41	629.35	547.75	493.56	703.28	665.29	1066.48	348.71	429.54	1477.58
ZNF487	84.04	33.3	42.71	25.91	73.03	87.03	67.59	23.93	37.05	42.41	56.28	64.8	38.95	58.71	32.82	75.64	90.77	117.6	132.44	54.72	142.01	194.36	56.68	281.09	120.1	262.2	67.12	172.65	269.6	116.78	283.05	177.53	133.36	175.07	198.47	106.63	166.73	167.9	187.71	217.27	297.17	171.45	144.01	135.24	127.0	123.5	163.28	111.99	154.42	146.03	124.37	172.65	51.35	255.0	149.12	165.57	201.25	151.22	163.28	149.12	186.4	209.84	134.3	236.21	104.42	35.0	132.44	136.19	154.42	102.25	125.24	89.51	86.43	88.26	187.71	134.3	236.21	113.56	40.36	67.12	52.45	124.37	135.24	106.63	134.3	84.04	172.65	154.42	123.5	277.2	198.47	140.04	165.57	148.09	124.37	55.1	189.02	153.34	85.22	108.9	71.0	81.71	169.07	112.77	103.69	212.78	125.24	127.0	217.27	0.0	0.09	15.68	72.52	88.26	55.89	148.09	55.89	85.22	69.03	38.12	39.22	57.49	45.53	47.84	102.25	30.12	395.18
ZNF660	22.92	36.79	3.11	1.03	7.75	2.68	11.55	0.0	2.89	7.46	6.89	1.22	16.27	5.32	3.23	15.11	28.45	26.28	36.01	8.0	19.97	27.25	22.43	43.02	18.03	29.27	15.45	1.68	29.06	22.26	33.3	13.32	43.02	57.89	27.05	3.96	26.86	14.67	62.56	20.41	90.77	0.8	54.72	0.53	11.13	5.63	40.07	37.32	28.65	20.11	21.94	27.44	7.69	32.36	21.47	19.97	25.72	17.0	37.85	28.04	32.59	49.91	26.47	35.76	10.96	10.79	32.82	38.95	21.63	1.28	44.89	15.8	26.47	11.13	15.34	24.63	35.25	17.38	5.54	21.16	25.35	11.55	16.15	36.79	12.64	14.14	23.93	28.45	21.47	32.13	22.59	30.12	43.02	29.48	28.45	8.0	29.91	40.64	21.16	1.95	7.69	27.84	8.32	38.4	8.19	38.95	30.34	22.92	31.22	0.0	0.13	3.69	3.69	8.25	6.11	4.39	4.82	1.0	12.74	1.01	5.02	2.53	18.29	8.99	2.36	1.43	33.78
ZNF709	42.41	21.01	4.5	2.68	19.53	5.06	15.34	2.68	3.23	9.93	8.32	3.76	28.24	19.11	19.97	13.72	39.22	27.64	41.81	8.32	20.86	44.57	17.51	61.25	25.91	36.27	17.51	8.58	58.71	35.76	55.49	38.67	32.59	48.18	82.87	21.63	37.59	29.06	49.56	48.18	48.52	13.93	38.4	12.45	20.41	21.47	40.64	35.25	24.46	40.36	36.01	38.95	12.64	45.53	40.93	34.51	46.84	34.75	43.94	28.86	48.18	100.83	37.05	44.57	23.59	13.52	41.22	53.95	64.34	21.47	60.39	29.91	32.13	25.72	48.18	43.02	61.68	41.52	6.62	24.99	10.47	29.27	22.75	45.85	36.01	20.26	49.91	36.53	39.5	55.1	43.63	44.57	46.18	45.53	33.54	26.86	31.0	60.39	40.36	25.54	24.28	42.71	33.3	23.42	28.45	40.36	46.84	25.17	51.35	0.0	0.17	8.45	7.4	44.25	7.94	19.25	11.38	9.41	28.45	12.09	11.13	8.65	15.68	16.75	10.55	24.81	82.29
