	TCGA.BH.A1EU.01A.11R.A137.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.A3.A8OV.01A.11R.A37O.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.B0.5812.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4330.01A.01R.1289.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B2.A4SR.01A.11R.A266.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.A3.3378.01A.02R.1325.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4161.01A.02R.1325.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.BP.4169.01A.02R.1289.07	TCGA.B0.4827.01A.02R.1420.07	TCGA.CZ.5459.01A.01R.1503.07	TCGA.CZ.5988.01A.11R.1672.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.MW.A4EC.01A.11R.A266.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.B8.4143.01A.01R.1188.07	TCGA.A3.A8OU.01A.11R.A37O.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.A3.3387.01A.01R.1541.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.AK.3461.01A.02R.1277.07	TCGA.CZ.5460.01A.01R.1503.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B0.5110.01A.01R.1420.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B0.5703.01A.11R.1541.07	TCGA.BP.4354.01A.02R.1289.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.B0.5113.01A.01R.1420.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.BP.4162.01A.02R.1325.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.B0.5115.01A.01R.1420.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.B0.4838.01A.01R.1305.07	TCGA.BP.4347.01A.01R.1289.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.A3.3367.01A.02R.1420.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.B8.5552.01B.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.BP.4789.01A.01R.1305.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4639.01A.02R.1325.07	TCGA.CZ.5451.01A.01R.1503.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07
SASS6	80.57	114.36	44.25	16.75	34.75	53.19	53.19	31.0	39.79	38.12	36.79	50.27	49.91	27.25	34.02	40.36	43.32	33.54	19.11	64.8	62.56	38.67	21.32	44.89	34.75	52.45	23.93	35.25	52.45	36.01	23.93	16.27	25.91	47.17	43.63	17.25	23.93	14.56	40.64	28.65	24.28	21.16	54.33	31.45	43.94	30.12	47.5	35.25	38.95	32.82	36.53	45.53	25.91	29.06	20.11	41.81	44.57	22.1	22.43	45.85	26.28	22.26	44.25	48.87	32.59	32.82	28.04	57.49	58.3	32.82	33.78	39.22	29.7	22.1	38.4	38.12	36.27	37.85	33.54	23.76	18.56	49.21	66.65	56.28	33.54	31.0	38.4	52.82	4.62	38.12	31.67	35.0	29.06	28.45	45.85	40.93	46.18	37.32	42.71	36.27	35.25	58.3	30.56	24.99	40.64	28.45	18.84	28.24	17.51	43.32	40.07	30.12	31.45	46.84	29.91	39.79	27.44	46.84	35.0	18.7	26.28	38.4	22.43	2.58	11.13	10.31	4.98
SCAF11	1832.01	2104.58	575.03	638.15	647.07	1216.75	813.63	769.69	669.92	587.13	954.43	1216.75	1508.65	981.29	995.0	638.15	1286.18	693.58	532.74	1477.58	1216.75	866.07	476.71	954.43	595.34	1081.39	718.08	684.02	1023.0	638.15	819.3	785.88	571.05	1127.35	1119.56	536.45	669.92	432.53	1119.56	559.28	563.18	753.83	1059.11	753.83	808.0	480.04	1250.98	599.49	866.07	1167.14	660.68	620.67	825.0	693.58	647.07	529.06	1199.98	638.15	1044.52	1208.34	830.75	995.0	1685.71	1208.34	583.07	718.08	624.99	1498.22	1008.9	723.08	1313.23	842.36	1183.45	571.05	743.43	723.08	693.58	1397.83	1037.29	884.29	507.46	872.1	928.3	753.83	1037.29	371.22	1397.83	1191.69	329.84	842.36	624.99	954.43	633.73	486.75	708.18	559.28	624.99	665.29	954.43	1030.12	1081.39	1059.11	808.0	941.27	1199.98	559.28	651.58	1088.92	490.14	665.29	688.78	830.75	679.29	583.07	796.86	866.07	555.41	954.43	493.56	764.36	341.51	633.73	301.33	70.51	172.65	318.57	117.6
SCLT1	130.6	171.45	108.14	62.56	77.25	129.69	106.63	85.82	70.01	91.41	153.34	116.78	119.26	117.6	129.69	107.38	141.02	81.14	62.56	152.28	162.14	132.44	66.18	101.54	85.22	177.53	70.01	85.82	128.79	99.43	78.34	53.95	74.58	140.04	118.43	57.08	59.13	63.0	152.28	88.26	81.14	144.01	111.99	90.77	140.04	113.56	104.42	105.15	100.83	139.07	81.14	84.63	111.99	98.04	66.65	95.34	112.77	98.73	80.01	135.24	88.88	87.03	162.14	110.43	93.35	92.7	67.59	109.66	178.77	115.16	129.69	143.01	185.11	102.97	137.14	105.89	90.77	127.89	124.37	72.52	57.08	148.09	79.45	127.89	90.77	88.26	87.65	144.01	52.82	84.04	88.26	47.84	57.08	75.64	126.12	117.6	146.03	86.43	65.72	96.68	146.03	113.56	77.25	69.52	125.24	98.73	90.77	68.07	57.08	145.02	80.01	69.03	87.03	98.73	66.18	108.14	42.11	123.5	108.14	81.71	63.0	127.0	57.49	15.56	34.26	28.04	9.63
SENP1	414.87	412.0	134.3	116.78	76.17	194.36	187.71	127.89	144.01	105.89	173.85	172.65	260.38	161.02	171.45	117.6	201.25	138.1	69.52	271.48	307.69	129.69	94.67	161.02	92.05	208.38	115.16	103.69	170.25	84.63	122.64	158.79	99.43	185.11	164.42	102.25	125.24	65.26	175.07	93.35	86.43	111.21	145.02	94.67	169.07	119.26	228.13	110.43	145.02	151.22	121.79	114.36	121.79	115.97	109.66	125.24	193.01	98.73	166.73	239.52	151.22	148.09	256.78	165.57	105.89	163.28	122.64	177.53	246.28	105.15	202.66	112.77	190.34	78.34	146.03	111.99	113.56	256.78	170.25	121.79	109.66	181.28	166.73	153.34	171.45	110.43	195.72	172.65	41.81	109.66	119.26	152.28	98.04	91.41	99.43	78.34	128.79	123.5	120.1	189.02	186.4	173.85	113.56	171.45	199.85	111.99	119.26	156.59	92.05	124.37	134.3	127.89	121.79	110.43	96.01	119.26	120.94	147.06	119.26	94.01	85.22	155.5	38.4	23.42	47.17	42.41	22.59
SKIL	866.07	493.56	595.34	208.38	111.21	616.37	669.92	343.89	363.56	309.83	603.67	403.5	543.96	236.21	356.05	329.84	457.25	193.01	82.87	629.35	525.39	392.44	167.9	368.65	164.42	738.29	256.78	121.79	669.92	94.67	195.72	139.07	214.27	728.11	563.18	218.79	248.0	173.85	612.11	303.44	246.28	493.56	275.28	283.05	316.37	258.57	567.1	251.48	356.05	500.46	269.6	406.31	242.88	167.9	189.02	265.87	988.12	187.71	361.04	759.08	323.03	260.38	490.14	470.14	130.6	316.37	237.86	483.38	387.02	285.03	543.96	232.94	432.53	125.24	368.65	224.97	191.67	432.53	323.03	187.71	432.53	547.75	353.59	493.56	555.41	332.14	381.68	447.82	47.17	212.78	295.11	339.14	211.31	193.01	291.04	221.86	291.04	249.73	187.71	595.34	543.96	466.88	148.09	507.46	607.87	343.89	277.2	285.03	117.6	229.72	201.25	260.38	190.34	289.02	176.29	356.05	348.71	656.11	253.23	161.02	195.72	351.14	110.43	39.5	62.56	38.95	42.11
SKP2	217.27	429.54	466.88	66.65	66.65	125.24	98.04	107.38	157.68	80.57	83.45	90.77	178.77	101.54	118.43	102.25	164.42	84.63	76.17	285.03	209.84	136.19	70.51	136.19	103.69	148.09	109.66	82.29	158.79	98.04	84.63	120.94	121.79	150.17	110.43	63.0	68.55	42.11	87.03	151.22	72.52	50.27	116.78	105.89	108.14	95.34	157.68	111.21	127.0	88.88	80.57	74.06	63.89	96.68	70.51	96.68	130.6	106.63	68.55	151.22	55.1	49.21	151.22	112.77	66.65	208.38	98.04	125.24	172.65	90.14	71.0	111.21	128.79	70.01	152.28	120.94	81.71	115.97	96.68	73.03	87.65	163.28	115.16	120.94	134.3	81.71	92.05	140.04	13.52	111.99	83.45	121.79	62.12	91.41	139.07	129.69	118.43	139.07	107.38	127.0	136.19	176.29	111.21	51.71	114.36	83.45	55.49	96.68	59.55	109.66	149.12	128.79	72.01	116.78	78.34	108.14	73.03	131.51	113.56	89.51	80.01	99.43	57.08	32.82	24.63	64.8	64.34
SLC10A7	151.22	341.51	220.32	90.77	81.14	194.36	137.14	134.3	106.63	108.9	131.51	177.53	161.02	129.69	169.07	124.37	171.45	124.37	66.65	209.84	159.9	102.25	55.1	143.01	146.03	159.9	96.01	79.45	159.9	130.6	91.41	87.03	99.43	291.04	170.25	90.14	107.38	62.12	137.14	130.6	75.11	79.45	102.97	94.01	156.59	132.44	169.07	86.43	138.1	175.07	87.03	142.01	106.63	121.79	88.26	85.22	167.9	65.72	111.99	193.01	144.01	108.14	208.38	229.72	86.43	112.77	81.14	172.65	180.02	119.26	137.14	80.01	206.94	118.43	132.44	131.51	106.63	148.09	148.09	74.58	65.26	136.19	109.66	149.12	148.09	90.14	115.16	135.24	43.63	136.19	70.51	103.69	107.38	102.97	104.42	90.14	97.36	118.43	74.58	186.4	129.69	129.69	148.09	95.34	154.42	109.66	63.45	177.53	103.69	102.97	89.51	102.97	81.71	95.34	133.36	80.01	65.26	127.0	116.78	79.45	43.02	79.45	51.35	56.28	20.86	42.41	67.59
SLC25A36	1733.13	1540.37	329.84	327.56	536.45	1088.92	791.35	890.44	473.41	764.36	753.83	915.51	1369.04	356.05	1175.27	759.08	1088.92	748.61	371.22	995.0	1457.23	872.1	633.73	860.08	775.05	642.59	860.08	327.56	1015.93	312.0	400.71	503.95	915.51	1175.27	813.63	483.38	688.78	157.68	684.02	525.39	389.72	507.46	1059.11	718.08	693.58	656.11	1350.18	603.67	947.83	961.07	532.74	748.61	483.38	785.88	435.55	595.34	825.0	647.07	412.0	1066.48	688.78	624.99	967.76	2255.7	320.8	813.63	514.56	947.83	954.43	775.05	842.36	563.18	595.34	521.76	1023.0	954.43	529.06	743.43	511.0	842.36	660.68	728.11	995.0	607.87	842.36	563.18	1662.49	1216.75	366.09	599.49	521.76	1199.98	575.03	454.09	2384.37	684.02	1015.93	638.15	848.22	947.83	1191.69	1081.39	373.81	941.27	1119.56	669.92	395.18	624.99	384.34	769.69	483.38	759.08	521.76	633.73	748.61	532.74	638.15	981.29	728.11	743.43	473.41	813.63	312.0	116.78	228.13	11.47	8.71
SLFN11	525.39	1457.23	13.52	318.57	221.86	514.56	551.56	384.34	559.28	348.71	995.0	866.07	1519.15	1250.98	854.13	444.72	981.29	521.76	348.71	947.83	941.27	595.34	320.8	1250.98	543.96	988.12	759.08	728.11	457.25	620.67	156.59	759.08	497.0	567.1	1340.84	267.73	325.29	384.34	1331.57	616.37	409.15	532.74	612.11	476.71	555.41	343.89	674.59	309.83	647.07	708.18	708.18	490.14	529.06	409.15	271.48	921.88	764.36	563.18	802.41	961.07	1350.18	332.14	1457.23	819.3	457.25	397.93	246.28	830.75	872.1	497.0	718.08	583.07	802.41	466.88	438.59	438.59	928.3	733.19	759.08	540.19	460.44	1081.39	1119.56	1066.48	928.3	674.59	473.41	866.07	20.41	273.37	624.99	612.11	242.88	215.77	836.53	400.71	890.44	271.48	293.07	616.37	842.36	878.17	679.29	511.0	1073.91	376.41	346.29	567.1	497.0	316.37	579.04	521.76	211.31	320.8	432.53	813.63	450.94	384.34	473.41	830.75	130.6	500.46	23.93	105.89	3.47	14.89	28.45
SLFN12	281.09	423.61	7.06	151.22	100.13	208.38	198.47	228.13	99.43	136.19	187.71	368.65	249.73	98.73	239.52	109.66	283.05	138.1	45.85	265.87	256.78	190.34	148.09	167.9	109.66	244.57	116.78	97.36	249.73	98.04	150.17	119.26	181.28	339.14	264.03	124.37	114.36	30.12	218.79	110.43	83.45	148.09	223.41	221.86	152.28	145.02	251.48	104.42	199.85	162.14	73.54	162.14	50.27	98.04	88.88	132.44	293.07	108.14	98.04	327.56	125.24	98.04	293.07	199.85	94.67	89.51	141.02	255.0	253.23	126.12	253.23	226.54	226.54	137.14	269.6	144.01	130.6	239.52	314.17	108.9	146.03	291.04	109.66	226.54	232.94	120.94	173.85	255.0	7.46	133.36	100.83	229.72	94.01	76.17	173.85	136.19	171.45	94.67	201.25	234.57	312.0	295.11	155.5	152.28	226.54	139.07	76.71	135.24	139.07	163.28	28.86	147.06	169.07	150.17	67.12	162.14	84.04	283.05	180.02	107.38	163.28	158.79	26.67	19.25	22.59	24.63	7.75
SMC4	836.53	934.76	2627.46	187.71	189.02	414.87	540.19	267.73	429.54	312.0	441.64	463.65	447.82	332.14	571.05	314.17	457.25	262.2	242.88	543.96	854.13	480.04	237.86	529.06	220.32	387.02	483.38	189.02	486.75	163.28	325.29	193.01	224.97	483.38	409.15	159.9	312.0	118.43	507.46	395.18	312.0	220.32	866.07	277.2	303.44	283.05	612.11	323.03	283.05	387.02	307.69	281.09	426.57	273.37	237.86	466.88	420.68	232.94	242.88	532.74	314.17	325.29	684.02	246.28	363.56	540.19	204.07	470.14	660.68	320.8	503.95	718.08	656.11	406.31	500.46	318.57	327.56	486.75	409.15	236.21	361.04	825.0	447.82	450.94	447.82	497.0	463.65	575.03	38.12	305.55	381.68	366.09	191.67	343.89	543.96	376.41	470.14	325.29	400.71	343.89	684.02	575.03	182.55	514.56	417.77	336.79	297.17	249.73	186.4	406.31	387.02	363.56	444.72	563.18	267.73	403.5	318.57	395.18	417.77	277.2	497.0	620.67	103.69	19.82	48.87	69.03	32.36
SMCHD1	796.86	642.59	193.01	121.79	120.94	334.46	267.73	197.09	104.42	164.42	283.05	376.41	223.41	180.02	361.04	201.25	353.59	229.72	82.29	289.02	387.02	348.71	117.6	301.33	81.14	463.65	120.1	175.07	229.72	117.6	167.9	76.71	140.04	353.59	412.0	133.36	159.9	76.71	371.22	91.41	130.6	159.9	320.8	113.56	220.32	239.52	267.73	202.66	309.83	450.94	189.02	170.25	114.36	189.02	88.88	185.11	348.71	124.37	175.07	368.65	141.02	220.32	417.77	363.56	145.02	103.69	102.25	423.61	420.68	232.94	325.29	209.84	420.68	119.26	267.73	249.73	197.09	363.56	277.2	146.03	156.59	277.2	287.01	271.48	348.71	108.9	221.86	414.87	34.02	111.99	149.12	143.01	95.34	151.22	423.61	169.07	291.04	147.06	164.42	336.79	303.44	379.04	197.09	140.04	356.05	155.5	132.44	142.01	90.14	215.77	100.83	197.09	143.01	194.36	154.42	175.07	100.13	277.2	194.36	151.22	137.14	147.06	27.64	16.27	52.08	55.89	22.92
SMURF1	395.18	435.55	503.95	202.66	229.72	339.14	305.55	279.14	205.5	293.07	314.17	283.05	718.08	211.31	297.17	209.84	285.03	264.03	157.68	507.46	444.72	265.87	189.02	267.73	129.69	348.71	185.11	185.11	283.05	189.02	215.77	234.57	202.66	314.17	409.15	182.55	239.52	175.07	351.14	211.31	183.82	293.07	279.14	253.23	256.78	181.28	387.02	214.27	248.0	438.59	223.41	221.86	285.03	242.88	165.57	332.14	361.04	248.0	206.94	361.04	258.57	346.29	473.41	318.57	198.47	406.31	255.0	420.68	255.0	267.73	291.04	262.2	285.03	176.29	281.09	218.79	154.42	493.56	267.73	234.57	206.94	503.95	346.29	248.0	346.29	190.34	320.8	327.56	77.79	226.54	218.79	325.29	170.25	183.82	301.33	205.5	314.17	231.32	264.03	299.25	368.65	214.27	209.84	460.44	466.88	295.11	195.72	228.13	171.45	265.87	197.09	246.28	214.27	281.09	209.84	283.05	193.01	314.17	202.66	426.57	273.37	287.01	120.1	211.31	106.63	229.72	129.69
SMURF2	406.31	620.67	91.41	115.16	171.45	435.55	353.59	297.17	129.69	215.77	381.68	325.29	379.04	154.42	346.29	251.48	384.34	242.88	108.14	381.68	255.0	275.28	138.1	279.14	223.41	327.56	155.5	167.9	339.14	144.01	180.02	138.1	190.34	473.41	343.89	189.02	212.78	129.69	269.6	181.28	191.67	232.94	271.48	265.87	334.46	159.9	295.11	206.94	264.03	265.87	171.45	217.27	189.02	239.52	169.07	206.94	511.0	141.02	223.41	500.46	214.27	189.02	346.29	348.71	167.9	199.85	201.25	368.65	353.59	269.6	289.02	232.94	237.86	132.44	297.17	237.86	171.45	269.6	285.03	228.13	265.87	318.57	356.05	265.87	420.68	173.85	242.88	353.59	21.01	221.86	148.09	224.97	159.9	191.67	244.57	180.02	273.37	182.55	214.27	343.89	341.51	366.09	236.21	148.09	392.44	194.36	152.28	256.78	199.85	220.32	105.15	171.45	181.28	176.29	224.97	236.21	80.57	305.55	215.77	201.25	94.67	204.07	78.34	54.72	60.39	13.72	21.94
SPDL1	293.07	426.57	251.48	92.7	102.97	167.9	195.72	124.37	162.14	138.1	176.29	164.42	239.52	91.41	129.69	138.1	124.37	195.72	77.79	223.41	325.29	162.14	70.51	154.42	109.66	171.45	90.77	120.94	175.07	135.24	75.64	88.26	153.34	197.09	183.82	79.45	131.51	66.18	154.42	129.69	110.43	172.65	224.97	120.94	164.42	125.24	236.21	164.42	145.02	108.9	92.05	128.79	142.01	105.15	145.02	139.07	215.77	89.51	123.5	161.02	120.94	110.43	223.41	148.09	95.34	141.02	113.56	191.67	287.01	134.3	176.29	224.97	98.04	95.34	185.11	171.45	88.26	181.28	148.09	92.7	149.12	348.71	118.43	176.29	182.55	154.42	110.43	224.97	7.34	138.1	103.69	145.02	66.18	91.41	211.31	129.69	169.07	153.34	224.97	180.02	287.01	162.14	154.42	185.11	163.28	180.02	99.43	115.97	74.58	127.0	265.87	121.79	148.09	126.12	154.42	186.4	171.45	279.14	162.14	185.11	172.65	158.79	69.52	12.18	67.59	37.32	13.62
SPRTN	236.21	251.48	146.03	65.26	43.32	144.01	161.02	103.69	88.88	90.77	135.24	171.45	101.54	72.52	128.79	113.56	120.1	81.71	68.07	140.04	125.24	135.24	95.34	121.79	113.56	150.17	83.45	46.84	89.51	68.55	127.89	121.79	102.97	140.04	101.54	81.71	93.35	69.52	94.01	84.63	94.01	106.63	84.04	82.29	108.14	88.26	85.82	88.26	107.38	108.14	79.45	127.0	100.13	77.79	70.01	79.45	166.73	44.89	111.21	161.02	134.3	53.95	139.07	78.89	89.51	78.34	100.13	119.26	117.6	119.26	135.24	116.78	103.69	77.25	100.83	87.65	123.5	147.06	167.9	67.59	84.04	100.13	78.89	102.25	121.79	99.43	107.38	96.68	37.59	83.45	78.89	93.35	80.57	115.97	75.64	87.65	80.57	93.35	100.83	148.09	117.6	101.54	77.25	101.54	112.77	87.65	84.63	110.43	79.45	77.25	73.03	90.77	72.52	87.03	98.73	105.89	72.52	159.9	94.01	69.03	59.55	99.43	47.17	24.11	21.94	47.5	38.67
SPRY3	11.04	11.91	0.8	3.44	2.58	10.96	7.34	8.19	4.1	5.15	11.04	8.78	7.22	2.68	10.63	7.46	9.85	8.65	3.92	12.09	8.92	8.25	5.11	6.94	3.56	11.55	5.36	5.77	8.32	2.51	2.34	15.0	4.58	15.56	8.38	5.19	5.15	2.46	5.06	3.38	4.46	5.54	7.63	4.7	4.35	7.28	7.4	6.41	9.13	9.85	4.74	7.17	2.94	6.41	2.36	4.7	11.55	4.24	5.54	18.29	5.19	3.92	5.92	7.4	4.62	6.62	4.13	9.13	12.74	9.85	7.94	7.57	6.78	4.06	10.55	9.63	4.17	7.51	11.64	4.43	6.11	9.93	7.88	8.06	10.71	5.5	5.5	8.45	1.95	3.86	2.97	6.31	2.63	5.36	12.74	3.86	9.63	5.02	4.54	12.64	12.64	11.38	4.86	4.62	9.56	7.69	3.63	6.89	5.02	4.94	2.12	3.89	3.11	5.19	5.36	5.82	4.46	10.63	6.62	4.58	4.66	5.28	1.51	1.48	1.51	2.53	1.41
SSH1	305.55	403.5	162.14	212.78	150.17	361.04	241.19	265.87	154.42	244.57	409.15	289.02	358.54	212.78	316.37	194.36	373.81	237.86	103.69	480.04	406.31	305.55	198.47	303.44	100.83	339.14	229.72	176.29	285.03	143.01	215.77	209.84	156.59	381.68	358.54	149.12	136.19	129.69	339.14	187.71	158.79	191.67	242.88	248.0	248.0	159.9	363.56	191.67	241.19	264.03	224.97	208.38	171.45	206.94	139.07	187.71	379.04	208.38	228.13	463.65	195.72	231.32	543.96	325.29	149.12	271.48	170.25	363.56	320.8	217.27	309.83	185.11	387.02	154.42	262.2	208.38	100.13	307.69	265.87	248.0	206.94	457.25	281.09	285.03	379.04	170.25	244.57	368.65	36.53	183.82	152.28	273.37	115.16	158.79	244.57	190.34	262.2	201.25	217.27	318.57	343.89	303.44	173.85	246.28	423.61	221.86	164.42	232.94	154.42	236.21	172.65	260.38	215.77	198.47	176.29	258.57	135.24	358.54	204.07	191.67	212.78	202.66	87.65	157.68	70.51	65.72	71.5
STXBP5	190.34	318.57	684.02	32.13	25.54	94.01	92.7	64.8	45.53	49.91	138.1	98.04	95.34	33.78	97.36	54.72	164.42	65.72	23.08	109.66	115.97	129.69	31.45	76.71	29.91	136.19	94.67	42.71	112.77	27.64	43.02	36.53	33.78	114.36	145.02	47.84	49.91	21.16	108.9	74.58	29.7	44.25	88.26	33.54	80.57	38.4	100.13	40.93	62.56	74.06	50.27	47.17	38.12	39.5	37.59	33.78	120.1	47.5	57.49	132.44	70.01	49.91	143.01	79.45	39.22	71.5	33.06	130.6	114.36	55.89	95.34	46.84	120.94	33.3	88.26	61.25	33.06	98.04	96.68	45.21	48.87	112.77	84.63	73.03	126.12	57.89	49.21	102.25	12.74	47.17	37.85	71.5	31.0	40.36	57.49	40.64	64.8	58.3	66.65	108.14	135.24	89.51	60.39	98.73	111.99	42.71	42.11	46.5	25.72	43.63	42.11	72.52	50.98	50.98	38.67	70.51	32.36	92.05	49.91	82.29	35.0	56.28	11.04	32.59	11.21	10.08	12.09
TAOK1	543.96	1104.13	208.38	145.02	129.69	429.54	341.51	249.73	162.14	187.71	256.78	244.57	312.0	205.5	320.8	177.53	395.18	228.13	108.14	341.51	356.05	248.0	166.73	287.01	112.77	336.79	223.41	163.28	316.37	112.77	177.53	163.28	149.12	426.57	353.59	185.11	231.32	105.15	267.73	187.71	124.37	146.03	220.32	151.22	262.2	215.77	309.83	176.29	223.41	356.05	191.67	204.07	195.72	163.28	137.14	173.85	336.79	103.69	228.13	432.53	211.31	228.13	406.31	211.31	169.07	169.07	175.07	334.46	351.14	199.85	291.04	186.4	258.57	134.3	253.23	221.86	145.02	343.89	260.38	139.07	194.36	348.71	269.6	242.88	358.54	185.11	253.23	332.14	45.85	194.36	147.06	185.11	144.01	133.36	176.29	142.01	208.38	198.47	175.07	368.65	329.84	323.03	228.13	358.54	366.09	163.28	152.28	206.94	159.9	171.45	77.25	206.94	161.02	181.28	178.77	185.11	104.42	241.19	193.01	142.01	183.82	177.53	147.06	38.12	93.35	59.55	28.65
TBC1D2B	967.76	1417.35	155.5	463.65	403.5	607.87	503.95	612.11	303.44	525.39	780.44	651.58	612.11	420.68	703.28	392.44	872.1	507.46	241.19	819.3	642.59	603.67	518.15	616.37	193.01	638.15	361.04	358.54	684.02	363.56	420.68	521.76	438.59	684.02	748.61	353.59	318.57	267.73	819.3	371.22	444.72	384.34	616.37	532.74	514.56	438.59	575.03	555.41	575.03	514.56	417.77	543.96	368.65	525.39	283.05	287.01	743.43	417.77	412.0	947.83	303.44	329.84	743.43	693.58	514.56	309.83	327.56	866.07	738.29	454.09	460.44	603.67	954.43	269.6	638.15	503.95	384.34	511.0	547.75	397.93	463.65	1015.93	426.57	607.87	842.36	417.77	392.44	836.53	42.71	351.14	392.44	571.05	209.84	392.44	674.59	500.46	743.43	287.01	473.41	775.05	995.0	603.67	423.61	423.61	830.75	540.19	339.14	444.72	358.54	532.74	262.2	432.53	368.65	579.04	381.68	583.07	379.04	872.1	629.35	426.57	395.18	988.12	93.35	277.2	102.97	500.46	395.18
