	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZT9W.1826.SM.51MQX	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KL.8323.01A.21R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3433.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.X261.1726.SM.4PQYT	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.11DXY.0526.SM.5EGGQ	GTEX.145MO.2326.SM.5NQ9K	GTEX.RN64.1826.SM.48FDV	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.VJYA.1026.SM.4KL21	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
SPIN1	237.86	540.19	497.0	536.45	688.78	555.41	351.14	884.29	896.64	921.88	1073.91	921.88	1008.9	775.05	836.53	764.36	1001.93	595.34	1259.69	866.07	947.83	878.17	854.13	307.69	371.22	1286.18	884.29	507.46	1001.93	1233.75	1096.5	780.44	1216.75	1143.1	909.17	961.07	1015.93	1111.82	1407.55	1519.15	1572.76	1104.13	1437.15	967.76	1322.37	454.09	1119.56	1551.09	1477.58	1519.15	438.59	483.38	460.44	466.88	1268.46	563.18	567.1	525.39	301.33	285.03	426.57	212.78	208.38	248.0	183.82	346.29	256.78	237.86	163.28	242.88	483.38	177.53	303.44	363.56	339.14	373.81	395.18	220.32	329.84	193.01	616.37	205.5	339.14	115.97	206.94	77.25	76.71	414.87	583.07	583.07	688.78	612.11	283.05	825.0	470.14	575.03	688.78	591.22	775.05	500.46	902.89	884.29	420.68
SRFBP1	52.08	105.15	82.29	96.68	60.39	91.41	59.13	64.34	62.56	82.29	63.89	55.1	84.63	82.29	75.11	67.12	66.65	48.52	334.46	133.36	140.04	76.17	123.5	40.07	39.5	109.66	115.97	136.19	153.34	183.82	151.22	88.26	242.88	191.67	113.56	148.09	146.03	242.88	231.32	201.25	162.14	106.63	320.8	154.42	121.79	80.01	29.91	244.57	153.34	153.34	38.95	45.85	49.56	57.89	181.28	52.08	81.14	51.35	114.36	55.89	92.7	48.18	51.71	42.71	15.68	53.95	61.68	87.03	49.56	32.82	57.49	47.5	73.03	49.91	41.52	36.79	48.87	36.79	57.08	40.36	43.63	60.39	53.19	77.79	21.01	32.59	133.36	35.0	79.45	100.83	120.1	83.45	43.02	91.41	37.32	46.84	78.89	79.45	82.29	92.05	119.26	144.01	88.26
STXBP5L	0.0	1.03	0.0	3.86	5.36	0.47	0.16	0.68	0.0	0.0	0.67	2.12	0.23	0.24	0.66	0.28	6.36	1.2	124.37	25.17	120.94	0.47	29.91	0.0	35.5	24.81	59.97	21.78	113.56	111.99	178.77	39.79	285.03	17.38	100.13	6.94	111.21	161.02	80.01	0.0	0.88	1.11	0.0	45.53	32.13	3.03	29.06	143.01	0.49	0.45	0.0	0.0	0.0	0.0	190.34	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	1.17	0.51	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	10.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.62	2.39	0.58	1.19	3.79	7.34	1.69	21.16	0.46	9.06	0.0	2.07	87.65	0.0
SUCO	86.43	212.78	218.79	139.07	208.38	155.5	116.78	181.28	279.14	307.69	267.73	202.66	226.54	159.9	291.04	166.73	320.8	156.59	947.83	497.0	536.45	305.55	318.57	187.71	738.29	480.04	532.74	656.11	483.38	802.41	642.59	318.57	1183.45	305.55	454.09	435.55	473.41	921.88	775.05	301.33	583.07	190.34	271.48	231.32	366.09	423.61	329.84	679.29	351.14	392.44	208.38	98.04	143.01	94.67	872.1	151.22	157.68	226.54	480.04	120.94	262.2	91.41	70.01	77.79	41.52	100.83	108.14	63.0	31.0	73.03	87.65	113.56	58.3	99.43	127.0	52.08	95.34	50.27	120.94	49.56	94.01	88.88	49.56	84.63	60.39	38.67	72.01	50.27	75.64	180.02	277.2	209.84	193.01	231.32	120.94	145.02	178.77	285.03	197.09	191.67	256.78	312.0	175.07
TBC1D25	124.37	142.01	148.09	172.65	327.56	129.69	138.1	303.44	309.83	249.73	244.57	285.03	297.17	246.28	376.41	289.02	244.57	309.83	246.28	246.28	246.28	170.25	237.86	201.25	262.2	301.33	198.47	285.03	155.5	291.04	281.09	248.0	242.88	223.41	205.5	189.02	295.11	255.0	239.52	135.24	299.25	131.51	199.85	165.57	212.78	62.56	307.69	215.77	229.72	186.4	195.72	73.03	151.22	190.34	199.85	154.42	139.07	130.6	153.34	80.01	162.14	67.59	82.29	115.97	118.43	190.34	96.01	135.24	88.88	129.69	123.5	87.03	111.99	111.99	123.5	112.77	71.5	157.68	132.44	145.02	94.01	209.84	127.89	105.89	119.26	120.94	108.9	105.89	84.63	164.42	135.24	161.02	199.85	220.32	239.52	285.03	343.89	231.32	293.07	248.0	180.02	258.57	185.11
TBCK	161.02	187.71	256.78	237.86	159.9	182.55	139.07	368.65	511.0	334.46	366.09	336.79	435.55	198.47	312.0	269.6	511.0	341.51	217.27	237.86	231.32	239.52	186.4	152.28	159.9	229.72	242.88	281.09	279.14	236.21	318.57	163.28	265.87	599.49	159.9	204.07	211.31	163.28	429.54	497.0	507.46	373.81	543.96	212.78	260.38	96.68	134.3	429.54	420.68	363.56	281.09	199.85	265.87	289.02	220.32	281.09	173.85	205.5	211.31	157.68	169.07	132.44	142.01	138.1	107.38	142.01	148.09	281.09	110.43	198.47	217.27	140.04	183.82	140.04	211.31	260.38	217.27	180.02	126.12	158.79	170.25	236.21	79.45	165.57	205.5	64.34	23.42	224.97	153.34	214.27	205.5	128.79	120.94	206.94	295.11	358.54	368.65	293.07	336.79	299.25	371.22	346.29	153.34
TDRD3	127.89	224.97	241.19	217.27	226.54	176.29	201.25	271.48	351.14	595.34	532.74	246.28	264.03	249.73	633.73	420.68	348.71	283.05	234.57	154.42	171.45	255.0	189.02	116.78	157.68	144.01	273.37	150.17	201.25	148.09	178.77	147.06	379.04	947.83	239.52	366.09	189.02	187.71	406.31	444.72	379.04	363.56	237.86	332.14	314.17	197.09	159.9	409.15	336.79	327.56	231.32	325.29	157.68	147.06	336.79	224.97	267.73	166.73	126.12	220.32	151.22	223.41	149.12	116.78	62.56	153.34	177.53	118.43	114.36	86.43	165.57	149.12	228.13	130.6	237.86	194.36	191.67	140.04	176.29	146.03	264.03	159.9	111.21	223.41	118.43	180.02	47.84	112.77	120.94	246.28	267.73	190.34	142.01	353.59	334.46	241.19	255.0	323.03	231.32	206.94	361.04	305.55	269.6
TPPP	25.17	27.25	36.79	71.0	273.37	253.23	19.68	444.72	204.07	193.01	607.87	563.18	297.17	155.5	316.37	480.04	559.28	186.4	343.89	334.46	327.56	366.09	343.89	195.72	258.57	698.41	395.18	138.1	353.59	229.72	497.0	177.53	575.03	363.56	473.41	703.28	232.94	334.46	819.3	90.14	208.38	180.02	39.22	267.73	51.35	6.62	156.59	363.56	193.01	115.97	84.63	44.89	73.54	63.89	312.0	141.02	12.74	27.44	33.3	66.65	43.32	40.93	22.26	26.28	40.93	42.41	37.85	24.81	189.02	61.68	36.79	12.0	35.5	12.45	23.42	486.75	80.57	19.68	53.19	4.62	74.06	85.82	29.7	59.55	22.26	13.83	5.06	15.22	21.16	111.21	253.23	118.43	125.24	56.68	89.51	118.43	209.84	44.57	162.14	57.08	12.0	57.08	75.64
TRDN	0.0	0.59	2.23	2.12	0.05	2.68	2.03	0.0	0.0	4.5	3.56	3.63	5.06	1.19	4.31	0.14	2.41	1.69	1.48	9.06	5.59	0.48	3.23	0.0	0.8	0.0	0.82	0.41	0.47	2.68	2.68	0.83	11.64	5.28	1.58	77.79	3.96	9.56	9.85	1.93	1.38	8.25	0.41	8.25	18.7	2.71	0.42	11.04	3.0	3.23	0.0	0.0	0.0	0.91	4.43	0.0	0.0	0.0	0.0	0.0	2.16	0.89	0.0	0.0	0.0	0.0	1.04	0.87	0.3	0.4	2.25	1.14	0.78	0.59	0.0	0.0	0.0	0.21	0.24	0.2	6.01	0.0	0.66	0.83	0.0	0.0	0.0	0.74	0.21	6.52	0.8	2.29	0.0	2.36	3.53	1.27	0.26	3.26	3.11	0.0	2.94	0.0	381.68
TRIM69	157.68	175.07	187.71	265.87	356.05	167.9	239.52	463.65	358.54	417.77	194.36	450.94	406.31	293.07	343.89	183.82	529.06	318.57	1407.55	988.12	802.41	928.3	759.08	775.05	587.13	684.02	1369.04	1208.34	836.53	915.51	1066.48	785.88	1151.06	1936.53	651.58	583.07	764.36	860.08	1015.93	785.88	866.07	718.08	988.12	684.02	1104.13	660.68	1119.56	718.08	579.04	559.28	438.59	466.88	555.41	802.41	1268.46	728.11	825.0	884.29	127.89	293.07	376.41	231.32	161.02	285.03	104.42	214.27	194.36	264.03	82.87	108.14	267.73	187.71	226.54	140.04	320.8	102.25	229.72	139.07	172.65	162.14	171.45	183.82	108.14	307.69	153.34	400.71	450.94	105.15	109.66	417.77	211.31	366.09	358.54	447.82	195.72	281.09	521.76	316.37	414.87	688.78	486.75	353.59	728.11
TRIM8	934.76	624.99	753.83	808.0	1008.9	633.73	454.09	1832.01	1757.34	2935.74	2855.44	1950.0	1832.01	2148.82	2777.33	2004.85	1857.6	3190.46	1605.83	1605.83	3372.43	3018.3	3349.13	2004.85	3847.29	4298.64	2739.08	2417.67	2645.74	2119.22	3901.01	2956.17	2400.97	2855.44	3716.2	4298.64	2224.63	4010.71	4038.61	1583.71	3303.0	3665.02	2148.82	2400.97	2061.24	642.59	1697.45	2997.45	2682.69	2287.2	1191.69	1674.06	1175.27	1359.57	3540.14	1088.92	1487.87	1388.16	3716.2	363.56	1572.76	587.13	1023.0	954.43	796.86	1088.92	909.17	915.51	607.87	500.46	1295.13	902.89	813.63	665.29	1369.04	703.28	1304.15	775.05	764.36	947.83	693.58	842.36	1081.39	1191.69	616.37	796.86	1313.23	915.51	1081.39	1508.65	1498.22	2163.77	1216.75	1066.48	1159.07	1143.1	1685.71	2319.15	1757.34	1870.53	2090.03	2400.97	1023.0
TSPAN14	234.57	1447.15	1304.15	1268.46	860.08	1331.57	1143.1	941.27	1001.93	1066.48	743.43	780.44	555.41	624.99	1350.18	1322.37	941.27	1023.0	2351.53	2090.03	2104.58	1073.91	1769.57	1350.18	4512.4	2133.97	1950.0	4038.61	1268.46	934.76	2796.65	2119.22	2018.8	2335.28	1540.37	2976.74	2209.26	1844.76	2758.13	1044.52	2032.85	947.83	1175.27	1844.76	1806.78	1286.18	1781.89	3039.3	1081.39	1551.09	647.07	547.75	791.35	988.12	2976.74	457.25	688.78	483.38	551.56	332.14	819.3	242.88	353.59	325.29	379.04	473.41	483.38	287.01	387.02	283.05	389.72	633.73	170.25	361.04	441.64	361.04	186.4	348.71	483.38	218.79	215.77	384.34	358.54	660.68	334.46	536.45	273.37	186.4	229.72	599.49	743.43	1378.57	674.59	995.0	642.59	796.86	1594.73	1159.07	1015.93	1233.75	902.89	1781.89	1183.45
TTC33	113.56	129.69	112.77	142.01	191.67	117.6	130.6	163.28	287.01	182.55	181.28	171.45	197.09	134.3	178.77	194.36	198.47	208.38	447.82	271.48	214.27	125.24	201.25	90.77	81.71	162.14	256.78	301.33	212.78	336.79	318.57	206.94	323.03	379.04	236.21	187.71	339.14	285.03	293.07	312.0	392.44	234.57	532.74	143.01	220.32	220.32	217.27	309.83	297.17	395.18	83.45	57.49	103.69	111.99	325.29	110.43	88.88	129.69	224.97	205.5	128.79	134.3	115.16	120.94	64.34	147.06	133.36	165.57	111.21	150.17	159.9	224.97	77.79	211.31	248.0	132.44	159.9	166.73	297.17	87.03	100.83	113.56	94.67	102.25	100.13	102.97	68.55	151.22	177.53	141.02	136.19	120.94	109.66	202.66	88.88	118.43	214.27	178.77	151.22	104.42	117.6	198.47	106.63
TWSG1	92.7	191.67	108.14	197.09	376.41	127.89	55.49	583.07	629.35	693.58	759.08	902.89	629.35	514.56	629.35	466.88	764.36	764.36	1340.84	753.83	624.99	454.09	269.6	242.88	684.02	507.46	896.64	1250.98	1143.1	769.69	599.49	536.45	503.95	688.78	366.09	540.19	603.67	967.76	759.08	1191.69	1883.54	1051.79	1096.5	518.15	2319.15	454.09	688.78	713.11	1044.52	1143.1	307.69	312.0	181.28	236.21	1073.91	293.07	476.71	307.69	151.22	77.79	242.88	49.56	74.58	78.89	44.25	115.97	139.07	92.7	31.22	30.12	463.65	73.54	41.22	81.71	195.72	53.19	201.25	40.64	144.01	45.53	90.14	61.68	32.59	70.01	26.28	75.11	50.63	71.5	153.34	314.17	454.09	260.38	127.0	285.03	211.31	283.05	759.08	341.51	323.03	295.11	483.38	409.15	395.18
USP8	318.57	547.75	363.56	480.04	493.56	511.0	575.03	303.44	543.96	450.94	473.41	438.59	426.57	507.46	381.68	297.17	480.04	511.0	503.95	629.35	476.71	432.53	457.25	540.19	305.55	563.18	679.29	543.96	476.71	723.08	511.0	323.03	591.22	967.76	414.87	414.87	457.25	567.1	713.11	414.87	656.11	426.57	638.15	460.44	854.13	376.41	151.22	660.68	547.75	612.11	339.14	307.69	208.38	178.77	674.59	371.22	351.14	441.64	343.89	417.77	400.71	363.56	260.38	339.14	105.15	371.22	351.14	255.0	323.03	318.57	397.93	325.29	323.03	432.53	435.55	381.68	373.81	395.18	447.82	301.33	368.65	299.25	273.37	162.14	341.51	205.5	135.24	435.55	426.57	429.54	536.45	521.76	454.09	536.45	426.57	454.09	463.65	518.15	571.05	591.22	759.08	521.76	379.04
VAMP2	651.58	1407.55	2075.59	1721.16	1340.84	1467.37	1111.82	3716.2	3235.01	3768.09	4038.61	4066.71	3443.31	1794.29	4512.4	3794.3	3124.78	2976.74	1467.37	2417.67	1498.22	1417.35	1359.57	2627.46	1407.55	1923.14	1519.15	988.12	819.3	1685.71	1467.37	1397.83	1277.29	1340.84	1427.22	1467.37	1628.26	1487.87	1628.26	2796.65	3103.19	2682.69	1561.89	1104.13	1447.15	723.08	2075.59	1519.15	3124.78	2287.2	1340.84	403.5	1111.82	1242.34	1529.73	1233.75	1066.48	1104.13	884.29	591.22	878.17	961.07	684.02	878.17	860.08	842.36	529.06	934.76	1331.57	1977.24	1397.83	1304.15	708.18	988.12	1487.87	1268.46	723.08	1044.52	1119.56	1081.39	1259.69	1277.29	1208.34	708.18	1388.16	791.35	297.17	738.29	1183.45	1286.18	1819.35	708.18	1529.73	2047.0	1733.13	2119.22	2701.35	2090.03	2004.85	2193.99	1923.14	3303.0	1088.92
VEGFC	29.27	50.98	103.69	76.71	36.27	48.52	15.45	171.45	273.37	332.14	327.56	176.29	154.42	187.71	1350.18	575.03	368.65	503.95	373.81	72.01	525.39	529.06	217.27	334.46	62.56	120.1	389.72	343.89	890.44	49.91	444.72	226.54	616.37	301.33	249.73	291.04	395.18	181.28	190.34	143.01	323.03	139.07	218.79	486.75	587.13	103.69	209.84	642.59	110.43	138.1	20.56	42.71	12.09	77.79	281.09	120.94	147.06	120.94	87.03	61.68	507.46	34.26	104.42	47.84	34.02	59.55	70.51	95.34	31.45	39.5	195.72	70.51	53.95	36.27	161.02	96.68	137.14	56.68	67.59	68.55	121.79	85.22	46.5	73.03	42.71	57.08	18.7	123.5	43.94	85.22	194.36	61.68	62.56	37.59	11.21	80.57	115.97	120.94	57.89	295.11	878.17	674.59	343.89
VWA5B1	0.0	9.7	1.89	4.46	95.34	18.43	30.34	0.95	0.91	17.38	21.32	0.38	0.0	4.43	2.2	9.93	4.54	0.0	98.04	17.9	107.38	113.56	146.03	108.14	77.79	432.53	507.46	18.56	57.49	293.07	299.25	202.66	52.45	125.24	204.07	29.06	165.57	193.01	884.29	105.15	234.57	103.69	71.0	38.67	25.17	12.55	16.51	890.44	96.68	62.56	0.0	1.01	0.0	0.0	348.71	0.0	0.0	1.45	0.0	0.0	1.85	0.0	0.0	0.0	0.0	0.57	1.16	0.0	0.0	0.0	0.0	2.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.82	0.0	0.0	0.0	0.0	3.89	0.0	3.2	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.68	0.0	1.64
VWC2	0.0	2.05	3.26	1.79	0.84	1.68	1.6	0.82	1.64	2.18	1.25	1.71	17.0	2.12	2.56	2.84	2.63	1.33	43.63	0.0	1.57	0.0	0.79	0.0	0.0	9.85	0.0	0.0	50.98	14.14	7.11	2.41	29.7	3.17	10.47	0.78	3.89	39.5	150.17	0.84	0.74	9.7	0.0	0.96	3.29	0.0	1.23	42.71	1.48	0.92	0.0	0.0	0.0	0.0	27.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	5.59	1.35	0.0	1.87	1.19	1.83	5.82	2.32	4.7	3.63	0.0	12.0	7.0
WDR61	708.18	1183.45	1250.98	1268.46	796.86	1233.75	796.86	1015.93	1044.52	1233.75	1159.07	915.51	1044.52	1088.92	1378.57	872.1	1059.11	775.05	1529.73	1417.35	1111.82	842.36	1259.69	1437.15	1081.39	1508.65	1388.16	1167.14	1304.15	1369.04	1066.48	1340.84	1487.87	1662.49	1340.84	1457.23	1250.98	1561.89	2018.8	1508.65	1427.22	1769.57	988.12	1350.18	1674.06	2777.33	1674.06	1950.0	1350.18	1498.22	1127.35	1015.93	1304.15	1044.52	1651.0	1159.07	988.12	1242.34	1159.07	1277.29	1135.2	947.83	728.11	848.22	688.78	759.08	718.08	909.17	547.75	688.78	769.69	514.56	866.07	723.08	579.04	684.02	638.15	612.11	836.53	559.28	848.22	819.3	607.87	688.78	665.29	688.78	796.86	775.05	665.29	1208.34	1225.22	981.29	616.37	819.3	603.67	708.18	591.22	769.69	866.07	1233.75	1233.75	1044.52	854.13
WWC2	209.84	19.82	30.78	34.75	103.69	18.43	18.29	197.09	258.57	237.86	285.03	191.67	198.47	281.09	190.34	237.86	295.11	215.77	273.37	426.57	155.5	167.9	132.44	176.29	193.01	312.0	318.57	255.0	159.9	470.14	279.14	150.17	312.0	575.03	171.45	156.59	305.55	155.5	397.93	563.18	884.29	239.52	389.72	176.29	500.46	68.07	62.56	336.79	483.38	525.39	118.43	105.15	65.72	57.49	281.09	75.11	124.37	118.43	291.04	100.83	115.16	98.73	154.42	217.27	60.39	206.94	199.85	136.19	74.06	142.01	165.57	162.14	88.88	139.07	172.65	241.19	237.86	217.27	201.25	108.14	264.03	136.19	271.48	100.83	153.34	130.6	81.71	144.01	223.41	66.18	127.89	74.06	51.35	154.42	63.89	114.36	139.07	68.07	85.82	191.67	159.9	236.21	117.6
ZC2HC1A	30.12	64.34	70.01	82.29	71.5	61.25	22.75	264.03	267.73	392.44	327.56	281.09	228.13	117.6	258.57	260.38	379.04	104.42	423.61	249.73	454.09	1295.13	220.32	139.07	125.24	264.03	529.06	392.44	497.0	334.46	420.68	187.71	638.15	457.25	193.01	334.46	246.28	665.29	473.41	336.79	291.04	187.71	134.3	343.89	769.69	312.0	92.7	447.82	228.13	201.25	81.71	54.33	80.01	77.79	503.95	98.04	175.07	79.45	23.76	11.04	128.79	22.59	24.46	9.85	4.94	28.04	30.12	45.53	3.23	5.63	42.41	29.27	15.56	20.41	49.21	37.85	52.45	5.77	8.99	2.84	36.79	12.18	5.68	12.45	8.45	7.63	2.71	49.91	25.35	138.1	127.0	49.56	31.0	86.43	32.13	89.51	163.28	123.5	166.73	136.19	417.77	180.02	110.43
ZMYND11	417.77	503.95	486.75	579.04	896.64	450.94	356.05	854.13	1096.5	981.29	1001.93	1183.45	1023.0	775.05	915.51	802.41	1183.45	1104.13	842.36	921.88	647.07	802.41	529.06	708.18	507.46	660.68	995.0	684.02	651.58	909.17	796.86	329.84	1073.91	2319.15	463.65	1037.29	723.08	941.27	967.76	1259.69	1477.58	1023.0	1088.92	693.58	1295.13	368.65	291.04	1322.37	1277.29	1359.57	476.71	381.68	412.0	412.0	1250.98	563.18	571.05	540.19	902.89	457.25	521.76	414.87	368.65	353.59	220.32	470.14	361.04	444.72	251.48	291.04	543.96	327.56	403.5	511.0	579.04	395.18	476.71	271.48	514.56	432.53	473.41	239.52	332.14	283.05	303.44	264.03	189.02	497.0	583.07	607.87	1066.48	651.58	297.17	785.88	493.56	583.07	974.5	693.58	579.04	1088.92	860.08	1745.2	624.99
ZNF630	7.46	30.34	55.1	34.75	46.18	41.22	22.59	73.03	117.6	114.36	112.77	81.71	134.3	56.28	102.25	80.01	104.42	92.05	71.0	34.75	60.82	25.54	40.64	31.0	31.45	65.72	32.82	34.51	55.49	55.1	52.45	38.67	57.89	106.63	65.26	48.18	44.25	66.65	128.79	80.57	57.08	66.18	99.43	57.49	47.17	29.27	63.0	73.03	48.87	47.17	22.92	8.51	12.0	19.39	75.11	22.26	11.73	31.22	6.26	3.2	21.63	4.54	9.85	15.22	4.98	16.03	10.96	19.97	5.96	9.63	30.34	17.13	30.78	16.03	37.85	39.79	51.35	24.81	21.63	21.01	55.89	25.91	19.53	8.45	27.64	3.29	0.0	34.51	12.45	51.71	44.57	23.08	35.5	105.89	63.89	80.57	100.83	62.56	70.01	41.52	32.82	66.65	56.28
ZSCAN23	0.0	2.73	2.84	3.72	16.15	0.54	2.03	15.34	8.51	35.0	11.64	5.73	13.32	8.71	9.63	15.8	24.46	8.45	49.21	17.64	13.93	0.93	4.35	14.67	0.39	6.94	23.76	1.99	5.54	12.27	15.68	4.78	26.67	45.21	7.34	6.11	6.57	9.27	38.4	36.01	49.56	9.63	14.24	20.26	20.26	0.0	4.46	27.84	15.11	22.92	0.0	0.0	2.25	0.88	17.9	1.95	0.88	1.87	3.96	0.0	4.24	0.0	0.74	3.72	0.0	0.0	0.78	6.31	0.0	1.2	6.16	0.0	0.0	0.01	6.78	5.32	8.32	1.22	0.0	0.78	2.66	0.0	5.5	0.42	0.39	0.0	0.74	0.0	0.0	1.48	9.56	1.45	2.16	14.78	0.66	1.01	3.99	3.72	4.86	3.23	5.19	29.27	3.76
