	GTEX.S32W.1126.SM.4AD5V	GTEX.U4B1.1226.SM.4DXT7	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DO.01B.11R.A12D.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.E2.A1L7.11A.33R.A144.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.E2.A15M.11A.22R.A12D.07	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.E9.A1NA.11A.33R.A144.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.R3RS.0626.SM.48FE1	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.13PL6.2926.SM.5L3I2	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.RU72.0626.SM.46MUI	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.HM.A3JJ.11A.12R.A21T.07	GTEX.WFG7.1626.SM.4LVMF	TCGA.IG.A7DP.01A.31R.A336.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.132NY.2026.SM.5L3FM	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	TCGA.BR.A453.01A.11R.A24K.31	GTEX.ZE7O.3026.SM.51MS4	GTEX.13O61.1126.SM.5L3FI	GTEX.ZV6S.0926.SM.57WGB	GTEX.OIZH.1526.SM.3NB1J	GTEX.UPK5.2126.SM.4JBJK	TCGA.AX.A0IZ.11A.11R.A27V.07	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BG.A2AD.11A.11R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.S4UY.1226.SM.4AD51	GTEX.1117F.2426.SM.5EGGH	GTEX.PWOO.1526.SM.48TCK
MGP	79022.82	36357.37	74243.68	68793.23	18950.18	82378.63	239554.43	59063.35	49666.0	82378.63	65535.0	56657.31	46986.85	469249.9	275175.93	485798.0	998912.34	381149.17	1139523.1	659036.03	343510.77	593956.43	329517.51	431797.89	368165.8	502929.67	386469.83	365622.68	736332.6	623486.02	327241.36	577714.63	248002.34	425853.18	716197.51	214407.12	360589.03	350728.68	462789.59	546551.29	284880.02	355624.68	466008.55	489177.0	318292.9	569761.05	400098.69	1196176.45	411347.03	405683.88	414208.18	539026.74	443937.41	329517.51	623486.02	256748.15	434801.29	402881.61	706337.4	282912.21	363097.14	405683.88	459592.86	687022.54	417089.23	343510.77	76330.98	301123.38	251464.33	225066.78	207103.59	177811.84	320506.81	271387.49	43840.21	202841.44	425853.18	217400.14	292889.12	358098.26	207103.59	254974.66	204252.32	320506.81	275175.93	223512.12	174152.51	132900.7	229795.93	318292.9	273275.14	453265.5	275175.93	134755.94	191899.64	462789.59	294926.33	408505.64	175363.84	288856.81	331809.5	273275.14	277089.94	800198.39	156954.93	234624.45	248002.34	267651.2	269512.87	397335.0	509950.32	212926.09	288856.81	358098.26	598087.73	378516.38	236256.4	585779.24	1524599.69	378516.38	236256.4	496005.67	282912.21	246289.25	389157.95	182810.84	338781.54	400098.69	565825.41	422911.59	334117.42	341137.96	475800.4	338781.54	370726.6	565825.41	869603.57	331809.5	147462.67	1100706.72	845824.19	381149.17	267651.2	496005.67	190574.09	1308968.45	358098.26	305326.92	311742.51	614902.29	110983.6	26614.89	143430.26	37121.34	97288.74	3419.52	848.22	258533.99	258533.99	253213.41	108699.57	279017.26	145432.49	74243.68	91404.92	186652.11	92040.7	130165.62	106462.55	107948.72	200048.85	301123.38	136637.07	296977.71	101420.22
MREG	21.94	28.04	40.64	32.82	23.76	11.73	99.43	7.06	11.47	38.12	15.11	10.08	11.04	518.15	356.05	612.11	1059.11	688.78	351.14	309.83	438.59	928.3	493.56	591.22	825.0	307.69	1268.46	1477.58	842.36	466.88	674.59	444.72	397.93	638.15	934.76	941.27	325.29	145.02	454.09	312.0	130.6	1508.65	1313.23	921.88	392.44	684.02	587.13	599.49	397.93	555.41	791.35	162.14	95.34	366.09	1008.9	400.71	1066.48	129.69	339.14	723.08	409.15	221.86	493.56	647.07	447.82	551.56	105.15	503.95	423.61	447.82	480.04	842.36	423.61	444.72	44.89	738.29	299.25	629.35	361.04	412.0	264.03	283.05	718.08	332.14	866.07	703.28	738.29	743.43	373.81	208.38	599.49	199.85	353.59	1001.93	830.75	346.29	237.86	1030.12	785.88	665.29	466.88	764.36	669.92	748.61	490.14	1119.56	476.71	224.97	551.56	540.19	813.63	241.19	1127.35	414.87	633.73	450.94	679.29	915.51	426.57	289.02	251.48	647.07	287.01	327.56	358.54	1340.84	295.11	599.49	1044.52	197.09	825.0	244.57	314.17	802.41	368.65	567.1	426.57	507.46	417.77	591.22	890.44	348.71	147.06	961.07	503.95	1044.52	202.66	612.11	242.88	1104.13	12.18	30.78	108.14	15.11	50.63	0.0	0.0	273.37	58.3	122.64	10.55	40.36	28.04	27.05	13.72	24.81	13.62	8.99	24.11	41.22	24.28	26.86	38.95	21.63	28.24
NCKAP5	6.26	6.78	2.81	5.41	1.17	11.13	2.48	4.39	5.32	10.16	1.75	9.56	14.89	31.9	6.52	34.26	26.86	32.13	32.82	68.07	7.06	25.17	18.43	24.11	23.59	61.68	65.72	33.54	55.1	18.29	27.05	20.71	54.72	201.25	111.99	106.63	42.41	17.64	42.71	38.4	28.65	81.14	87.65	58.3	76.17	24.63	34.02	30.78	24.63	116.78	46.84	40.93	18.43	54.33	102.97	15.34	74.58	11.04	28.65	29.48	96.68	44.25	90.14	12.64	202.66	73.03	25.72	46.5	62.12	57.89	111.99	102.97	59.13	56.68	18.29	111.21	38.4	70.51	67.12	110.43	26.28	63.0	82.87	40.07	105.89	105.15	102.97	74.58	84.04	60.82	81.71	68.07	78.34	105.89	127.0	48.18	34.75	76.17	98.04	76.17	92.7	87.03	91.41	84.63	91.41	121.79	69.52	65.72	81.71	63.45	87.65	41.22	67.12	92.7	329.84	65.26	109.66	107.38	100.83	180.02	100.13	121.79	25.35	137.14	98.73	175.07	120.94	53.57	61.25	29.27	45.21	29.27	193.01	138.1	48.52	69.52	57.89	82.87	57.89	51.35	76.71	40.93	42.41	202.66	77.25	49.21	68.07	142.01	82.29	202.66	9.41	11.73	2.12	2.2	20.56	0.0	0.0	22.26	120.1	120.1	8.38	65.72	5.32	11.47	4.66	49.91	9.7	7.46	9.06	6.94	6.36	2.86	7.51	8.85	19.25
NEUROG2	1.77	0.0	0.0	0.0	0.0	0.0	3.06	0.0	0.0	0.0	0.0	0.0	0.0	11.3	0.51	1.79	0.0	1.51	0.93	1.68	2.61	125.24	0.51	1.23	9.56	0.0	34.75	4.62	2.48	61.25	11.47	0.0	12.0	0.0	5.77	21.01	0.82	0.0	6.41	0.27	0.53	0.0	0.25	0.0	0.26	1.58	0.0	13.42	0.0	0.0	57.08	0.0	1.11	0.26	14.35	10.39	11.91	1.6	0.0	7.06	0.24	0.23	0.53	0.0	0.0	10.88	0.0	35.25	21.01	1.03	23.08	45.85	7.28	28.86	0.0	33.54	13.62	23.08	12.18	20.26	11.73	1.66	52.08	10.71	37.85	29.91	21.01	32.36	39.5	46.5	37.05	36.01	7.57	46.5	43.94	18.84	41.52	22.59	54.72	12.27	10.71	31.22	27.64	31.22	48.87	17.25	11.47	9.93	22.75	2.36	28.04	18.29	34.51	165.57	16.51	9.27	37.85	75.64	30.34	13.22	5.45	6.57	6.16	4.13	26.67	108.14	50.98	20.26	18.03	5.96	6.11	6.21	30.78	82.87	13.83	8.85	11.64	24.11	47.84	17.25	8.51	14.14	14.56	79.45	71.0	20.71	2.68	9.06	7.22	21.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0
NKPD1	2.1	1.45	0.36	2.71	0.97	1.17	0.0	1.77	0.46	2.05	0.88	1.33	0.89	12.74	7.75	6.16	2.43	14.67	2.53	5.77	1.85	6.73	5.59	6.78	13.12	1.3	18.84	4.86	3.5	2.03	2.03	3.63	7.11	11.13	6.52	11.73	2.86	33.78	10.16	6.06	5.41	2.36	2.29	2.2	5.15	2.16	2.43	7.28	2.48	3.76	17.0	5.45	19.11	4.39	24.46	11.04	13.12	9.48	1.6	6.84	7.69	2.48	0.65	17.0	3.35	15.8	0.0	23.42	24.63	5.36	25.54	27.64	25.91	11.64	0.0	35.25	13.93	29.91	12.18	12.36	11.38	10.63	41.52	11.82	25.17	14.14	9.63	32.13	11.3	37.59	15.8	10.71	4.74	20.26	15.0	19.11	32.13	16.63	15.0	10.63	15.34	21.01	17.13	23.76	28.04	9.48	12.55	15.34	21.63	4.46	23.76	16.51	19.39	25.35	19.53	14.78	10.71	14.56	18.97	9.27	6.84	15.22	12.27	12.74	10.63	22.26	27.05	15.45	17.77	11.55	8.85	14.67	5.11	9.48	26.28	18.16	2.41	27.25	14.35	19.68	2.81	6.67	13.72	17.0	21.63	9.27	7.4	18.97	17.25	12.55	1.27	1.95	5.02	0.41	4.1	0.0	0.28	0.16	0.8	0.07	1.06	9.78	0.75	0.0	0.0	1.75	1.22	0.0	0.92	1.73	2.84	0.19	1.03	2.14	0.0
NOS1AP	67.59	7.4	45.21	34.75	1.19	5.06	28.65	33.54	25.54	22.26	66.65	55.1	19.25	81.14	31.9	312.0	69.52	140.04	72.01	58.71	138.1	13.22	9.85	130.6	406.31	82.29	173.85	48.18	221.86	57.89	195.72	43.94	169.07	239.52	129.69	379.04	22.43	20.71	48.18	51.71	24.99	79.45	48.87	341.51	269.6	63.89	237.86	76.17	9.93	42.41	141.02	30.78	23.76	31.0	127.89	33.06	242.88	43.32	17.13	258.57	56.28	24.46	63.89	42.71	57.49	137.14	17.13	127.0	139.07	108.9	275.28	241.19	120.1	127.89	35.5	376.41	66.18	232.94	107.38	119.26	31.45	130.6	258.57	138.1	214.27	346.29	226.54	318.57	150.17	114.36	120.1	85.82	67.59	379.04	348.71	155.5	84.04	379.04	325.29	164.42	194.36	244.57	228.13	231.32	384.34	285.03	131.51	156.59	218.79	48.52	140.04	90.77	356.05	447.82	246.28	241.19	236.21	688.78	228.13	51.71	100.13	277.2	165.57	255.0	94.67	518.15	320.8	215.77	191.67	30.78	291.04	89.51	97.36	493.56	182.55	291.04	46.84	403.5	540.19	232.94	75.64	88.26	90.14	738.29	223.41	142.01	103.69	567.1	114.36	543.96	17.51	42.41	21.47	23.59	15.22	0.0	0.07	63.89	6.16	16.03	73.54	4.21	108.14	127.0	66.18	7.88	17.13	22.43	22.59	12.64	6.94	12.83	10.88	10.24	24.46
NTF4	5.02	13.22	5.82	2.25	5.41	7.51	0.0	0.0	0.0	38.12	0.0	0.0	0.0	208.38	253.23	51.71	15.45	45.85	13.52	28.86	1.48	28.45	16.63	28.65	231.32	1.62	255.0	78.34	12.09	4.46	37.05	3.32	94.01	0.0	38.4	215.77	5.45	30.12	105.89	1.07	9.34	82.29	4.28	19.53	4.46	18.29	9.13	4.66	0.0	5.87	395.18	91.41	12.36	47.84	194.36	223.41	251.48	32.82	107.38	62.12	53.57	42.41	10.31	0.0	4.39	166.73	0.0	334.46	307.69	63.45	289.02	376.41	198.47	155.5	0.0	371.22	223.41	301.33	183.82	193.01	183.82	133.36	409.15	121.79	287.01	195.72	262.2	339.14	199.85	518.15	229.72	181.28	76.71	267.73	190.34	314.17	395.18	320.8	389.72	136.19	269.6	329.84	206.94	316.37	387.02	150.17	120.94	183.82	248.0	86.43	423.61	151.22	224.97	228.13	314.17	221.86	127.89	176.29	187.71	102.97	84.04	289.02	211.31	289.02	116.78	307.69	228.13	193.01	195.72	239.52	147.06	151.22	60.39	148.09	251.48	262.2	71.0	264.03	291.04	303.44	120.94	96.01	173.85	260.38	376.41	297.17	151.22	251.48	209.84	195.72	3.53	0.0	12.93	0.0	0.0	0.0	0.4	63.89	26.1	22.26	1.27	7.06	0.0	4.21	4.82	2.1	0.0	2.89	38.4	46.84	21.63	4.17	14.03	2.32	0.0
OR2A1	2.58	0.71	0.21	1.83	0.34	0.0	3.41	0.0	2.66	0.0	0.0	1.33	1.33	7.11	0.0	10.88	2.23	9.7	4.17	0.0	1.23	3.86	2.01	4.13	21.32	9.06	3.69	1.51	3.35	7.57	1.83	6.84	3.17	6.46	3.44	23.76	0.41	2.56	3.79	3.76	0.0	13.62	3.14	2.36	0.79	0.83	0.0	1.11	1.55	0.43	3.35	2.56	9.34	0.0	20.26	0.0	7.75	3.08	5.82	11.91	8.65	1.04	0.41	0.0	4.58	21.47	3.56	0.46	2.73	8.85	22.75	7.69	6.78	10.63	0.85	29.91	8.85	11.21	11.47	2.89	7.69	12.18	16.39	4.82	29.91	7.17	10.79	19.25	13.03	9.34	17.13	10.31	11.21	33.06	10.55	24.46	0.0	15.8	11.91	5.02	16.63	3.72	3.5	2.29	35.5	0.0	10.63	6.31	25.17	3.96	0.0	6.67	13.03	31.0	2.01	11.64	8.25	20.56	38.12	5.5	10.16	16.03	1.48	14.35	6.26	16.51	13.62	17.51	16.39	10.0	32.36	10.96	8.19	0.0	12.93	8.85	3.44	8.58	33.3	2.01	8.92	1.83	2.16	22.1	5.77	4.98	11.73	8.99	10.88	22.59	5.63	2.43	8.32	0.84	0.0	0.0	0.19	0.0	7.0	1.04	0.0	5.36	7.0	0.6	7.28	0.0	0.0	0.0	1.13	3.53	0.0	7.17	7.69	1.64	4.43
OR2A7	4.74	20.71	9.85	7.94	4.74	7.82	6.89	3.56	11.55	11.04	6.11	5.73	2.68	191.67	10.71	115.16	121.79	24.81	127.0	78.89	98.73	71.0	41.81	71.0	199.85	417.77	24.46	69.03	21.78	65.72	28.86	131.51	339.14	320.8	75.11	733.19	50.63	41.81	54.72	36.27	47.5	88.88	137.14	143.01	16.88	112.77	146.03	10.71	29.27	2.16	165.57	90.77	277.2	149.12	376.41	73.54	90.14	43.02	43.63	248.0	105.89	21.01	93.35	37.32	108.9	351.14	13.93	50.63	115.97	83.45	318.57	34.26	67.59	186.4	30.56	181.28	28.86	102.97	147.06	124.37	97.36	215.77	547.75	23.76	587.13	159.9	392.44	172.65	314.17	64.34	161.02	423.61	195.72	305.55	260.38	180.02	81.14	301.33	237.86	153.34	177.53	164.42	1.95	37.32	320.8	19.53	75.11	143.01	476.71	262.2	49.21	176.29	251.48	392.44	195.72	412.0	108.14	435.55	764.36	80.01	94.67	356.05	32.13	571.05	58.3	325.29	205.5	289.02	67.12	59.55	366.09	269.6	98.73	63.89	137.14	409.15	56.68	211.31	363.56	38.95	211.31	51.35	115.16	392.44	178.77	176.29	162.14	307.69	153.34	412.0	17.64	41.81	77.79	11.04	25.35	0.0	0.35	55.49	75.64	26.47	42.11	45.85	21.63	5.63	22.92	1.69	6.16	4.06	21.01	27.84	16.63	37.59	84.63	11.91	18.56
OXTR	12.18	2.71	5.82	9.48	6.06	11.55	8.0	5.68	5.28	3.26	8.99	5.23	8.71	1143.1	20.86	52.82	4.82	106.63	18.7	195.72	50.27	16.03	16.51	73.54	454.09	7.46	2555.58	100.83	177.53	19.53	21.32	49.91	860.08	19.25	53.19	1340.84	34.75	18.56	368.65	69.03	26.28	61.68	414.87	32.13	28.24	23.76	13.72	164.42	118.43	25.35	1119.56	96.01	26.86	20.71	1519.15	363.56	3901.01	301.33	12.55	493.56	44.89	31.22	151.22	9.93	10.79	2133.97	2.58	2004.85	2875.3	1008.9	1427.22	2004.85	2417.67	934.76	1.93	8538.88	3212.66	3491.39	5183.54	4358.66	669.92	444.72	2434.5	1427.22	2895.31	3742.05	2816.11	2384.37	4607.24	4481.23	1721.16	5954.47	2855.44	4607.24	4671.57	2193.99	4298.64	5292.48	2816.11	1233.75	3491.39	698.41	2240.11	2502.97	2224.63	2758.13	2367.9	1088.92	4769.75	1175.27	2915.45	909.17	3982.99	2061.24	1286.18	4038.61	723.08	1457.23	1674.06	909.17	759.08	493.56	2209.26	1397.83	1119.56	1936.53	1304.15	1991.0	1037.29	1806.78	2502.97	2609.3	466.88	1044.52	1781.89	503.95	1191.69	1225.22	3820.7	688.78	2178.83	1037.29	1088.92	1977.24	1662.49	3190.46	1340.84	748.61	638.15	1127.35	47.17	3.86	2.68	48.52	7.0	0.0	0.01	52.08	19.11	10.71	3.99	11.38	6.78	4.35	10.63	18.43	81.14	175.07	11.38	6.21	4.39	262.2	74.06	15.45	13.52
PAK7	0.04	0.04	0.0	0.0	0.06	0.0	1.23	0.44	0.0	0.82	0.43	0.44	0.44	14.35	0.0	5.73	0.61	5.19	2.34	1.17	1.71	0.26	2.01	3.32	13.22	0.58	21.78	7.75	7.57	1.87	0.28	0.0	29.48	0.0	2.63	28.45	1.46	0.28	10.16	0.0	1.16	1.23	0.0	1.75	0.29	0.0	0.0	0.27	0.0	0.93	56.68	1.57	0.87	0.28	55.49	18.16	37.59	3.06	0.72	15.22	3.89	6.94	1.77	0.0	0.91	23.08	0.0	35.0	28.86	21.94	66.18	65.26	44.25	31.0	0.0	70.01	30.34	48.52	40.64	41.22	8.58	23.08	81.71	44.57	42.41	28.65	43.32	51.35	60.82	70.01	49.56	38.95	31.45	83.45	51.35	42.41	45.53	47.84	72.52	18.97	37.85	61.25	43.02	63.45	55.1	33.3	46.84	36.01	84.04	38.95	41.22	15.11	44.25	65.72	61.25	50.98	31.9	43.94	44.25	27.05	14.03	45.21	19.25	67.59	21.94	45.21	53.19	21.78	36.01	32.59	35.0	24.46	10.16	44.57	41.81	31.22	10.0	70.51	30.12	42.41	30.12	11.82	18.29	50.98	117.6	23.25	21.78	59.55	38.67	46.84	0.0	0.0	0.14	1.22	2.51	0.0	0.0	0.0	0.36	0.34	0.48	1.89	2.94	5.92	13.83	0.08	0.27	0.0	1.95	6.94	2.53	6.31	3.26	22.43	1.16
PCLO	6.31	4.58	2.34	3.2	5.28	4.7	5.92	12.27	5.77	11.47	10.0	1.79	2.68	60.82	42.41	50.98	84.63	42.71	67.59	61.25	83.45	102.25	7.75	104.42	84.04	127.89	72.01	24.46	197.09	76.17	80.01	40.64	151.22	206.94	86.43	133.36	59.13	38.95	48.18	61.68	18.03	101.54	371.22	40.07	37.85	64.34	205.5	44.57	58.71	4.62	50.98	40.93	39.5	29.06	125.24	55.89	85.22	6.36	50.27	81.14	108.14	6.26	100.83	144.01	84.63	118.43	32.36	52.82	91.41	92.05	123.5	144.01	93.35	145.02	28.24	102.25	51.71	96.01	62.12	59.97	26.47	98.73	146.03	108.9	120.94	101.54	139.07	111.99	194.36	81.71	92.05	77.79	144.01	140.04	135.24	99.43	57.08	124.37	131.51	136.19	92.7	134.3	101.54	105.15	155.5	137.14	53.19	81.71	134.3	81.71	68.55	87.03	99.43	157.68	177.53	136.19	112.77	187.71	164.42	59.13	100.13	141.02	38.12	110.43	100.13	161.02	135.24	85.22	140.04	87.65	163.28	97.36	83.45	74.06	78.34	336.79	46.5	244.57	111.99	115.16	199.85	44.57	33.06	229.72	142.01	63.45	97.36	177.53	133.36	143.01	3.86	0.0	6.06	2.14	26.47	0.0	0.09	40.07	6.94	6.67	37.05	14.24	0.87	0.51	11.55	2.05	9.2	3.92	11.3	12.83	3.63	12.0	15.56	9.06	9.41
PCP2	2.03	1.66	6.06	11.3	0.0	3.92	4.7	0.0	0.0	6.94	0.0	0.0	0.0	836.53	150.17	120.94	293.07	63.0	47.17	4.66	23.59	346.29	59.97	47.17	954.43	74.58	708.18	295.11	42.11	102.97	82.87	1059.11	111.21	307.69	49.21	76.71	5.28	22.1	114.36	143.01	12.83	101.54	45.53	748.61	44.25	31.45	232.94	143.01	39.5	2.51	236.21	25.35	66.18	4.24	129.69	145.02	177.53	4.54	4.98	87.65	363.56	4.17	68.55	353.59	201.25	77.79	0.82	110.43	91.41	31.45	67.59	108.14	36.01	83.45	0.0	169.07	40.36	56.68	8.58	29.91	43.63	53.57	128.79	50.98	94.01	57.89	42.71	95.34	23.76	38.67	126.12	16.03	24.28	229.72	54.33	125.24	114.36	57.08	154.42	115.97	42.11	151.22	140.04	152.28	164.42	71.0	19.53	57.08	116.78	14.67	129.69	48.52	100.13	55.49	76.71	37.59	59.55	131.51	54.72	21.78	19.39	56.28	63.0	59.97	72.52	129.69	135.24	218.79	40.64	55.89	56.28	31.0	94.67	144.01	265.87	285.03	18.43	98.04	62.56	106.63	48.52	125.24	64.34	170.25	108.9	152.28	34.02	107.38	54.33	57.08	0.0	4.7	9.06	11.73	0.0	0.0	0.39	10.55	21.32	0.0	2.71	0.0	0.0	0.0	1.25	1.3	0.0	0.0	9.56	2.05	5.63	17.51	12.0	52.08	10.55
