	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.E8.A2JQ.11A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.145MG.0826.SM.5Q5C2	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
QRICH2	0.0	0.38	78.34	77.79	25.91	119.26	42.11	154.42	87.65	59.55	158.79	45.21	104.42	104.42	35.0	113.56	38.4	111.21	63.45	31.9	50.98	102.25	40.36	36.27	107.38	39.22	121.79	68.55	57.89	135.24	36.27	65.72	90.77	164.42	139.07	30.56	48.87	24.46	49.21	41.81	77.25	47.5	24.81	16.88	48.87	100.83	59.13	50.63	82.87	258.57	228.13	63.89	271.48	134.3	183.82	142.01	111.99	175.07	85.82	156.59	77.79	47.17	208.38	166.73	269.6	132.44	218.79	111.99	110.43	103.69	88.88	117.6	318.57	172.65	144.01	80.57	142.01	93.35	180.02	150.17	118.43	180.02	158.79	111.21	198.47	157.68	57.08	190.34	166.73	264.03	122.64	91.41	195.72	346.29	166.73	228.13	242.88	139.07	63.89	115.97	53.57	181.28	149.12	117.6	139.07	112.77	141.02	137.14	120.1	112.77	133.36	208.38	204.07	130.6	332.14
RAB23	0.0	0.13	108.9	279.14	277.2	155.5	186.4	82.87	106.63	226.54	111.99	212.78	133.36	67.12	127.0	172.65	226.54	312.0	231.32	189.02	173.85	139.07	147.06	69.03	329.84	198.47	79.45	162.14	72.52	138.1	279.14	264.03	151.22	204.07	267.73	139.07	169.07	244.57	275.28	130.6	107.38	132.44	124.37	139.07	295.11	164.42	287.01	119.26	414.87	575.03	624.99	981.29	961.07	1259.69	518.15	703.28	518.15	373.81	1119.56	540.19	1044.52	320.8	435.55	267.73	748.61	848.22	346.29	283.05	718.08	708.18	420.68	842.36	435.55	633.73	447.82	373.81	674.59	299.25	543.96	607.87	738.29	563.18	536.45	454.09	642.59	780.44	995.0	878.17	392.44	669.92	629.35	607.87	915.51	426.57	514.56	525.39	373.81	607.87	651.58	728.11	555.41	713.11	293.07	514.56	518.15	620.67	540.19	371.22	289.02	490.14	780.44	420.68	497.0	1030.12	825.0
RANBP3L	0.0	0.04	5.23	12.18	10.0	19.82	6.84	12.83	3.79	2.97	33.78	9.2	15.91	12.0	2.89	2.92	12.93	32.13	13.22	16.39	4.46	12.83	6.06	2.78	18.16	2.73	17.0	8.58	8.71	13.62	18.03	19.82	9.93	8.85	18.03	2.63	6.06	2.12	15.22	21.63	19.97	16.15	14.24	3.41	16.51	19.82	19.82	6.67	48.18	113.56	107.38	87.65	43.02	85.22	76.17	54.33	15.8	45.53	61.25	36.27	109.66	12.09	102.97	57.49	35.5	101.54	85.22	80.01	75.64	67.12	40.64	72.52	53.95	94.01	43.02	31.22	198.47	45.21	84.63	26.1	35.76	69.52	48.87	27.25	98.73	244.57	85.82	104.42	26.1	88.26	41.81	38.12	156.59	87.03	50.98	17.51	62.12	15.56	72.01	130.6	19.97	48.87	45.21	53.19	29.48	26.86	74.58	58.3	36.01	32.82	32.13	75.11	24.99	36.01	102.97
RAP1GAP	0.0	0.0	1104.13	2417.67	1295.13	2163.77	769.69	1467.37	2133.97	1674.06	2400.97	3395.89	1950.0	713.11	1037.29	1225.22	2061.24	2609.3	426.57	1167.14	1427.22	2351.53	656.11	728.11	2303.12	743.43	995.0	1167.14	718.08	1883.54	1628.26	2193.99	2451.44	2178.83	2915.45	842.36	2255.7	733.19	2591.27	551.56	403.5	2119.22	1397.83	1030.12	2090.03	1268.46	1923.14	412.0	3928.15	9474.59	9740.98	9344.14	6935.54	9088.59	11189.6	4543.8	15180.22	18431.96	7966.99	8191.0	10659.59	7589.61	13306.94	7230.1	6426.31	8778.97	21468.49	16611.71	6381.92	9344.14	7749.1	3742.05	8363.13	6381.92	5441.3	10585.95	8305.36	6561.36	7695.57	9409.14	8191.0	6294.04	8778.97	8247.98	8538.88	3124.78	5517.27	4419.52	11345.82	5403.7	5791.62	15715.58	7280.4	7433.4	11584.24	20170.07	12502.12	10368.08	7433.4	12244.81	5183.54	14561.8	10808.41	11345.82	7032.37	10440.2	9474.59	19348.38	4972.34	13492.72	6607.01	1674.06	12244.81	8421.31	12943.04
RGS8	0.0	0.0	7.22	29.48	2.63	2.46	0.09	0.25	1.35	0.0	16.27	0.71	2.68	1.6	0.0	2.58	18.7	30.34	0.0	8.06	1.2	1.11	1.22	0.71	17.38	0.0	0.58	5.19	3.72	17.13	13.52	14.89	125.24	2.05	12.36	0.0	0.0	3.23	16.27	2.78	0.0	10.24	12.83	0.06	40.93	7.0	7.06	0.0	60.39	728.11	1295.13	511.0	872.1	629.35	66.65	307.69	46.5	20.56	289.02	389.72	255.0	13.52	503.95	100.83	1119.56	63.45	154.42	231.32	854.13	34.51	73.54	305.55	281.09	320.8	312.0	37.32	466.88	16.51	743.43	195.72	69.52	423.61	332.14	72.01	432.53	166.73	214.27	473.41	111.21	555.41	450.94	110.43	209.84	125.24	16.63	120.94	189.02	74.58	19.39	429.54	18.43	31.45	52.08	38.4	119.26	32.13	547.75	165.57	429.54	28.24	27.05	22.59	152.28	928.3	1023.0
RGS9BP	0.0	0.0	0.33	0.71	0.88	1.87	0.69	2.1	5.59	0.6	2.61	2.63	1.89	0.85	0.58	2.27	1.48	0.92	2.51	0.06	0.1	2.01	1.89	0.82	0.93	1.79	0.59	0.58	0.59	0.36	1.83	0.62	0.79	1.51	1.6	2.32	1.97	0.0	1.28	0.04	1.19	0.97	0.93	1.55	0.08	2.25	0.95	1.55	0.97	8.32	3.14	8.32	8.58	7.46	2.68	6.94	0.92	1.36	0.0	3.44	4.54	1.39	6.36	3.47	5.59	2.2	5.45	3.41	5.41	4.35	2.71	6.36	4.74	6.21	5.92	6.01	3.82	4.39	4.78	6.06	6.26	6.16	6.01	3.56	3.32	6.36	2.92	5.54	2.39	6.73	7.82	2.2	4.06	1.36	2.23	3.44	4.86	2.68	3.11	3.5	2.76	3.03	1.71	3.63	1.79	5.11	1.31	2.27	2.14	1.69	2.41	3.29	4.5	4.98	4.54
RNF150	0.0	0.26	26.1	92.05	17.77	49.91	13.83	41.22	22.75	8.78	35.5	67.59	23.42	15.22	7.0	22.1	69.03	40.07	21.16	31.9	53.19	21.94	17.13	7.51	41.22	24.46	21.47	15.91	15.34	30.78	36.53	28.65	53.19	33.78	40.36	5.73	8.25	22.1	94.67	17.13	11.04	49.21	27.25	16.03	65.26	28.04	17.13	16.27	72.52	220.32	264.03	251.48	172.65	320.8	208.38	201.25	155.5	164.42	283.05	105.15	239.52	145.02	165.57	167.9	237.86	271.48	112.77	260.38	156.59	163.28	351.14	193.01	134.3	208.38	172.65	106.63	186.4	67.12	258.57	144.01	198.47	279.14	185.11	241.19	88.88	351.14	466.88	132.44	94.01	150.17	103.69	307.69	137.14	72.52	115.16	53.57	89.51	145.02	101.54	226.54	277.2	99.43	95.34	202.66	90.77	112.77	271.48	285.03	140.04	113.56	25.72	17.13	229.72	209.84	195.72
RNF180	0.0	0.26	122.64	208.38	201.25	125.24	137.14	116.78	93.35	105.89	108.14	151.22	125.24	97.36	108.14	109.66	185.11	138.1	117.6	217.27	77.79	103.69	164.42	88.26	135.24	135.24	80.01	77.25	83.45	134.3	186.4	157.68	111.99	125.24	123.5	92.7	85.22	118.43	218.79	114.36	94.01	190.34	158.79	119.26	166.73	142.01	135.24	45.21	173.85	197.09	239.52	555.41	173.85	339.14	348.71	183.82	220.32	323.03	253.23	258.57	242.88	178.77	191.67	237.86	343.89	279.14	289.02	158.79	239.52	273.37	229.72	267.73	120.94	275.28	143.01	183.82	178.77	90.77	312.0	189.02	249.73	283.05	307.69	244.57	246.28	325.29	473.41	249.73	189.02	212.78	137.14	339.14	246.28	253.23	242.88	167.9	255.0	197.09	295.11	234.57	277.2	318.57	224.97	229.72	158.79	336.79	409.15	237.86	189.02	172.65	204.07	98.73	208.38	285.03	224.97
RPA3	0.0	0.36	583.07	507.46	607.87	616.37	493.56	480.04	785.88	708.18	559.28	532.74	575.03	651.58	579.04	571.05	500.46	591.22	511.0	780.44	713.11	599.49	684.02	457.25	521.76	551.56	412.0	802.41	543.96	802.41	559.28	612.11	633.73	511.0	420.68	753.83	836.53	620.67	460.44	743.43	587.13	759.08	551.56	723.08	476.71	521.76	764.36	693.58	890.44	624.99	878.17	1111.82	1216.75	1088.92	620.67	599.49	647.07	748.61	1175.27	753.83	1183.45	679.29	1151.06	633.73	723.08	748.61	708.18	866.07	813.63	1015.93	825.0	909.17	679.29	808.0	764.36	1044.52	587.13	1001.93	723.08	934.76	1350.18	775.05	571.05	830.75	1059.11	1023.0	1030.12	866.07	1119.56	1674.06	974.5	688.78	819.3	738.29	1498.22	1183.45	642.59	620.67	624.99	836.53	713.11	642.59	1143.1	995.0	1250.98	988.12	1397.83	808.0	1088.92	941.27	612.11	842.36	902.89	1104.13	878.17
SAMD15	0.0	0.0	43.32	61.68	36.01	38.12	31.0	80.01	20.11	26.67	50.63	51.35	34.02	38.4	25.54	48.52	59.97	44.89	26.1	49.21	17.25	39.22	27.44	30.12	46.18	61.68	27.05	17.51	44.89	40.36	39.79	32.13	56.68	17.51	59.55	10.39	26.28	32.36	79.45	39.79	28.86	29.7	44.25	42.11	71.5	73.03	21.32	21.32	70.01	49.56	100.83	112.77	69.03	76.17	96.68	59.13	67.12	46.84	105.15	65.72	72.52	29.7	39.79	68.55	70.51	102.25	43.63	59.55	68.55	83.45	56.68	58.3	41.81	88.88	47.84	44.57	54.33	23.08	59.97	74.06	79.45	77.79	96.68	58.71	106.63	151.22	180.02	53.57	39.22	94.67	28.65	50.63	69.52	85.22	63.0	73.03	89.51	53.57	62.12	83.45	55.89	39.5	38.67	94.67	71.0	87.65	100.83	80.57	115.16	32.36	31.45	37.59	72.01	91.41	63.45
SAP30	0.0	0.11	223.41	239.52	214.27	271.48	289.02	283.05	191.67	209.84	249.73	256.78	202.66	269.6	361.04	148.09	151.22	229.72	169.07	239.52	177.53	205.5	217.27	137.14	279.14	173.85	256.78	295.11	229.72	293.07	169.07	253.23	175.07	202.66	199.85	255.0	279.14	123.5	264.03	295.11	176.29	332.14	202.66	217.27	285.03	169.07	234.57	171.45	239.52	305.55	368.65	336.79	460.44	457.25	384.34	246.28	348.71	312.0	438.59	297.17	521.76	295.11	420.68	287.01	384.34	332.14	283.05	336.79	269.6	212.78	454.09	323.03	325.29	267.73	277.2	353.59	429.54	244.57	429.54	197.09	289.02	420.68	334.46	579.04	218.79	620.67	295.11	320.8	289.02	486.75	229.72	258.57	212.78	262.2	325.29	320.8	214.27	195.72	283.05	454.09	314.17	236.21	301.33	356.05	387.02	199.85	262.2	327.56	339.14	341.51	348.71	269.6	307.69	316.37	373.81
SCCPDH	0.0	0.52	599.49	591.22	703.28	536.45	529.06	536.45	480.04	656.11	373.81	587.13	454.09	490.14	633.73	624.99	764.36	518.15	633.73	713.11	463.65	540.19	647.07	587.13	511.0	688.78	503.95	575.03	567.1	507.46	599.49	624.99	698.41	438.59	511.0	559.28	674.59	698.41	493.56	633.73	503.95	543.96	629.35	708.18	547.75	563.18	665.29	575.03	563.18	713.11	665.29	674.59	995.0	1216.75	718.08	748.61	563.18	486.75	1268.46	563.18	915.51	718.08	830.75	551.56	830.75	718.08	718.08	703.28	988.12	866.07	624.99	896.64	819.3	775.05	679.29	961.07	928.3	607.87	591.22	928.3	896.64	1001.93	909.17	836.53	728.11	802.41	1388.16	1096.5	525.39	988.12	890.44	915.51	909.17	575.03	981.29	665.29	796.86	665.29	974.5	813.63	769.69	511.0	947.83	775.05	525.39	435.55	796.86	708.18	703.28	764.36	698.41	836.53	769.69	1073.91	775.05
SCNN1B	0.0	0.43	275.28	68.07	138.1	84.63	212.78	149.12	14.67	113.56	72.52	25.54	36.79	59.55	123.5	114.36	44.57	121.79	66.65	155.5	38.67	15.34	55.1	81.14	129.69	90.77	19.11	71.5	149.12	34.26	166.73	220.32	24.99	37.85	103.69	37.85	76.71	48.18	70.01	183.82	226.54	38.67	92.7	48.52	107.38	49.91	109.66	281.09	234.57	339.14	199.85	94.67	373.81	647.07	351.14	529.06	193.01	80.57	285.03	186.4	318.57	316.37	175.07	493.56	379.04	46.5	241.19	82.29	217.27	80.01	214.27	392.44	555.41	309.83	246.28	309.83	361.04	59.13	224.97	35.5	299.25	450.94	796.86	612.11	157.68	248.0	327.56	429.54	33.78	220.32	182.55	234.57	220.32	211.31	147.06	42.11	218.79	669.92	182.55	131.51	693.58	189.02	91.41	82.87	215.77	232.94	217.27	155.5	178.77	172.65	101.54	373.81	320.8	182.55	89.51
SEMA3D	0.0	0.21	7.28	150.17	0.92	136.19	0.99	56.28	10.79	1.22	62.12	7.63	115.97	5.96	4.54	2.86	191.67	186.4	8.78	24.63	19.97	31.9	18.56	1.99	153.34	22.26	38.95	14.03	11.3	36.53	39.22	29.48	18.03	185.11	180.02	1.0	2.81	11.82	258.57	2.63	11.21	120.94	38.12	4.86	373.81	40.64	40.07	3.17	348.71	392.44	2319.15	5633.22	764.36	1183.45	3982.99	1066.48	872.1	974.5	2351.53	441.64	2119.22	607.87	100.13	647.07	536.45	1143.1	2018.8	320.8	470.14	441.64	1477.58	748.61	403.5	1199.98	466.88	177.53	967.76	81.14	872.1	193.01	738.29	559.28	791.35	1540.37	211.31	785.88	5555.65	624.99	198.47	819.3	1259.69	2163.77	1733.13	264.03	647.07	543.96	351.14	2384.37	1427.22	563.18	1498.22	14561.8	769.69	466.88	241.19	5517.27	3257.52	1437.15	197.09	258.57	75.11	5.23	536.45	1857.6	780.44
SEMA4A	0.0	0.39	529.06	703.28	693.58	457.25	665.29	368.65	435.55	583.07	813.63	503.95	718.08	423.61	733.19	423.61	665.29	674.59	327.56	563.18	414.87	500.46	587.13	514.56	638.15	514.56	624.99	457.25	571.05	423.61	547.75	551.56	185.11	575.03	620.67	559.28	493.56	454.09	780.44	521.76	406.31	587.13	435.55	343.89	503.95	669.92	684.02	684.02	988.12	1350.18	1340.84	738.29	848.22	1721.16	1427.22	808.0	1030.12	1030.12	1437.15	1313.23	1295.13	476.71	1175.27	1216.75	674.59	915.51	1286.18	1088.92	1322.37	934.76	764.36	1088.92	1059.11	1073.91	1111.82	1135.2	1417.35	551.56	796.86	780.44	1096.5	450.94	1111.82	974.5	1104.13	656.11	1216.75	1001.93	679.29	1286.18	1388.16	1794.29	967.76	595.34	1447.15	674.59	1628.26	1277.29	713.11	941.27	395.18	759.08	896.64	836.53	1051.79	1127.35	1685.71	1059.11	764.36	1051.79	915.51	460.44	1208.34	1127.35	1242.34
SERTM1	0.0	0.0	0.0	18.97	0.0	3.79	0.0	16.39	3.11	0.16	4.13	37.59	22.75	8.32	1.71	0.64	3.86	5.63	0.69	0.71	18.03	6.52	1.17	0.0	15.68	0.42	2.34	7.46	1.3	17.51	37.59	2.23	24.99	13.12	33.06	0.73	4.43	2.01	4.28	0.16	1.57	4.66	2.48	0.18	1.23	6.94	7.57	0.54	16.27	769.69	161.02	189.02	1313.23	540.19	60.82	191.67	52.08	81.71	159.9	87.03	532.74	3.17	497.0	90.77	738.29	115.97	1059.11	66.65	624.99	80.01	53.95	339.14	301.33	679.29	199.85	165.57	532.74	30.34	579.04	175.07	94.67	189.02	309.83	120.1	81.71	90.14	289.02	381.68	53.19	1369.04	1295.13	72.52	273.37	202.66	63.45	113.56	30.12	20.11	21.01	435.55	20.56	255.0	58.3	49.91	169.07	111.21	214.27	114.36	198.47	18.03	19.68	13.03	108.9	387.02	201.25
SH3RF1	0.0	0.27	133.36	299.25	189.02	189.02	122.64	170.25	133.36	136.19	248.0	138.1	144.01	108.9	111.99	152.28	189.02	236.21	127.0	145.02	109.66	134.3	141.02	108.9	228.13	163.28	109.66	102.25	141.02	140.04	191.67	157.68	176.29	127.0	221.86	108.9	98.73	153.34	239.52	131.51	93.35	191.67	201.25	170.25	208.38	173.85	180.02	63.45	346.29	348.71	361.04	698.41	381.68	642.59	412.0	476.71	343.89	293.07	361.04	1127.35	417.77	281.09	376.41	339.14	1008.9	336.79	316.37	269.6	351.14	312.0	346.29	384.34	312.0	555.41	271.48	376.41	397.93	444.72	486.75	353.59	438.59	314.17	397.93	301.33	406.31	414.87	616.37	423.61	366.09	1519.15	426.57	346.29	406.31	356.05	239.52	244.57	708.18	392.44	403.5	1561.89	339.14	409.15	285.03	283.05	303.44	356.05	454.09	293.07	460.44	293.07	409.15	334.46	325.29	514.56	376.41
SLC20A2	0.0	0.77	1628.26	2502.97	708.18	1745.2	830.75	1519.15	1001.93	1088.92	2351.53	1233.75	1378.57	1561.89	1208.34	896.64	2178.83	1923.14	896.64	1259.69	1313.23	1286.18	1359.57	1359.57	1909.85	1806.78	1697.45	1159.07	1697.45	1551.09	1286.18	1561.89	1340.84	1551.09	1561.89	947.83	651.58	1628.26	2319.15	1745.2	1407.55	2004.85	1295.13	1135.2	1757.34	1745.2	1268.46	1437.15	2739.08	3820.7	3955.48	1583.71	3589.58	5292.48	3168.41	3395.89	4298.64	5076.84	3589.58	3325.99	3874.05	2591.27	3847.29	2701.35	3589.58	5076.84	4869.99	4388.98	4972.34	4836.35	2555.58	3235.01	3928.15	2895.31	3060.45	2895.31	3325.99	4038.61	3168.41	2255.7	3794.3	4419.52	3665.02	3168.41	3589.58	5147.73	4802.93	3540.14	4388.98	3768.09	3212.66	3349.13	3060.45	3103.19	2915.45	4268.94	3419.52	3060.45	3257.52	4239.45	3589.58	3419.52	3168.41	5255.91	2997.45	2739.08	2271.4	2956.17	2997.45	3081.75	2193.99	3257.52	3564.78	4066.71	3742.05
SLC25A33	0.0	0.08	38.67	78.89	23.59	63.89	36.53	32.82	58.71	38.12	60.39	91.41	93.35	44.89	32.36	22.59	53.57	53.95	40.07	39.22	70.01	70.01	29.06	28.45	54.72	25.72	63.89	66.65	24.81	71.0	37.85	41.81	52.82	59.13	75.64	28.45	63.89	30.34	58.3	29.91	42.41	87.03	44.57	36.01	37.32	50.27	44.89	30.12	107.38	90.77	152.28	49.21	182.55	176.29	143.01	74.58	164.42	217.27	111.21	136.19	229.72	239.52	111.99	152.28	275.28	255.0	175.07	258.57	124.37	158.79	204.07	190.34	99.43	68.55	57.49	154.42	99.43	112.77	102.97	135.24	202.66	126.12	155.5	221.86	94.67	129.69	295.11	161.02	180.02	146.03	189.02	194.36	103.69	123.5	412.0	154.42	81.14	171.45	206.94	242.88	305.55	146.03	262.2	172.65	150.17	201.25	125.24	237.86	136.19	177.53	197.09	89.51	96.01	218.79	165.57
SLC35B3	0.0	0.41	447.82	460.44	283.05	371.22	412.0	387.02	269.6	228.13	435.55	316.37	371.22	303.44	283.05	395.18	420.68	454.09	395.18	532.74	381.68	309.83	351.14	249.73	412.0	371.22	301.33	426.57	291.04	368.65	387.02	348.71	346.29	417.77	412.0	264.03	307.69	371.22	529.06	336.79	353.59	429.54	363.56	376.41	470.14	341.51	463.65	295.11	460.44	579.04	733.19	674.59	674.59	723.08	616.37	563.18	559.28	575.03	738.29	514.56	848.22	473.41	579.04	547.75	665.29	764.36	567.1	612.11	748.61	616.37	764.36	540.19	497.0	674.59	543.96	444.72	587.13	441.64	571.05	733.19	579.04	612.11	674.59	540.19	651.58	514.56	1111.82	563.18	507.46	698.41	684.02	651.58	647.07	529.06	753.83	547.75	470.14	532.74	551.56	473.41	733.19	684.02	624.99	583.07	511.0	612.11	1001.93	688.78	532.74	483.38	514.56	435.55	775.05	708.18	780.44
SLC38A1	493.56	103.69	299.25	503.95	33.54	384.34	114.36	177.53	463.65	232.94	312.0	688.78	323.03	228.13	66.18	358.54	325.29	346.29	295.11	371.22	314.17	299.25	379.04	241.19	368.65	143.01	297.17	224.97	107.38	483.38	525.39	232.94	854.13	262.2	366.09	373.81	231.32	111.99	373.81	228.13	198.47	423.61	363.56	279.14	483.38	395.18	269.6	161.02	679.29	417.77	981.29	884.29	387.02	928.3	1111.82	466.88	1639.59	1242.34	629.35	497.0	738.29	1023.0	395.18	961.07	559.28	1628.26	738.29	476.71	988.12	1199.98	620.67	480.04	409.15	463.65	518.15	343.89	423.61	780.44	563.18	620.67	555.41	525.39	591.22	718.08	536.45	842.36	947.83	529.06	633.73	307.69	575.03	1104.13	447.82	890.44	791.35	819.3	497.0	1350.18	738.29	878.17	1183.45	934.76	718.08	1540.37	450.94	1233.75	1001.93	693.58	500.46	825.0	476.71	587.13	507.46	769.69	616.37
SLC4A4	0.0	0.12	94.01	236.21	22.43	136.19	10.16	190.34	112.77	18.03	175.07	156.59	134.3	133.36	32.59	28.24	172.65	145.02	18.56	34.51	98.04	111.99	34.02	37.32	108.9	40.07	98.73	36.79	75.64	105.89	106.63	85.82	195.72	94.67	152.28	8.38	14.89	18.16	262.2	30.12	38.95	169.07	43.94	15.22	214.27	152.28	60.39	12.18	281.09	1427.22	1008.9	848.22	764.36	3716.2	1857.6	988.12	473.41	2609.3	2032.85	1359.57	1721.16	211.31	825.0	316.37	1437.15	769.69	536.45	208.38	1457.23	915.51	361.04	460.44	551.56	1199.98	583.07	532.74	1008.9	323.03	941.27	878.17	1313.23	988.12	1498.22	896.64	1111.82	1551.09	7695.57	1651.0	262.2	1540.37	1111.82	1159.07	1583.71	283.05	674.59	514.56	759.08	406.31	708.18	830.75	660.68	1870.53	674.59	802.41	287.01	1477.58	753.83	728.11	571.05	551.56	432.53	48.18	1250.98	2451.44	1191.69
SLITRK5	0.0	0.01	7.69	4.94	0.75	1.89	0.26	59.55	1.03	1.53	4.62	0.56	0.83	6.36	4.1	2.73	3.32	13.12	1.64	2.73	0.6	0.26	3.47	0.72	23.42	2.34	2.01	1.25	7.51	2.68	4.13	3.08	2.16	3.86	14.24	0.26	0.74	2.61	5.02	4.66	19.25	4.74	1.87	1.35	2.01	5.59	18.56	1.62	62.12	214.27	351.14	42.71	214.27	295.11	190.34	65.72	67.12	123.5	293.07	128.79	291.04	15.91	134.3	68.55	121.79	80.01	70.01	73.54	151.22	212.78	3.56	102.25	127.0	197.09	10.39	102.25	224.97	142.01	150.17	46.84	132.44	441.64	361.04	81.14	154.42	89.51	251.48	237.86	73.54	190.34	69.52	87.65	34.75	255.0	65.26	205.5	318.57	52.82	53.95	81.14	23.08	66.18	20.71	114.36	180.02	116.78	376.41	158.79	89.51	23.59	42.11	112.77	98.73	242.88	135.24
