	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.R55C.0626.SM.2TF4Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.111FC.1026.SM.5GZX1
GBE1	246.28	170.25	206.94	236.21	141.02	287.01	253.23	201.25	157.68	244.57	163.28	182.55	195.72	249.73	215.77	206.94	255.0	180.02	155.5	201.25	197.09	265.87	231.32	414.87	204.07	217.27	164.42	525.39	486.75	320.8	447.82	536.45	253.23	567.1	423.61	334.46	303.44	392.44	312.0	395.18	348.71	397.93	473.41	356.05	334.46	500.46	412.0	432.53	351.14	444.72	435.55	497.0	309.83	406.31	656.11	647.07	269.6	579.04	379.04	441.64	351.14	403.5	642.59	361.04	389.72	915.51	358.54	447.82	334.46	295.11	264.03	295.11	356.05	299.25	356.05	363.56	397.93	353.59	258.57	466.88	303.44	466.88	486.75	480.04	289.02	518.15	432.53	400.71	309.83	287.01	447.82	334.46	403.5	293.07	503.95	493.56	329.84	392.44	395.18	463.65	299.25	395.18	500.46	353.59	444.72	447.82	426.57	361.04	429.54	426.57	381.68	624.99	447.82	507.46	327.56	387.02	343.89	616.37	346.29	258.57	476.71	500.46	397.93	301.33
GFM1	262.2	273.37	420.68	346.29	255.0	514.56	435.55	480.04	248.0	470.14	351.14	336.79	397.93	366.09	273.37	450.94	371.22	297.17	423.61	323.03	358.54	529.06	353.59	620.67	297.17	376.41	432.53	591.22	595.34	438.59	575.03	595.34	460.44	764.36	638.15	490.14	651.58	603.67	341.51	567.1	607.87	511.0	620.67	497.0	368.65	567.1	503.95	579.04	616.37	599.49	583.07	1023.0	373.81	529.06	947.83	559.28	435.55	616.37	490.14	665.29	500.46	460.44	728.11	529.06	441.64	536.45	426.57	633.73	414.87	336.79	389.72	314.17	429.54	387.02	497.0	579.04	595.34	466.88	432.53	723.08	532.74	684.02	638.15	866.07	339.14	988.12	420.68	571.05	341.51	395.18	848.22	514.56	633.73	414.87	638.15	507.46	507.46	684.02	551.56	703.28	400.71	480.04	603.67	511.0	521.76	656.11	616.37	647.07	536.45	493.56	466.88	921.88	629.35	633.73	529.06	607.87	426.57	412.0	397.93	403.5	599.49	665.29	567.1	525.39
GNPDA2	325.29	229.72	293.07	332.14	176.29	260.38	334.46	301.33	175.07	241.19	224.97	224.97	264.03	309.83	178.77	312.0	301.33	228.13	262.2	201.25	271.48	307.69	229.72	376.41	226.54	251.48	181.28	395.18	403.5	279.14	381.68	536.45	376.41	438.59	323.03	463.65	358.54	514.56	287.01	312.0	403.5	334.46	334.46	327.56	305.55	301.33	397.93	255.0	332.14	246.28	397.93	733.19	234.57	389.72	460.44	379.04	353.59	341.51	316.37	417.77	348.71	269.6	323.03	368.65	353.59	395.18	221.86	420.68	336.79	285.03	301.33	303.44	346.29	348.71	295.11	343.89	406.31	361.04	262.2	403.5	314.17	376.41	307.69	595.34	307.69	463.65	305.55	228.13	332.14	255.0	389.72	381.68	363.56	500.46	438.59	283.05	316.37	521.76	381.68	361.04	429.54	426.57	395.18	299.25	312.0	473.41	441.64	384.34	373.81	283.05	397.93	583.07	507.46	384.34	363.56	299.25	368.65	314.17	264.03	327.56	426.57	334.46	351.14	329.84
GNS	1143.1	860.08	1088.92	988.12	878.17	1447.15	1044.52	947.83	890.44	1745.2	764.36	848.22	1037.29	1183.45	988.12	995.0	1477.58	842.36	928.3	753.83	961.07	995.0	1151.06	1508.65	954.43	1030.12	1407.55	1769.57	1551.09	1487.87	1572.76	1896.65	1407.55	1991.0	1794.29	1757.34	1685.71	2090.03	1340.84	1628.26	1832.01	1427.22	1583.71	1427.22	1359.57	2104.58	1991.0	1167.14	1870.53	1378.57	2061.24	2240.11	1175.27	1259.69	2303.12	1909.85	1268.46	1295.13	1242.34	1832.01	1331.57	2240.11	1685.71	1794.29	1617.0	1685.71	1208.34	1685.71	1407.55	1508.65	1467.37	1295.13	1594.73	1225.22	1709.26	2004.85	1322.37	1844.76	1216.75	1662.49	1096.5	2502.97	2502.97	2319.15	1199.98	1721.16	1216.75	1350.18	1259.69	934.76	1781.89	1639.59	1950.0	2018.8	1991.0	1457.23	1397.83	1883.54	1674.06	1745.2	988.12	1407.55	1697.45	1104.13	1295.13	2061.24	2163.77	1529.73	1757.34	1617.0	2004.85	2451.44	1605.83	1936.53	1417.35	1135.2	1340.84	1268.46	1233.75	1233.75	2303.12	1721.16	1447.15	1295.13
GOPC	366.09	312.0	387.02	435.55	273.37	309.83	392.44	329.84	237.86	241.19	325.29	323.03	283.05	395.18	217.27	351.14	389.72	277.2	403.5	432.53	251.48	373.81	423.61	466.88	309.83	373.81	187.71	633.73	525.39	387.02	511.0	693.58	381.68	603.67	450.94	796.86	420.68	540.19	262.2	392.44	529.06	392.44	432.53	373.81	356.05	450.94	476.71	493.56	432.53	450.94	521.76	796.86	277.2	476.71	583.07	339.14	435.55	420.68	511.0	551.56	480.04	334.46	351.14	423.61	450.94	559.28	429.54	457.25	420.68	371.22	420.68	289.02	406.31	417.77	514.56	395.18	441.64	525.39	392.44	387.02	579.04	529.06	518.15	802.41	327.56	753.83	435.55	371.22	435.55	460.44	620.67	368.65	441.64	460.44	503.95	397.93	529.06	599.49	373.81	536.45	493.56	412.0	353.59	470.14	450.94	476.71	525.39	356.05	414.87	329.84	473.41	620.67	660.68	429.54	500.46	497.0	339.14	384.34	277.2	473.41	551.56	473.41	438.59	497.0
GPR180	55.89	39.5	44.89	57.89	31.9	41.52	60.82	53.19	27.64	33.06	37.05	33.54	39.79	48.18	34.51	49.21	53.19	37.05	48.87	32.36	69.52	56.28	55.89	92.7	35.5	41.52	16.15	87.03	96.68	63.45	68.55	91.41	50.63	91.41	70.51	88.26	62.56	88.26	49.91	57.89	59.97	55.49	70.51	38.4	40.36	71.0	46.84	72.52	55.49	73.03	54.33	87.03	74.58	63.89	125.24	57.89	60.39	77.25	61.68	104.42	76.71	57.49	87.65	58.3	57.89	83.45	40.64	80.01	43.94	50.27	52.82	33.54	41.81	98.73	78.89	50.98	63.45	64.8	65.26	72.52	96.68	61.25	87.03	103.69	43.63	95.34	55.1	63.45	53.19	55.49	110.43	51.35	59.13	85.82	88.26	69.52	62.12	83.45	111.21	98.04	65.72	61.68	57.08	72.01	53.19	87.65	103.69	78.34	80.01	49.56	74.58	88.88	111.21	82.29	64.34	66.18	58.71	50.63	46.5	60.39	82.87	72.01	69.52	61.25
HBS1L	368.65	376.41	432.53	389.72	387.02	511.0	503.95	389.72	332.14	395.18	299.25	336.79	395.18	426.57	368.65	358.54	426.57	373.81	346.29	332.14	205.5	493.56	332.14	579.04	351.14	417.77	339.14	802.41	759.08	587.13	848.22	878.17	688.78	890.44	825.0	529.06	769.69	836.53	454.09	624.99	759.08	651.58	748.61	571.05	559.28	738.29	669.92	603.67	674.59	579.04	934.76	1159.07	563.18	633.73	1008.9	703.28	490.14	518.15	525.39	738.29	563.18	633.73	642.59	878.17	547.75	753.83	529.06	620.67	624.99	595.34	595.34	432.53	579.04	547.75	902.89	743.43	764.36	665.29	432.53	802.41	591.22	759.08	1037.29	1277.29	624.99	1023.0	591.22	447.82	432.53	480.04	1066.48	748.61	651.58	656.11	808.0	591.22	665.29	854.13	454.09	728.11	555.41	791.35	713.11	688.78	563.18	884.29	688.78	460.44	656.11	624.99	860.08	1081.39	1015.93	629.35	435.55	656.11	532.74	703.28	543.96	536.45	878.17	775.05	693.58	764.36
HDAC2	988.12	896.64	890.44	860.08	981.29	836.53	961.07	854.13	921.88	1008.9	764.36	1135.2	1044.52	915.51	947.83	884.29	934.76	1119.56	1015.93	780.44	466.88	896.64	796.86	1175.27	1096.5	981.29	995.0	1286.18	1427.22	1104.13	1322.37	1447.15	785.88	1331.57	1417.35	1447.15	1175.27	1388.16	1081.39	1015.93	1104.13	1143.1	1259.69	1487.87	1015.93	1313.23	1277.29	1059.11	1295.13	1191.69	1259.69	1369.04	1183.45	1322.37	1447.15	1295.13	928.3	1037.29	1030.12	1119.56	1008.9	1073.91	1350.18	1127.35	1183.45	1250.98	995.0	1359.57	1199.98	854.13	921.88	890.44	1051.79	1066.48	1313.23	1088.92	1183.45	1167.14	808.0	1407.55	1037.29	1208.34	1447.15	1572.76	1143.1	2075.59	1081.39	954.43	961.07	988.12	1183.45	1008.9	1143.1	1295.13	1216.75	1359.57	1001.93	1369.04	1015.93	1286.18	1059.11	1119.56	1216.75	1259.69	1096.5	1388.16	1167.14	1088.92	995.0	1268.46	954.43	1794.29	1437.15	1183.45	854.13	1167.14	1081.39	1286.18	1030.12	1111.82	1417.35	1313.23	1088.92	1023.0
IARS2	595.34	529.06	651.58	579.04	454.09	718.08	642.59	599.49	612.11	748.61	555.41	507.46	587.13	511.0	620.67	525.39	633.73	555.41	718.08	441.64	483.38	665.29	511.0	753.83	642.59	521.76	775.05	961.07	878.17	748.61	890.44	981.29	780.44	988.12	896.64	909.17	1104.13	1073.91	651.58	878.17	974.5	753.83	967.76	660.68	759.08	961.07	1008.9	595.34	941.27	764.36	1127.35	1081.39	547.75	674.59	1540.37	872.1	769.69	915.51	785.88	941.27	620.67	974.5	1066.48	915.51	915.51	988.12	698.41	1030.12	825.0	825.0	698.41	536.45	921.88	708.18	830.75	896.64	633.73	1030.12	607.87	981.29	651.58	1143.1	1250.98	1304.15	629.35	1096.5	723.08	813.63	708.18	660.68	928.3	872.1	836.53	1030.12	1167.14	872.1	769.69	785.88	780.44	1008.9	698.41	728.11	921.88	708.18	796.86	1015.93	974.5	780.44	896.64	981.29	866.07	1277.29	813.63	902.89	808.0	819.3	796.86	748.61	693.58	775.05	974.5	1008.9	860.08	872.1
KIAA1430	269.6	217.27	287.01	260.38	256.78	228.13	346.29	265.87	205.5	180.02	242.88	223.41	211.31	256.78	180.02	236.21	299.25	232.94	186.4	226.54	217.27	361.04	223.41	320.8	220.32	221.86	166.73	591.22	529.06	384.34	567.1	599.49	366.09	759.08	532.74	629.35	384.34	954.43	269.6	358.54	555.41	457.25	457.25	490.14	409.15	612.11	521.76	309.83	511.0	291.04	785.88	674.59	384.34	444.72	896.64	507.46	341.51	332.14	432.53	473.41	277.2	476.71	358.54	493.56	460.44	473.41	341.51	384.34	480.04	341.51	303.44	366.09	417.77	397.93	483.38	435.55	483.38	497.0	198.47	460.44	301.33	426.57	954.43	1081.39	332.14	718.08	361.04	246.28	363.56	289.02	633.73	414.87	571.05	529.06	403.5	532.74	426.57	785.88	281.09	417.77	447.82	583.07	579.04	529.06	283.05	693.58	723.08	214.27	466.88	293.07	454.09	476.71	616.37	529.06	348.71	303.44	417.77	713.11	423.61	353.59	543.96	454.09	320.8	521.76
KPNA3	126.12	223.41	255.0	246.28	171.45	251.48	277.2	293.07	191.67	204.07	214.27	208.38	248.0	285.03	206.94	301.33	312.0	211.31	157.68	232.94	198.47	316.37	305.55	332.14	232.94	279.14	102.97	406.31	389.72	285.03	480.04	395.18	226.54	555.41	476.71	376.41	358.54	476.71	299.25	244.57	400.71	361.04	320.8	346.29	258.57	381.68	289.02	312.0	295.11	441.64	397.93	444.72	248.0	397.93	543.96	314.17	275.28	253.23	241.19	454.09	363.56	253.23	277.2	325.29	299.25	414.87	273.37	279.14	287.01	178.77	201.25	234.57	239.52	312.0	368.65	341.51	358.54	309.83	249.73	314.17	307.69	327.56	387.02	507.46	258.57	536.45	211.31	343.89	279.14	267.73	567.1	353.59	271.48	348.71	435.55	384.34	363.56	559.28	381.68	332.14	323.03	293.07	316.37	242.88	248.0	470.14	438.59	329.84	332.14	281.09	269.6	607.87	476.71	297.17	339.14	285.03	295.11	406.31	323.03	307.69	412.0	358.54	325.29	312.0
LIN54	113.56	69.03	115.16	162.14	83.45	115.16	112.77	135.24	47.5	102.25	88.26	82.29	103.69	111.21	47.84	121.79	125.24	71.0	90.14	73.54	100.13	153.34	99.43	143.01	61.25	100.83	57.89	161.02	145.02	127.89	166.73	176.29	155.5	198.47	133.36	145.02	118.43	248.0	66.65	133.36	142.01	90.14	118.43	111.99	88.88	127.89	186.4	143.01	135.24	204.07	144.01	229.72	92.05	150.17	234.57	127.0	126.12	124.37	118.43	133.36	108.14	164.42	77.25	171.45	120.94	159.9	94.01	129.69	117.6	93.35	114.36	98.04	116.78	120.1	162.14	154.42	120.1	152.28	80.57	109.66	123.5	175.07	204.07	358.54	130.6	297.17	106.63	113.56	113.56	88.26	214.27	153.34	132.44	131.51	229.72	108.9	151.22	251.48	147.06	139.07	166.73	147.06	152.28	106.63	104.42	150.17	159.9	115.97	136.19	104.42	166.73	154.42	228.13	117.6	130.6	172.65	97.36	129.69	96.01	120.1	166.73	122.64	134.3	139.07
LMAN1	860.08	825.0	1008.9	1322.37	842.36	909.17	1183.45	728.11	780.44	872.1	934.76	669.92	698.41	1051.79	480.04	872.1	961.07	583.07	507.46	638.15	836.53	1167.14	872.1	1135.2	723.08	866.07	454.09	1487.87	1295.13	884.29	1437.15	1662.49	1008.9	1551.09	1551.09	1242.34	1437.15	1963.57	1001.93	830.75	1313.23	1044.52	1159.07	1407.55	1151.06	1199.98	1685.71	1407.55	995.0	1073.91	1819.35	1697.45	2193.99	1806.78	2119.22	1268.46	981.29	1059.11	909.17	1923.14	1001.93	1191.69	1119.56	1359.57	981.29	1001.93	988.12	1259.69	967.76	981.29	1119.56	961.07	1111.82	1487.87	1427.22	1250.98	1268.46	1151.06	836.53	1051.79	1487.87	1104.13	1487.87	2287.2	1322.37	1697.45	896.64	738.29	1127.35	934.76	1519.15	1427.22	1127.35	1487.87	1529.73	1407.55	947.83	1697.45	1331.57	1015.93	915.51	1051.79	1259.69	1417.35	974.5	1781.89	2090.03	1331.57	995.0	1015.93	1313.23	1662.49	1909.85	1322.37	1059.11	1059.11	1225.22	1397.83	1508.65	988.12	2061.24	1397.83	1151.06	1250.98
LRRC58	191.67	115.97	170.25	166.73	111.21	135.24	181.28	158.79	97.36	101.54	136.19	100.83	117.6	137.14	85.82	155.5	166.73	101.54	105.15	109.66	105.89	212.78	128.79	171.45	118.43	126.12	100.13	316.37	256.78	163.28	264.03	314.17	195.72	320.8	297.17	271.48	177.53	312.0	125.24	215.77	281.09	187.71	248.0	163.28	161.02	289.02	201.25	202.66	241.19	173.85	228.13	387.02	171.45	185.11	457.25	231.32	176.29	211.31	197.09	264.03	208.38	232.94	178.77	221.86	289.02	287.01	150.17	199.85	193.01	172.65	157.68	128.79	149.12	214.27	264.03	256.78	229.72	299.25	165.57	234.57	202.66	320.8	295.11	371.22	134.3	297.17	206.94	164.42	197.09	177.53	334.46	186.4	201.25	262.2	258.57	205.5	228.13	318.57	237.86	193.01	218.79	205.5	208.38	171.45	211.31	244.57	299.25	226.54	241.19	140.04	267.73	353.59	307.69	231.32	242.88	228.13	183.82	154.42	128.79	172.65	231.32	269.6	221.86	190.34
LZIC	320.8	327.56	351.14	371.22	273.37	346.29	412.0	368.65	366.09	441.64	305.55	303.44	339.14	327.56	285.03	271.48	373.81	269.6	325.29	348.71	273.37	400.71	285.03	397.93	275.28	320.8	348.71	547.75	503.95	435.55	490.14	612.11	460.44	490.14	571.05	511.0	603.67	620.67	376.41	423.61	536.45	432.53	412.0	400.71	483.38	466.88	511.0	381.68	547.75	400.71	486.75	583.07	269.6	450.94	629.35	460.44	518.15	361.04	366.09	457.25	343.89	351.14	409.15	493.56	518.15	414.87	417.77	368.65	480.04	441.64	438.59	368.65	518.15	253.23	518.15	463.65	381.68	603.67	275.28	511.0	412.0	457.25	624.99	567.1	376.41	633.73	325.29	454.09	473.41	420.68	429.54	536.45	384.34	480.04	656.11	514.56	470.14	551.56	392.44	480.04	346.29	447.82	353.59	450.94	353.59	486.75	403.5	320.8	423.61	521.76	406.31	536.45	525.39	409.15	303.44	457.25	423.61	503.95	529.06	395.18	567.1	540.19	450.94	529.06
MAN1A2	136.19	215.77	283.05	323.03	186.4	267.73	293.07	246.28	185.11	248.0	224.97	195.72	202.66	251.48	205.5	258.57	309.83	211.31	220.32	204.07	169.07	373.81	297.17	503.95	187.71	239.52	129.69	426.57	346.29	287.01	373.81	381.68	366.09	525.39	525.39	368.65	420.68	529.06	205.5	267.73	514.56	329.84	403.5	314.17	246.28	483.38	379.04	256.78	366.09	320.8	514.56	521.76	205.5	314.17	688.78	361.04	307.69	329.84	255.0	543.96	305.55	329.84	293.07	358.54	312.0	346.29	217.27	389.72	327.56	244.57	353.59	224.97	303.44	224.97	466.88	363.56	356.05	387.02	208.38	480.04	361.04	348.71	444.72	642.59	262.2	532.74	314.17	249.73	293.07	295.11	473.41	279.14	406.31	444.72	579.04	387.02	312.0	373.81	358.54	525.39	316.37	327.56	277.2	339.14	246.28	457.25	607.87	403.5	454.09	236.21	503.95	447.82	514.56	397.93	356.05	293.07	329.84	346.29	244.57	305.55	470.14	423.61	379.04	381.68
MCFD2	1167.14	902.89	1628.26	1208.34	713.11	1340.84	1250.98	1135.2	1104.13	947.83	1051.79	1030.12	1216.75	1119.56	947.83	1216.75	1250.98	848.22	947.83	796.86	909.17	1295.13	1883.54	2956.17	830.75	1397.83	860.08	2148.82	2335.28	1870.53	2163.77	2468.49	1806.78	2555.58	3103.19	1923.14	2367.9	3146.52	1662.49	1651.0	2796.65	1662.49	2047.0	1806.78	1628.26	2701.35	2400.97	1721.16	1977.24	1295.13	2664.15	2682.69	1883.54	2384.37	2591.27	2224.63	1594.73	1605.83	1857.6	2468.49	1540.37	2004.85	2287.2	2319.15	2090.03	1963.57	1685.71	2485.67	1883.54	1870.53	1745.2	1733.13	1832.01	1628.26	2502.97	2451.44	2178.83	2255.7	1208.34	2319.15	1745.2	2303.12	2555.58	3018.3	2104.58	3325.99	1350.18	1662.49	2209.26	1388.16	2400.97	2627.46	2384.37	2240.11	3212.66	3124.78	1639.59	2119.22	2573.36	2555.58	1572.76	1733.13	2163.77	2133.97	1745.2	2720.15	3820.7	2609.3	1896.65	2133.97	2451.44	2855.44	3146.52	2609.3	2271.4	1721.16	1963.57	2240.11	2163.77	1709.26	3419.52	2520.38	1883.54	2104.58
MMADHC	941.27	1030.12	947.83	928.3	967.76	921.88	1175.27	915.51	1015.93	878.17	842.36	1322.37	1127.35	1135.2	1037.29	941.27	1051.79	1008.9	866.07	954.43	669.92	1127.35	748.61	1487.87	1023.0	1088.92	1015.93	1447.15	1487.87	961.07	1794.29	1733.13	1073.91	1651.0	1498.22	1457.23	1369.04	1583.71	1350.18	1407.55	1508.65	1417.35	1359.57	1208.34	1313.23	1457.23	1407.55	1023.0	1685.71	1369.04	1467.37	2319.15	1073.91	1304.15	2178.83	1685.71	1191.69	1295.13	1322.37	1781.89	1417.35	1467.37	1498.22	1331.57	1508.65	1551.09	1104.13	1561.89	1295.13	1104.13	995.0	1127.35	1135.2	890.44	1447.15	1369.04	1487.87	1457.23	1191.69	1583.71	1081.39	1628.26	1709.26	2032.85	1322.37	1883.54	1259.69	1359.57	1286.18	1104.13	1639.59	1295.13	1508.65	1508.65	2075.59	1529.73	1369.04	1605.83	1781.89	1437.15	1066.48	1477.58	1685.71	1233.75	1519.15	1870.53	1369.04	1709.26	1378.57	1844.76	1529.73	2384.37	1832.01	1508.65	1427.22	1199.98	1216.75	1721.16	1417.35	1111.82	1359.57	1651.0	1427.22	1191.69
MOB1A	450.94	633.73	607.87	791.35	547.75	656.11	718.08	660.68	514.56	620.67	463.65	647.07	583.07	688.78	503.95	571.05	660.68	633.73	518.15	559.28	507.46	651.58	567.1	813.63	660.68	559.28	392.44	902.89	759.08	688.78	1259.69	1001.93	603.67	1073.91	934.76	934.76	743.43	1111.82	540.19	688.78	759.08	728.11	791.35	693.58	738.29	1037.29	825.0	540.19	866.07	753.83	1119.56	1183.45	563.18	728.11	1242.34	769.69	638.15	624.99	567.1	954.43	688.78	571.05	698.41	802.41	769.69	769.69	612.11	802.41	684.02	490.14	638.15	642.59	684.02	748.61	988.12	728.11	713.11	738.29	599.49	748.61	713.11	813.63	1498.22	1183.45	559.28	848.22	660.68	583.07	620.67	669.92	1023.0	603.67	753.83	808.0	1175.27	674.59	713.11	1151.06	780.44	988.12	612.11	599.49	743.43	669.92	743.43	1191.69	688.78	728.11	769.69	848.22	713.11	1104.13	981.29	848.22	575.03	656.11	718.08	941.27	860.08	629.35	825.0	723.08	733.19	595.34
MORF4L1	4903.87	5751.61	4937.99	5219.6	5872.48	4836.35	5995.9	4328.55	5995.9	2895.31	4268.94	5711.87	4937.99	4972.34	6516.03	4328.55	5479.15	5479.15	3467.27	4358.66	3103.19	5751.61	4038.61	6745.86	5555.65	4512.4	3982.99	7749.1	7081.29	6079.61	7857.29	7695.57	7382.04	9151.82	7857.29	8022.41	7642.41	9088.59	6983.79	5672.41	7695.57	7485.11	7032.37	6840.04	6652.97	8078.22	7966.99	5041.77	7537.18	5366.37	9151.82	9740.98	5954.47	6699.25	8901.53	8778.97	6207.38	5995.9	5791.62	7749.1	5041.77	7433.4	7803.01	8191.0	7032.37	6840.04	6887.62	7433.4	7382.04	5791.62	4937.99	6745.86	7803.01	5517.27	6935.54	7130.55	6745.86	7230.1	3820.7	8840.04	4937.99	6652.97	9876.98	9606.86	7081.29	10225.32	5672.41	4769.75	5441.3	5831.91	6840.04	7537.18	6426.31	8598.28	9088.59	7642.41	4802.93	8247.98	8022.41	7032.37	5076.84	7642.41	8247.98	6607.01	6840.04	8134.41	7433.4	5751.61	6294.04	7280.4	6337.83	11664.82	7081.29	7537.18	6164.49	6337.83	6745.86	8658.09	8658.09	5872.48	8598.28	8305.36	5995.9	7130.55
