	TCGA.XF.A9SI.01A.11R.A39I.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.BC.A10Y.01A.11R.A131.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.QA.A7B7.01A.11R.A32O.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.PD.A5DF.01A.11R.A27V.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1497J.0726.SM.5Q5D1	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.R53T.0326.SM.48FEC	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.J2.A4AD.01A.11R.A24H.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.63.A5MW.01A.11R.A26W.07	TCGA.52.7809.01A.21R.2125.07	TCGA.HC.7817.01B.11R.A29R.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.FL.A1YU.11A.11R.A32Y.07	TCGA.N5.A59F.01A.11R.A28V.07	TCGA.N8.A56S.01A.11R.A28V.07
RAD51	669.92	409.15	120.94	11.82	14.03	13.22	358.54	368.65	57.89	102.25	71.0	39.79	27.25	45.21	15.56	34.02	30.12	25.17	31.22	346.29	239.52	212.78	22.1	56.28	100.13	35.25	29.48	22.92	111.99	57.89	17.38	53.95	115.97	39.79	30.56	85.82	128.79	85.82	34.75	79.45	137.14	50.27	197.09	36.79	19.53	162.14	120.1	137.14	53.95	7.28	12.64	16.51	11.3	6.84	16.63	14.78	19.82	11.47	15.91	37.32	14.78	9.78	3.79	13.93	5.45	13.03	20.71	7.69	12.0	15.56	9.7	61.25	54.72	11.21	35.25	28.24	25.72	34.51	15.8	4.35	12.27	31.0	37.32	18.43	7.28	5.87	75.11	11.73	7.94	8.78	71.5	15.11	17.25	7.94	17.13	11.3	6.78	91.41	27.25	22.75	7.57	63.89	7.06	6.36	16.88	27.64	1.13	23.25	12.55	4.46	6.89	17.51	3.72	45.53	25.72	97.36	9.7	15.34	11.64	9.41	6.78	8.0	7.11	23.08	13.42	8.32	132.44	150.17	156.59	137.14	521.76	82.29	34.75	26.47	153.34	353.59	228.13	438.59	316.37
RAD51AP1	423.61	256.78	180.02	9.63	12.0	5.23	1313.23	575.03	109.66	93.35	58.71	18.03	28.24	65.26	16.88	31.45	12.09	31.67	74.06	384.34	120.1	567.1	23.59	40.07	63.0	26.1	38.95	21.78	258.57	54.72	33.06	37.32	111.21	33.06	40.07	124.37	99.43	53.19	49.21	82.87	75.11	55.1	376.41	46.18	33.78	351.14	183.82	118.43	88.26	6.36	14.56	15.22	17.64	11.55	9.13	11.04	5.06	19.53	8.99	66.65	13.52	2.14	9.78	16.27	12.93	17.13	18.03	7.22	14.45	15.8	5.73	24.99	81.14	6.94	35.5	13.72	16.75	27.05	36.27	33.3	17.77	10.79	19.53	15.68	5.54	11.38	78.34	16.15	5.96	1.43	37.59	10.88	11.73	1.46	15.22	11.13	10.39	56.28	7.69	44.25	7.94	58.71	6.52	9.2	10.63	15.45	7.94	34.02	15.91	9.78	6.31	15.0	6.41	18.03	28.45	68.55	5.68	14.24	12.0	0.57	7.82	13.22	17.64	3.56	11.64	28.65	226.54	224.97	239.52	866.07	954.43	78.89	29.06	90.14	575.03	486.75	212.78	299.25	438.59
RAD54L	212.78	151.22	96.01	5.02	8.85	4.39	540.19	343.89	33.06	105.89	49.91	24.11	22.1	52.08	21.01	19.39	9.34	33.06	19.39	269.6	281.09	529.06	28.86	79.45	85.22	38.95	26.86	9.13	108.14	74.06	16.03	46.5	150.17	23.93	28.65	92.05	88.26	87.65	24.11	46.84	89.51	24.63	603.67	37.32	18.43	275.28	159.9	82.87	47.84	4.13	12.93	2.86	18.16	2.68	14.14	11.04	5.87	8.51	6.21	18.56	11.21	5.54	3.96	7.11	11.47	11.04	8.45	9.41	5.5	2.18	3.82	35.25	42.41	2.1	33.06	4.82	3.56	12.0	19.68	1.73	13.12	1.53	10.31	13.42	1.33	6.36	45.85	4.94	0.92	2.18	2.41	3.2	8.19	9.48	15.8	10.47	2.16	73.54	3.14	10.88	1.23	20.71	25.91	5.68	6.67	4.7	5.15	14.03	7.88	1.46	5.68	4.31	3.35	26.67	9.41	62.56	2.86	30.56	2.2	1.73	4.78	6.67	2.05	9.27	12.27	3.89	318.57	161.02	460.44	438.59	466.88	46.18	32.82	31.22	551.56	414.87	293.07	579.04	395.18
RECQL4	1628.26	497.0	497.0	30.56	78.89	59.13	1008.9	1883.54	86.43	269.6	665.29	47.5	46.18	256.78	53.19	148.09	182.55	116.78	204.07	718.08	447.82	1135.2	343.89	312.0	1397.83	325.29	91.41	154.42	432.53	211.31	104.42	400.71	389.72	239.52	139.07	540.19	441.64	1008.9	96.68	397.93	381.68	289.02	1175.27	836.53	61.25	571.05	441.64	231.32	121.79	31.67	84.63	14.45	87.65	42.71	30.34	38.67	42.41	30.78	60.82	94.67	71.5	43.02	32.36	49.56	26.47	37.05	73.54	53.19	32.82	20.56	13.93	52.82	98.04	29.91	84.04	66.18	44.89	88.88	85.82	41.52	23.25	37.59	45.53	38.67	24.46	39.79	224.97	10.31	24.81	59.97	31.45	30.12	47.17	49.56	92.7	33.78	33.3	267.73	23.93	105.15	51.35	127.89	61.25	37.85	8.25	39.79	71.5	38.12	81.71	41.22	19.68	36.53	18.56	82.29	84.04	327.56	27.84	111.21	28.45	2.92	68.07	32.82	23.93	20.86	28.86	27.44	1397.83	642.59	848.22	2047.0	1066.48	249.73	295.11	316.37	934.76	1081.39	483.38	1477.58	785.88
RIBC2	85.82	139.07	32.59	4.28	10.31	0.96	102.97	77.25	8.65	57.89	8.32	4.1	3.0	16.27	2.41	9.34	2.84	0.0	11.38	7.4	17.38	147.06	6.67	8.45	83.45	4.78	11.3	8.92	30.56	5.32	0.0	14.67	34.02	11.64	9.41	67.59	77.79	22.43	16.75	23.42	20.56	4.86	98.04	28.04	9.63	61.25	18.43	8.85	13.83	2.2	2.14	3.56	1.45	0.49	0.0	1.6	3.59	0.99	1.46	13.72	2.89	1.43	0.0	0.95	0.0	0.46	2.58	1.53	1.6	2.51	3.26	0.58	25.17	6.11	9.34	4.43	8.65	1.43	6.21	1.36	1.08	0.0	0.0	3.26	0.0	0.0	9.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.38	3.11	11.82	0.0	8.85	0.0	14.03	6.73	13.62	0.0	0.0	0.0	0.0	0.0	9.06	0.0	0.0	0.0	6.84	8.0	50.27	0.0	6.52	2.03	0.0	8.13	0.0	11.04	4.9	0.0	1.91	64.34	88.88	248.0	246.28	81.71	50.63	54.72	34.75	125.24	72.52	166.73	45.85	52.45
RNASEH2A	1001.93	974.5	583.07	126.12	162.14	100.83	429.54	1540.37	339.14	529.06	476.71	118.43	229.72	368.65	181.28	236.21	195.72	158.79	224.97	1857.6	2061.24	1806.78	329.84	620.67	651.58	329.84	293.07	309.83	961.07	334.46	289.02	718.08	890.44	211.31	267.73	1191.69	642.59	890.44	249.73	397.93	866.07	305.55	1167.14	438.59	201.25	1685.71	808.0	728.11	346.29	161.02	152.28	70.01	206.94	123.5	167.9	106.63	121.79	128.79	169.07	232.94	157.68	92.7	98.04	146.03	105.89	140.04	138.1	133.36	80.57	148.09	172.65	158.79	293.07	56.68	297.17	148.09	106.63	159.9	193.01	100.13	186.4	171.45	209.84	88.88	58.71	108.14	579.04	75.11	137.14	88.26	191.67	55.1	147.06	100.13	118.43	159.9	45.21	518.15	115.16	187.71	98.73	329.84	100.13	116.78	96.68	61.68	115.97	123.5	151.22	66.65	99.43	183.82	60.39	191.67	169.07	460.44	108.14	161.02	104.42	89.51	138.1	127.89	76.71	120.94	123.5	110.43	480.04	525.39	1111.82	1313.23	1369.04	463.65	361.04	267.73	629.35	2758.13	1111.82	2061.24	1167.14
RNF214	336.79	387.02	281.09	191.67	269.6	170.25	403.5	363.56	403.5	329.84	291.04	170.25	265.87	218.79	214.27	204.07	241.19	275.28	217.27	309.83	356.05	518.15	265.87	279.14	366.09	202.66	260.38	309.83	242.88	318.57	262.2	417.77	236.21	265.87	291.04	187.71	232.94	283.05	299.25	307.69	348.71	295.11	381.68	285.03	258.57	241.19	169.07	161.02	351.14	167.9	231.32	173.85	175.07	125.24	281.09	291.04	237.86	142.01	255.0	226.54	255.0	142.01	140.04	234.57	206.94	193.01	232.94	234.57	177.53	277.2	271.48	236.21	251.48	281.09	283.05	186.4	198.47	212.78	193.01	151.22	249.73	279.14	226.54	204.07	149.12	212.78	162.14	125.24	314.17	373.81	215.77	139.07	201.25	262.2	283.05	356.05	191.67	256.78	237.86	171.45	211.31	193.01	303.44	271.48	224.97	185.11	229.72	153.34	239.52	190.34	242.88	287.01	293.07	295.11	226.54	277.2	164.42	332.14	264.03	161.02	173.85	303.44	255.0	255.0	158.79	242.88	353.59	521.76	320.8	529.06	381.68	303.44	341.51	334.46	470.14	497.0	429.54	351.14	567.1
RRM2	1286.18	379.04	1081.39	26.28	35.0	11.64	358.54	902.89	183.82	255.0	258.57	36.53	94.67	403.5	21.32	191.67	47.84	102.25	180.02	1030.12	555.41	1417.35	104.42	438.59	379.04	237.86	234.57	215.77	825.0	397.93	271.48	239.52	775.05	199.85	125.24	563.18	540.19	1073.91	132.44	642.59	947.83	197.09	890.44	500.46	125.24	1001.93	1044.52	454.09	607.87	13.22	72.52	15.0	28.04	17.0	81.14	48.18	31.9	37.32	10.24	265.87	33.3	13.72	7.57	38.67	39.79	32.13	65.26	46.18	40.93	22.43	10.55	115.97	376.41	28.45	241.19	71.5	60.39	93.35	40.36	140.04	29.48	17.9	48.18	27.44	29.91	26.28	318.57	23.08	10.47	17.64	143.01	25.91	26.67	20.26	75.11	50.27	26.1	633.73	28.45	208.38	16.51	141.02	22.92	12.09	35.25	29.27	9.2	43.32	44.57	19.39	9.13	2.66	11.13	78.89	149.12	281.09	23.25	116.78	16.88	16.88	41.22	39.22	43.02	21.16	25.72	46.84	656.11	684.02	1159.07	941.27	2075.59	189.02	25.35	30.56	2485.67	583.07	836.53	454.09	775.05
RUSC1	1322.37	1331.57	698.41	149.12	217.27	127.89	1044.52	1369.04	599.49	723.08	435.55	239.52	224.97	583.07	255.0	329.84	158.79	150.17	334.46	866.07	941.27	1151.06	303.44	660.68	551.56	389.72	295.11	444.72	480.04	327.56	423.61	389.72	555.41	251.48	457.25	872.1	1037.29	463.65	387.02	476.71	532.74	483.38	493.56	884.29	241.19	878.17	503.95	234.57	693.58	169.07	164.42	115.16	150.17	140.04	173.85	177.53	135.24	110.43	133.36	283.05	206.94	115.16	98.04	144.01	126.12	181.28	156.59	117.6	118.43	153.34	177.53	144.01	275.28	108.14	293.07	150.17	115.16	181.28	120.1	66.18	109.66	139.07	154.42	57.49	102.25	133.36	167.9	80.57	253.23	122.64	258.57	80.01	181.28	156.59	127.89	199.85	40.93	291.04	167.9	173.85	163.28	137.14	194.36	289.02	104.42	109.66	56.28	79.45	283.05	74.58	126.12	146.03	348.71	346.29	195.72	248.0	54.33	248.0	58.3	80.57	172.65	161.02	119.26	152.28	275.28	220.32	780.44	1216.75	2061.24	954.43	954.43	1242.34	928.3	1008.9	872.1	651.58	1225.22	1651.0	842.36
SAPCD2	113.56	218.79	90.77	4.06	2.97	3.08	684.02	89.51	66.65	22.43	19.11	4.58	7.28	7.46	3.72	10.96	2.25	5.32	10.55	8.06	51.71	503.95	3.89	2.1	100.13	11.82	6.67	10.88	28.65	10.63	7.51	19.53	20.41	5.32	13.12	60.82	92.7	11.21	9.78	13.03	37.85	11.38	279.14	24.81	5.32	23.42	7.11	29.06	62.56	1.53	3.96	1.77	3.56	2.14	4.13	1.81	2.05	6.46	3.14	7.51	4.24	3.08	1.48	1.62	2.71	2.48	2.29	2.76	1.25	6.21	4.03	22.59	6.11	6.26	36.01	2.12	6.94	8.99	13.62	13.72	2.89	3.56	25.17	0.35	1.06	1.48	7.75	0.0	0.69	0.74	7.06	0.91	1.87	3.79	6.46	3.29	0.31	26.86	4.66	15.34	0.2	6.46	2.25	0.48	3.0	7.34	0.2	1.45	0.16	0.29	0.0	1.58	0.0	28.24	17.13	47.17	2.41	13.12	2.07	0.0	4.24	2.16	2.27	0.29	0.71	1.87	316.37	138.1	171.45	226.54	470.14	147.06	299.25	197.09	896.64	287.01	323.03	490.14	351.14
SKA1	183.82	76.71	94.67	3.56	2.39	0.55	74.58	878.17	24.81	30.56	36.53	6.94	7.11	57.49	2.53	12.83	3.92	7.82	52.82	147.06	81.71	343.89	6.01	33.3	84.63	18.7	13.72	19.68	52.45	17.38	18.29	35.0	78.89	12.64	10.55	64.34	232.94	86.43	9.34	85.82	110.43	14.56	92.7	63.45	13.42	84.63	69.03	60.39	46.84	0.0	6.26	2.25	3.59	3.11	2.66	4.54	0.0	8.19	0.56	10.39	3.92	0.55	0.49	3.03	1.64	2.46	3.35	1.66	2.86	2.2	0.55	6.01	13.83	1.85	15.45	4.21	3.23	4.43	7.57	7.06	1.62	2.36	5.32	2.76	0.0	1.45	18.03	3.66	0.0	0.0	5.92	0.45	0.39	3.53	3.92	0.84	0.0	33.06	4.03	17.9	1.87	16.03	3.08	0.74	2.39	0.44	0.0	0.92	0.0	0.45	0.46	1.51	0.0	9.85	6.16	24.63	0.0	3.0	0.41	0.51	3.23	3.53	0.44	0.44	0.88	2.76	62.12	70.01	124.37	96.68	277.2	23.93	5.92	2.81	175.07	159.9	104.42	112.77	186.4
SLC26A11	228.13	432.53	120.1	139.07	181.28	119.26	514.56	432.53	299.25	334.46	262.2	145.02	167.9	206.94	127.0	133.36	162.14	146.03	246.28	267.73	361.04	423.61	153.34	265.87	343.89	127.0	159.9	176.29	260.38	176.29	154.42	275.28	217.27	164.42	164.42	409.15	743.43	180.02	246.28	320.8	209.84	181.28	214.27	234.57	156.59	241.19	132.44	193.01	264.03	99.43	102.25	167.9	111.21	151.22	211.31	157.68	122.64	151.22	111.99	175.07	156.59	127.89	57.49	151.22	122.64	142.01	176.29	147.06	151.22	115.97	118.43	108.14	164.42	163.28	229.72	143.01	131.51	156.59	89.51	63.89	197.09	181.28	239.52	70.51	75.11	165.57	88.88	116.78	183.82	166.73	182.55	169.07	162.14	130.6	178.77	204.07	74.06	181.28	197.09	138.1	194.36	115.16	152.28	152.28	97.36	112.77	115.16	112.77	201.25	91.41	117.6	154.42	239.52	105.15	176.29	171.45	79.45	329.84	135.24	78.89	115.97	171.45	124.37	234.57	79.45	182.55	555.41	529.06	387.02	497.0	237.86	348.71	397.93	262.2	473.41	329.84	281.09	764.36	466.88
SMC1B	7.34	3.96	9.41	1.73	0.65	0.0	10.08	13.52	0.42	13.93	3.76	1.25	1.2	15.0	0.68	0.68	0.0	0.0	2.97	4.43	1.93	52.45	0.59	3.89	23.93	1.03	1.19	1.5	11.73	1.2	0.0	4.24	2.81	0.66	0.0	0.93	6.84	1.03	1.87	7.34	7.63	0.66	28.86	4.28	2.39	76.17	1.48	0.58	5.19	0.0	0.0	0.0	1.06	0.58	0.58	0.0	0.0	0.0	0.0	1.33	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	1.48	0.12	3.2	0.83	0.0	0.23	3.29	0.0	0.03	0.13	0.0	0.26	0.28	0.0	1.2	0.0	0.11	2.61	0.28	3.06	0.0	1.23	0.13	1.03	0.22	2.43	0.0	2.94	1.13	5.41	0.18	0.0	0.0	0.21	2.53	0.16	0.09	0.21	0.0	0.0	0.17	0.0	0.33	20.26	0.0	2.76	0.0	0.0	0.22	0.0	5.02	3.03	1.11	0.0	7.34	77.25	34.51	8.38	24.81	1.08	1.33	1.06	4.28	13.83	1.3	6.52	8.71
SMC4	1015.93	698.41	785.88	175.07	163.28	303.44	1819.35	1685.71	214.27	480.04	283.05	153.34	246.28	291.04	134.3	285.03	204.07	152.28	417.77	656.11	638.15	1250.98	129.69	223.41	559.28	175.07	341.51	297.17	607.87	353.59	234.57	454.09	395.18	336.79	363.56	473.41	974.5	358.54	265.87	414.87	500.46	312.0	1721.16	256.78	470.14	1242.34	660.68	909.17	693.58	69.52	173.85	154.42	150.17	176.29	180.02	177.53	94.67	173.85	113.56	186.4	137.14	98.04	165.57	182.55	193.01	185.11	177.53	121.79	177.53	201.25	124.37	251.48	256.78	156.59	289.02	180.02	144.01	212.78	125.24	221.86	371.22	163.28	143.01	241.19	194.36	116.78	305.55	323.03	143.01	62.12	211.31	241.19	56.28	224.97	111.99	139.07	68.07	429.54	133.36	307.69	157.68	177.53	169.07	212.78	94.01	204.07	195.72	166.73	567.1	57.49	122.64	104.42	220.32	116.78	157.68	432.53	139.07	167.9	135.24	22.92	138.1	151.22	120.94	193.01	115.16	117.6	1023.0	802.41	1242.34	1572.76	2119.22	312.0	132.44	156.59	1519.15	1359.57	688.78	915.51	1008.9
STIL	95.34	90.14	49.91	13.42	9.63	7.88	314.17	154.42	41.52	37.05	20.86	8.71	11.21	23.59	5.23	19.68	14.35	14.35	18.7	88.88	74.06	81.71	12.09	25.35	40.93	12.64	13.83	15.8	57.49	20.71	10.24	27.84	107.38	23.08	18.97	35.0	46.84	23.59	19.39	51.35	68.07	12.93	194.36	18.16	25.91	137.14	74.58	35.5	32.13	3.69	3.06	4.86	6.78	5.68	10.88	4.98	3.79	9.2	3.99	16.75	4.9	2.76	2.51	6.11	2.86	11.64	9.13	3.53	9.34	7.11	7.88	19.82	24.99	4.03	8.85	13.93	9.93	34.02	5.15	17.13	3.92	9.13	4.98	4.31	6.94	2.97	17.64	3.44	1.97	7.06	9.63	3.99	3.14	8.25	9.78	13.72	3.26	24.63	7.4	15.34	6.89	10.39	8.13	11.04	4.54	18.29	4.06	4.82	12.45	1.14	2.58	2.12	10.47	8.92	6.36	37.59	7.17	15.22	10.0	0.19	12.0	10.31	7.28	7.0	5.96	5.32	136.19	142.01	190.34	111.21	249.73	64.34	37.32	34.51	348.71	102.97	59.97	75.64	185.11
STMN1	5555.65	6652.97	3794.3	392.44	525.39	384.34	10225.32	7749.1	2645.74	2090.03	1304.15	551.56	753.83	1551.09	738.29	733.19	473.41	934.76	848.22	8191.0	13586.57	6250.56	896.64	2400.97	3589.58	981.29	1051.79	802.41	3491.39	1540.37	915.51	1709.26	1331.57	866.07	1295.13	3146.52	1909.85	3768.09	1639.59	2255.7	4903.87	1508.65	7749.1	1023.0	693.58	4239.45	2224.63	2645.74	1757.34	884.29	791.35	351.14	435.55	262.2	327.56	642.59	215.77	414.87	441.64	961.07	423.61	197.09	217.27	379.04	320.8	323.03	547.75	260.38	392.44	480.04	348.71	575.03	1143.1	273.37	1936.53	389.72	303.44	490.14	507.46	543.96	269.6	269.6	674.59	368.65	327.56	674.59	1477.58	295.11	164.42	246.28	988.12	175.07	435.55	395.18	718.08	285.03	178.77	2777.33	616.37	830.75	371.22	896.64	460.44	334.46	356.05	241.19	91.41	403.5	341.51	208.38	470.14	764.36	339.14	738.29	1397.83	4328.55	283.05	1051.79	157.68	273.37	395.18	555.41	269.6	289.02	191.67	563.18	2777.33	9088.59	13586.57	10585.95	16157.44	1991.0	1037.29	1242.34	9673.69	20310.37	10959.3	27174.14	14461.21
TACC3	1378.57	842.36	723.08	95.34	164.42	45.53	3794.3	2997.45	320.8	376.41	295.11	100.83	126.12	339.14	138.1	244.57	136.19	151.22	194.36	591.22	988.12	2163.77	127.89	287.01	525.39	189.02	186.4	165.57	521.76	287.01	116.78	423.61	400.71	185.11	157.68	540.19	511.0	748.61	239.52	521.76	629.35	221.86	1151.06	379.04	218.79	1167.14	325.29	312.0	447.82	105.15	99.43	66.65	61.68	66.18	79.45	77.25	45.85	75.64	110.43	154.42	124.37	28.65	40.07	70.51	58.71	85.82	108.14	72.01	80.57	78.34	55.1	69.52	208.38	73.03	231.32	176.29	82.29	100.13	153.34	64.8	143.01	51.71	96.01	52.08	39.22	67.12	147.06	25.91	64.8	108.9	84.04	30.56	84.63	87.03	143.01	181.28	73.03	529.06	57.49	135.24	73.03	71.5	116.78	78.34	58.71	86.43	58.71	68.55	137.14	31.45	28.04	66.18	303.44	204.07	91.41	476.71	33.06	81.14	53.57	20.56	36.79	84.04	42.41	44.89	127.0	91.41	791.35	769.69	1059.11	1104.13	1378.57	232.94	63.45	121.79	1322.37	1605.83	1051.79	1977.24	1295.13
TCF19	629.35	336.79	376.41	23.25	23.25	14.24	329.84	221.86	173.85	173.85	103.69	26.86	40.36	127.0	22.43	55.1	20.86	29.48	130.6	285.03	460.44	269.6	41.52	127.89	438.59	70.01	74.06	57.89	307.69	145.02	57.49	112.77	301.33	42.11	76.17	400.71	409.15	275.28	71.0	163.28	229.72	73.03	587.13	136.19	55.89	406.31	603.67	186.4	228.13	25.72	24.46	14.45	26.47	21.94	32.13	18.97	10.71	17.9	26.86	74.58	26.86	7.94	7.57	22.26	17.0	24.11	28.86	16.88	20.11	15.68	13.22	28.86	125.24	10.79	87.65	37.85	20.26	63.45	53.95	22.1	18.7	21.94	60.82	16.39	11.82	10.55	166.73	11.21	14.45	8.85	39.5	10.0	23.08	23.93	32.59	14.89	4.74	189.02	17.77	59.13	6.52	113.56	24.63	28.45	19.97	17.51	20.11	37.05	14.24	4.21	9.27	13.83	10.55	52.08	49.56	147.06	5.73	57.08	5.32	5.68	10.63	15.34	21.63	18.84	10.79	29.48	269.6	253.23	1088.92	497.0	728.11	139.07	231.32	105.89	293.07	287.01	316.37	248.0	242.88
