	GTEX.S32W.1126.SM.4AD5V	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.1399R.0926.SM.5J2N8	GTEX.14E7W.1926.SM.5S2R9	GTEX.12WSD.2026.SM.5HL7D	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.13W3W.1826.SM.5IJDE	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.12696.1526.SM.5EGL6	GTEX.13VXT.1826.SM.5KM2F	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OW6.1626.SM.5IJD5	GTEX.14DAQ.1626.SM.5S2R1	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.SNMC.0426.SM.4DM5Y	GTEX.U3ZH.1126.SM.4DXUG	GTEX.12WSD.1926.SM.5GCOV	GTEX.QLQW.0626.SM.447A6	GTEX.146FQ.1126.SM.5NQBM	GTEX.P78B.1126.SM.3P615	GTEX.WRHK.0426.SM.4MVOG	GTEX.ZAB5.1026.SM.5HL91	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.PX3G.0726.SM.48TZT	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.XBEW.1426.SM.4AT4J	GTEX.ZEX8.1326.SM.4WWEW	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.WZTO.1526.SM.4PQYQ	GTEX.T2IS.0926.SM.4DM5B	GTEX.13O21.0826.SM.5J2NU	GTEX.13111.0926.SM.5DUVQ	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.XPVG.2026.SM.4B65E	GTEX.WK11.2626.SM.4OOSK	GTEX.ZVP2.0826.SM.59HJ6	GTEX.11EQ9.1726.SM.5HL6U	GTEX.S3XE.1326.SM.4AD4H	GTEX.12696.2226.SM.5EQ65	GTEX.14E6E.1126.SM.5S2R4	TCGA.BR.8371.01A.11R.2343.13	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.146FH.2126.SM.5SI9U	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UJHI.1026.SM.4IHJP	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BK.A4ZD.11A.12R.A27V.07	TCGA.FL.A1YG.11A.12R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	GTEX.T5JW.1526.SM.4DM5E	GTEX.ZP4G.0726.SM.4WWF2	GTEX.PWN1.2026.SM.48TD9	GTEX.11ZTT.1726.SM.5EQL4	GTEX.Y114.1826.SM.4TT87	GTEX.XUJ4.1526.SM.4BONU	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.S341.1026.SM.4AD71	GTEX.RU1J.1026.SM.46MUR	GTEX.YJ8O.1126.SM.5P9IS	GTEX.R55G.1626.SM.48FF4	GTEX.WEY5.0726.SM.4LMID	GTEX.S32W.1426.SM.4AD66	GTEX.T2IS.2226.SM.4DM65	GTEX.145ME.1326.SM.5O98Q	GTEX.13QBU.1626.SM.5LU4S	GTEX.ZYWO.2126.SM.5GZXF
JMJD7-PLA2G4B	36.27	28.45	40.07	17.77	38.4	32.82	26.28	36.53	18.43	15.11	46.18	81.71	90.77	131.51	144.01	145.02	127.0	201.25	124.37	151.22	277.2	281.09	163.28	128.79	187.71	269.6	163.28	256.78	115.97	239.52	220.32	229.72	379.04	151.22	202.66	228.13	100.13	244.57	185.11	221.86	49.91	171.45	125.24	89.51	177.53	218.79	166.73	262.2	147.06	189.02	99.43	119.26	87.03	232.94	236.21	80.01	99.43	37.32	37.85	27.64	14.56	25.72	25.91	31.45	30.78	29.06	18.29	39.79	29.48	9.78	21.63	85.22	47.5	67.12	30.12	26.86	5.06	14.56	59.13	43.02	22.43	120.94	59.97	40.64	53.19	35.25	18.16	71.5	45.85	127.89	48.52	42.71	34.02	58.3	120.94	19.82	35.0	81.71	47.5	55.1	57.89	30.12
KIAA0895L	470.14	181.28	161.02	49.56	423.61	87.03	98.04	193.01	96.68	181.28	73.03	457.25	199.85	507.46	450.94	1081.39	334.46	1151.06	698.41	780.44	1685.71	1295.13	1757.34	830.75	1104.13	1561.89	1030.12	1088.92	642.59	1051.79	1313.23	1023.0	2090.03	967.76	1259.69	1340.84	497.0	2104.58	1030.12	1437.15	363.56	1044.52	395.18	624.99	1286.18	1467.37	698.41	1407.55	1295.13	723.08	688.78	988.12	567.1	1781.89	1111.82	518.15	547.75	124.37	66.65	76.17	187.71	99.43	134.3	183.82	316.37	108.14	81.14	87.65	111.21	33.78	244.57	563.18	312.0	246.28	316.37	450.94	153.34	177.53	269.6	241.19	120.1	785.88	323.03	255.0	395.18	316.37	117.6	791.35	155.5	802.41	255.0	223.41	242.88	301.33	775.05	293.07	320.8	656.11	466.88	507.46	796.86	169.07
KIAA0907	224.97	246.28	206.94	191.67	466.88	182.55	223.41	297.17	256.78	141.02	215.77	395.18	583.07	791.35	808.0	860.08	532.74	860.08	1081.39	753.83	1397.83	1572.76	961.07	1199.98	941.27	1583.71	878.17	1519.15	961.07	947.83	1540.37	1111.82	1519.15	1066.48	1304.15	1508.65	764.36	1233.75	1340.84	941.27	450.94	954.43	480.04	612.11	1583.71	1127.35	1001.93	1487.87	1104.13	1322.37	651.58	981.29	764.36	947.83	995.0	769.69	884.29	309.83	265.87	389.72	384.34	320.8	358.54	214.27	409.15	339.14	287.01	190.34	323.03	339.14	241.19	848.22	336.79	633.73	236.21	258.57	131.51	212.78	262.2	514.56	211.31	934.76	417.77	460.44	486.75	277.2	164.42	616.37	329.84	642.59	307.69	376.41	392.44	432.53	507.46	175.07	283.05	688.78	353.59	441.64	808.0	289.02
KIAA1407	48.52	42.71	59.13	22.1	73.54	46.18	49.91	80.57	83.45	51.71	90.77	100.83	119.26	62.56	101.54	108.14	111.21	102.25	65.72	92.7	283.05	346.29	215.77	201.25	190.34	117.6	127.89	149.12	118.43	143.01	208.38	239.52	153.34	214.27	314.17	312.0	87.03	231.32	285.03	122.64	108.9	142.01	91.41	82.29	264.03	209.84	194.36	323.03	217.27	121.79	125.24	181.28	115.16	339.14	232.94	109.66	180.02	106.63	122.64	83.45	82.87	76.17	118.43	60.39	78.34	84.04	66.65	62.56	42.41	55.49	33.06	177.53	80.57	144.01	61.68	44.25	36.27	32.36	69.03	57.89	47.17	195.72	94.01	98.04	107.38	82.87	75.11	187.71	111.99	122.64	78.34	116.78	75.11	115.97	366.09	31.67	108.14	94.01	133.36	141.02	361.04	42.41
KLKB1	7.11	21.78	15.22	13.32	10.0	2.23	3.56	11.38	17.64	11.82	10.96	8.92	18.97	5.59	25.72	32.82	48.52	33.54	31.9	31.67	74.06	176.29	28.04	27.25	76.17	60.39	42.11	34.26	37.32	85.82	52.82	90.14	57.49	64.34	334.46	312.0	31.9	97.36	167.9	37.05	11.73	116.78	30.34	85.22	141.02	123.5	21.01	212.78	197.09	52.08	56.68	71.5	40.93	112.77	167.9	26.47	26.47	8.58	3.35	3.53	3.82	0.67	4.7	6.78	3.96	3.99	3.63	5.06	2.29	1.87	1.5	19.97	9.56	10.47	17.64	5.11	12.55	0.97	13.22	55.1	5.5	11.64	10.47	4.03	18.16	3.0	15.0	33.06	6.36	14.67	6.11	7.88	48.18	3.89	57.08	7.94	9.85	10.55	10.88	8.85	11.13	5.36
L3MBTL1	24.11	71.0	57.08	52.45	74.58	52.08	87.03	99.43	72.52	58.3	92.7	89.51	182.55	376.41	206.94	325.29	223.41	351.14	334.46	307.69	713.11	688.78	400.71	371.22	297.17	358.54	376.41	607.87	201.25	426.57	591.22	540.19	703.28	414.87	591.22	698.41	248.0	480.04	414.87	435.55	191.67	376.41	170.25	204.07	525.39	575.03	320.8	651.58	423.61	353.59	205.5	248.0	309.83	463.65	376.41	170.25	320.8	121.79	92.7	110.43	70.51	45.85	96.01	61.68	105.89	65.26	37.32	43.63	51.71	64.34	30.78	236.21	145.02	186.4	68.07	82.87	38.4	61.68	126.12	159.9	40.36	242.88	100.83	102.97	94.67	43.02	30.34	127.0	66.18	189.02	115.16	59.97	38.95	111.99	275.28	28.86	81.14	151.22	107.38	92.7	152.28	43.32
LMBR1L	624.99	575.03	559.28	329.84	819.3	318.57	447.82	620.67	555.41	599.49	441.64	902.89	819.3	1457.23	1651.0	2061.24	1159.07	1594.73	1477.58	928.3	1832.01	2319.15	1674.06	1447.15	1304.15	1936.53	1119.56	2384.37	1127.35	1340.84	1733.13	1662.49	3103.19	1477.58	1540.37	2434.5	1242.34	1769.57	1594.73	1721.16	698.41	1331.57	1023.0	921.88	2090.03	1605.83	1388.16	2271.4	1628.26	1781.89	848.22	1127.35	1001.93	1674.06	1583.71	928.3	1605.83	563.18	397.93	583.07	607.87	718.08	718.08	563.18	660.68	514.56	361.04	423.61	599.49	547.75	476.71	813.63	629.35	780.44	555.41	780.44	486.75	669.92	728.11	921.88	406.31	1167.14	708.18	780.44	796.86	575.03	521.76	947.83	836.53	825.0	728.11	713.11	738.29	796.86	1313.23	532.74	567.1	723.08	450.94	813.63	1096.5	395.18
LRP5L	58.71	78.89	36.53	27.25	107.38	23.59	44.89	103.69	63.89	26.1	56.68	60.39	91.41	143.01	120.94	115.97	57.49	180.02	189.02	112.77	260.38	318.57	105.15	138.1	93.35	201.25	125.24	291.04	153.34	249.73	229.72	187.71	248.0	149.12	346.29	279.14	120.1	170.25	285.03	85.82	81.71	138.1	102.97	115.97	239.52	204.07	108.14	293.07	221.86	164.42	115.97	205.5	129.69	297.17	212.78	89.51	146.03	65.72	20.56	57.08	63.0	55.1	64.8	41.81	53.19	83.45	42.41	37.32	47.5	47.5	28.24	135.24	69.03	85.82	42.41	39.22	17.38	52.82	80.01	52.45	26.28	107.38	80.01	87.03	92.7	48.87	40.64	103.69	64.8	84.04	84.63	54.72	100.13	94.01	193.01	50.98	49.56	153.34	95.34	58.3	107.38	43.63
LUC7L	518.15	954.43	967.76	518.15	1159.07	486.75	728.11	624.99	603.67	444.72	624.99	1447.15	941.27	1242.34	947.83	1259.69	860.08	1757.34	1322.37	1286.18	3235.01	2287.2	1529.73	1340.84	1159.07	2271.4	1159.07	2090.03	2090.03	2400.97	2047.0	1721.16	2537.92	1832.01	2915.45	2895.31	995.0	1896.65	1806.78	1651.0	703.28	1477.58	981.29	902.89	2434.5	2720.15	1151.06	2816.11	2875.3	1583.71	915.51	1950.0	961.07	3212.66	2835.7	825.0	995.0	836.53	414.87	403.5	674.59	591.22	384.34	551.56	457.25	638.15	441.64	587.13	473.41	361.04	273.37	1135.2	708.18	647.07	466.88	514.56	395.18	417.77	791.35	1331.57	607.87	1594.73	1151.06	1088.92	1286.18	961.07	679.29	1340.84	1088.92	1225.22	866.07	642.59	1001.93	1457.23	2075.59	836.53	796.86	1331.57	1322.37	1498.22	1781.89	1088.92
LY6G5B	53.95	69.52	121.79	72.01	115.97	36.27	14.89	77.25	51.71	28.04	59.55	154.42	241.19	543.96	182.55	447.82	199.85	575.03	748.61	195.72	748.61	703.28	429.54	271.48	376.41	934.76	389.72	967.76	629.35	521.76	718.08	665.29	743.43	480.04	665.29	1088.92	486.75	713.11	497.0	264.03	214.27	511.0	438.59	269.6	890.44	679.29	514.56	1066.48	551.56	733.19	283.05	470.14	406.31	547.75	470.14	307.69	599.49	70.51	29.91	68.55	49.21	34.26	79.45	17.51	64.8	24.81	21.94	52.45	55.49	98.04	13.12	363.56	183.82	141.02	36.27	117.6	24.81	43.63	81.14	175.07	45.21	289.02	65.72	80.57	128.79	73.54	110.43	133.36	103.69	125.24	90.77	149.12	120.1	108.14	140.04	50.27	96.68	131.51	59.97	190.34	229.72	32.82
MAPK8IP3	262.2	332.14	521.76	236.21	409.15	178.77	241.19	316.37	285.03	297.17	231.32	454.09	647.07	785.88	1066.48	1304.15	679.29	1304.15	1529.73	988.12	2061.24	2240.11	1350.18	1183.45	1135.2	1844.76	1023.0	2209.26	1225.22	1950.0	1936.53	1651.0	2104.58	1143.1	1977.24	1936.53	884.29	1662.49	1561.89	1417.35	447.82	1183.45	866.07	974.5	1769.57	1963.57	1199.98	2367.9	1295.13	1651.0	651.58	1457.23	941.27	2303.12	1508.65	785.88	1259.69	307.69	289.02	291.04	197.09	529.06	264.03	181.28	412.0	182.55	132.44	155.5	241.19	170.25	101.54	1225.22	563.18	656.11	214.27	329.84	87.03	198.47	314.17	718.08	136.19	860.08	406.31	353.59	423.61	260.38	224.97	629.35	500.46	769.69	403.5	289.02	303.44	559.28	890.44	256.78	303.44	563.18	371.22	616.37	656.11	186.4
MBD1	708.18	674.59	607.87	620.67	738.29	769.69	775.05	738.29	848.22	521.76	890.44	878.17	1096.5	1051.79	954.43	1159.07	1044.52	1183.45	1304.15	1175.27	1250.98	1378.57	1191.69	1127.35	1001.93	1369.04	1059.11	1583.71	1081.39	1259.69	1081.39	1268.46	1923.14	1183.45	1331.57	1378.57	1023.0	1417.35	995.0	1340.84	1111.82	1331.57	988.12	1191.69	1073.91	1407.55	1104.13	1561.89	1030.12	1286.18	884.29	1167.14	1015.93	1397.83	1104.13	1127.35	1104.13	961.07	830.75	723.08	665.29	718.08	785.88	738.29	848.22	684.02	620.67	521.76	633.73	693.58	703.28	896.64	884.29	1111.82	764.36	651.58	660.68	743.43	866.07	1037.29	796.86	1023.0	848.22	819.3	579.04	575.03	540.19	743.43	603.67	934.76	808.0	775.05	607.87	854.13	1286.18	466.88	575.03	1001.93	785.88	733.19	890.44	483.38
MBD6	476.71	470.14	764.36	348.71	616.37	429.54	547.75	718.08	476.71	486.75	403.5	460.44	713.11	995.0	1066.48	902.89	769.69	1151.06	1605.83	1066.48	1662.49	1487.87	1508.65	954.43	1340.84	3325.99	1331.57	2075.59	1233.75	1015.93	1685.71	1233.75	2193.99	1268.46	1313.23	1417.35	1088.92	1844.76	974.5	2148.82	947.83	1037.29	1023.0	1104.13	1008.9	1015.93	1572.76	1781.89	1467.37	1286.18	1030.12	1259.69	1059.11	1388.16	1819.35	842.36	1583.71	529.06	511.0	921.88	660.68	426.57	909.17	540.19	947.83	679.29	603.67	624.99	616.37	764.36	575.03	988.12	753.83	1044.52	764.36	1175.27	656.11	836.53	743.43	995.0	379.04	954.43	1073.91	1081.39	624.99	633.73	563.18	1250.98	660.68	1151.06	713.11	591.22	480.04	633.73	866.07	486.75	587.13	1159.07	921.88	753.83	1037.29	493.56
METTL17	387.02	785.88	1059.11	819.3	915.51	403.5	616.37	656.11	575.03	423.61	591.22	934.76	1023.0	1388.16	1350.18	1242.34	785.88	1427.22	1617.0	1088.92	2018.8	2047.0	1340.84	1295.13	1397.83	2555.58	1199.98	2367.9	1769.57	1709.26	1963.57	1685.71	2209.26	1331.57	2367.9	2720.15	1378.57	2018.8	1781.89	1477.58	728.11	1662.49	1250.98	1191.69	2400.97	2004.85	1437.15	2434.5	1806.78	1896.65	1030.12	1745.2	1313.23	2193.99	2485.67	1081.39	1359.57	802.41	438.59	669.92	674.59	567.1	599.49	371.22	748.61	679.29	616.37	718.08	435.55	591.22	339.14	890.44	684.02	802.41	563.18	713.11	395.18	503.95	595.34	848.22	536.45	1250.98	785.88	836.53	872.1	587.13	642.59	1143.1	791.35	1378.57	563.18	466.88	629.35	854.13	1233.75	620.67	551.56	954.43	836.53	909.17	1059.11	583.07
METTL3	503.95	303.44	426.57	444.72	579.04	387.02	417.77	483.38	389.72	316.37	417.77	620.67	713.11	656.11	981.29	934.76	825.0	915.51	967.76	665.29	1277.29	1350.18	1044.52	775.05	819.3	1350.18	866.07	1242.34	1242.34	1225.22	1286.18	1143.1	1277.29	1175.27	1286.18	1477.58	915.51	1088.92	1051.79	723.08	642.59	1023.0	819.3	743.43	1216.75	1304.15	896.64	1583.71	1135.2	1242.34	708.18	1073.91	896.64	1369.04	1407.55	764.36	1023.0	688.78	486.75	638.15	563.18	521.76	698.41	514.56	656.11	497.0	616.37	595.34	514.56	603.67	507.46	674.59	583.07	647.07	368.65	429.54	249.73	336.79	395.18	575.03	473.41	1037.29	567.1	595.34	698.41	571.05	507.46	780.44	536.45	764.36	599.49	567.1	555.41	642.59	872.1	450.94	529.06	890.44	723.08	665.29	890.44	460.44
MMS19	674.59	599.49	624.99	500.46	902.89	624.99	612.11	796.86	713.11	460.44	665.29	808.0	1066.48	1498.22	947.83	928.3	802.41	961.07	1096.5	947.83	1295.13	1397.83	902.89	1127.35	1073.91	1427.22	1059.11	1457.23	1159.07	1277.29	1259.69	1008.9	1350.18	1044.52	1313.23	1268.46	1051.79	1216.75	1104.13	1104.13	780.44	1151.06	796.86	1216.75	1037.29	1135.2	1081.39	1561.89	1159.07	1088.92	896.64	1233.75	1008.9	1250.98	1477.58	854.13	854.13	884.29	830.75	665.29	872.1	934.76	825.0	575.03	909.17	995.0	511.0	679.29	674.59	728.11	497.0	896.64	587.13	915.51	825.0	728.11	373.81	503.95	540.19	713.11	759.08	1127.35	890.44	1073.91	780.44	723.08	435.55	1104.13	679.29	890.44	791.35	438.59	563.18	884.29	1066.48	587.13	688.78	1295.13	921.88	995.0	1199.98	713.11
MSANTD2	93.35	48.87	103.69	41.52	129.69	65.72	67.12	103.69	82.29	47.17	71.5	183.82	150.17	138.1	105.89	258.57	105.89	237.86	244.57	185.11	356.05	309.83	239.52	197.09	151.22	299.25	209.84	255.0	289.02	229.72	341.51	258.57	420.68	297.17	327.56	395.18	140.04	301.33	153.34	267.73	135.24	228.13	156.59	186.4	185.11	255.0	175.07	387.02	307.69	260.38	126.12	267.73	173.85	353.59	341.51	92.05	146.03	106.63	66.65	59.97	81.14	53.95	52.82	68.07	62.56	90.77	68.07	64.8	53.95	54.72	46.18	291.04	166.73	144.01	127.89	84.63	53.19	74.58	125.24	154.42	107.38	271.48	173.85	182.55	131.51	99.43	106.63	273.37	132.44	293.07	105.15	91.41	161.02	164.42	255.0	92.05	120.94	346.29	305.55	194.36	229.72	164.42
MSS51	8.45	6.26	11.3	10.55	25.72	8.85	5.36	13.42	20.71	5.77	14.14	38.12	38.12	28.04	32.13	53.95	25.91	45.85	60.39	29.7	103.69	94.01	46.18	43.02	46.18	74.06	58.3	71.5	48.52	102.97	85.22	69.52	75.11	74.06	147.06	161.02	43.63	105.89	61.68	39.5	21.32	72.01	30.78	43.02	97.36	132.44	50.27	126.12	80.01	75.64	26.86	64.34	39.5	130.6	80.01	25.35	48.18	43.94	28.45	8.99	7.57	10.63	10.39	7.94	11.55	11.91	7.63	7.57	5.28	10.24	5.54	47.17	31.22	22.75	16.03	10.63	2.73	7.82	19.82	26.1	8.25	48.18	17.51	26.28	26.47	14.78	13.03	29.27	25.54	27.05	15.0	14.67	26.86	24.46	60.39	13.12	16.39	31.67	35.0	35.0	38.95	15.34
MTA1	563.18	718.08	1216.75	890.44	1066.48	848.22	842.36	921.88	1001.93	759.08	1044.52	1008.9	1467.37	1757.34	2451.44	1857.6	1936.53	1896.65	1896.65	1674.06	2915.45	2485.67	1674.06	1529.73	1745.2	2609.3	1721.16	2720.15	1909.85	2796.65	2303.12	2193.99	2468.49	1508.65	2664.15	2875.3	1781.89	2351.53	1769.57	1832.01	1216.75	1832.01	1498.22	1487.87	2384.37	2796.65	1794.29	2682.69	2119.22	1991.0	1561.89	2133.97	1583.71	2520.38	2485.67	1295.13	1883.54	1088.92	1008.9	819.3	723.08	638.15	854.13	684.02	1208.34	698.41	679.29	825.0	743.43	563.18	540.19	2255.7	1662.49	1617.0	791.35	1023.0	633.73	836.53	1066.48	1350.18	896.64	1350.18	1685.71	1378.57	1277.29	1008.9	928.3	1295.13	974.5	1936.53	1322.37	1081.39	995.0	1286.18	1963.57	1023.0	860.08	2351.53	1806.78	1259.69	1896.65	860.08
MUTYH	253.23	142.01	318.57	186.4	327.56	181.28	178.77	277.2	191.67	150.17	149.12	356.05	253.23	441.64	457.25	379.04	255.0	444.72	529.06	366.09	698.41	665.29	493.56	493.56	470.14	503.95	403.5	884.29	476.71	733.19	529.06	540.19	796.86	444.72	934.76	808.0	406.31	647.07	450.94	457.25	260.38	423.61	264.03	323.03	420.68	718.08	426.57	753.83	591.22	480.04	265.87	559.28	299.25	785.88	791.35	287.01	412.0	258.57	157.68	205.5	260.38	119.26	312.0	217.27	267.73	366.09	137.14	197.09	169.07	234.57	156.59	518.15	258.57	260.38	228.13	208.38	157.68	183.82	246.28	332.14	226.54	486.75	476.71	420.68	395.18	253.23	307.69	423.61	371.22	529.06	295.11	309.83	267.73	334.46	529.06	232.94	289.02	583.07	450.94	301.33	426.57	241.19
MZF1	189.02	115.97	199.85	127.89	214.27	130.6	149.12	166.73	143.01	143.01	137.14	303.44	343.89	361.04	423.61	599.49	403.5	703.28	738.29	583.07	1199.98	1015.93	775.05	607.87	612.11	1001.93	603.67	624.99	713.11	1096.5	947.83	1015.93	1769.57	638.15	842.36	1191.69	466.88	1159.07	684.02	540.19	323.03	698.41	518.15	480.04	733.19	1073.91	470.14	1183.45	981.29	1051.79	476.71	665.29	500.46	1096.5	848.22	532.74	620.67	262.2	220.32	198.47	301.33	152.28	223.41	228.13	273.37	221.86	201.25	202.66	211.31	146.03	202.66	830.75	490.14	470.14	199.85	260.38	152.28	134.3	205.5	305.55	212.78	400.71	406.31	329.84	334.46	248.0	144.01	356.05	221.86	543.96	316.37	285.03	318.57	389.72	728.11	256.78	246.28	713.11	460.44	329.84	559.28	178.77
NBPF9	242.88	299.25	260.38	281.09	473.41	228.13	358.54	244.57	285.03	271.48	334.46	532.74	409.15	460.44	612.11	698.41	607.87	638.15	954.43	490.14	796.86	872.1	463.65	567.1	483.38	796.86	473.41	902.89	941.27	884.29	674.59	743.43	860.08	599.49	791.35	1135.2	961.07	1001.93	825.0	521.76	483.38	785.88	947.83	607.87	884.29	1088.92	775.05	728.11	785.88	854.13	486.75	555.41	551.56	961.07	748.61	450.94	1037.29	269.6	229.72	198.47	208.38	273.37	205.5	244.57	237.86	195.72	208.38	202.66	220.32	279.14	165.57	423.61	358.54	343.89	348.71	363.56	164.42	269.6	318.57	232.94	287.01	511.0	412.0	392.44	299.25	323.03	253.23	603.67	551.56	713.11	376.41	305.55	423.61	525.39	497.0	283.05	358.54	476.71	314.17	511.0	532.74	237.86
NEIL1	52.82	191.67	166.73	159.9	215.77	150.17	81.71	241.19	156.59	91.41	147.06	420.68	363.56	281.09	351.14	633.73	346.29	890.44	660.68	476.71	1378.57	1369.04	693.58	587.13	713.11	1286.18	444.72	934.76	669.92	848.22	1225.22	860.08	1417.35	684.02	1697.45	1950.0	836.53	1001.93	1151.06	854.13	279.14	909.17	463.65	503.95	1388.16	1242.34	693.58	1757.34	1388.16	1096.5	460.44	1088.92	579.04	1685.71	1540.37	665.29	708.18	258.57	126.12	253.23	111.99	138.1	187.71	141.02	318.57	187.71	180.02	202.66	134.3	74.58	80.57	718.08	299.25	343.89	105.15	100.13	70.51	100.13	157.68	232.94	232.94	616.37	466.88	460.44	480.04	376.41	176.29	624.99	392.44	866.07	343.89	246.28	348.71	486.75	1073.91	127.0	339.14	277.2	438.59	323.03	591.22	215.77
NEURL4	299.25	217.27	595.34	353.59	301.33	206.94	273.37	323.03	309.83	217.27	283.05	366.09	547.75	525.39	532.74	638.15	483.38	733.19	896.64	536.45	860.08	825.0	842.36	651.58	587.13	872.1	708.18	1081.39	967.76	1023.0	612.11	718.08	1242.34	684.02	1030.12	1208.34	669.92	1001.93	703.28	854.13	432.53	718.08	409.15	595.34	698.41	1175.27	753.83	1023.0	954.43	902.89	587.13	753.83	638.15	890.44	890.44	571.05	713.11	348.71	244.57	202.66	264.03	241.19	368.65	299.25	297.17	361.04	138.1	262.2	202.66	301.33	119.26	426.57	353.59	389.72	269.6	217.27	154.42	204.07	237.86	529.06	221.86	507.46	392.44	457.25	371.22	267.73	269.6	395.18	258.57	642.59	387.02	307.69	493.56	463.65	579.04	248.0	356.05	563.18	320.8	363.56	665.29	193.01
NICN1	78.34	201.25	221.86	265.87	154.42	242.88	234.57	228.13	218.79	201.25	139.07	262.2	305.55	217.27	244.57	363.56	358.54	447.82	438.59	684.02	651.58	878.17	819.3	591.22	713.11	738.29	651.58	591.22	447.82	612.11	866.07	759.08	934.76	629.35	698.41	941.27	490.14	713.11	759.08	638.15	305.55	679.29	293.07	400.71	785.88	660.68	743.43	1096.5	620.67	514.56	540.19	483.38	454.09	995.0	656.11	579.04	543.96	289.02	281.09	395.18	267.73	237.86	441.64	258.57	351.14	291.04	251.48	318.57	182.55	287.01	201.25	353.59	327.56	309.83	171.45	361.04	182.55	169.07	307.69	518.15	197.09	409.15	229.72	197.09	334.46	279.14	205.5	356.05	283.05	353.59	221.86	234.57	314.17	351.14	780.44	122.64	217.27	124.37	277.2	332.14	392.44	108.9
NKTR	145.02	285.03	256.78	130.6	363.56	195.72	214.27	366.09	229.72	204.07	236.21	466.88	669.92	521.76	819.3	1378.57	579.04	1551.09	1529.73	866.07	1923.14	2193.99	1295.13	1313.23	1259.69	2351.53	1073.91	2133.97	1369.04	1088.92	2720.15	1991.0	1936.53	1781.89	1467.37	1909.85	928.3	1519.15	1594.73	1259.69	599.49	988.12	1015.93	825.0	1883.54	1277.29	1167.14	2384.37	1359.57	1313.23	703.28	1191.69	954.43	1991.0	1295.13	651.58	1397.83	239.52	273.37	493.56	293.07	343.89	303.44	163.28	389.72	303.44	256.78	176.29	314.17	356.05	167.9	1277.29	366.09	559.28	361.04	309.83	102.97	209.84	379.04	571.05	141.02	1467.37	361.04	316.37	486.75	269.6	242.88	808.0	463.65	860.08	198.47	387.02	297.17	403.5	688.78	169.07	289.02	518.15	271.48	647.07	921.88	221.86
