	TCGA.AK.3447.01A.01R.1766.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.KK.A6DY.01A.12R.A311.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.G9.6348.01A.11R.1789.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.V1.A9OA.01A.11R.A41O.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.KK.A8IH.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.ZTX8.1026.SM.5EGHD
SECISBP2	327.56	332.14	718.08	688.78	759.08	638.15	896.64	764.36	713.11	813.63	607.87	1059.11	878.17	890.44	974.5	775.05	759.08	974.5	890.44	884.29	633.73	412.0	896.64	651.58	860.08	860.08	703.28	921.88	884.29	579.04	1088.92	866.07	769.69	890.44	884.29	872.1	764.36	825.0	450.94	540.19	514.56	836.53	743.43	974.5	1331.57	764.36	624.99	1037.29	909.17	775.05	921.88	878.17	947.83	612.11	764.36	878.17	529.06	708.18	878.17	775.05	954.43	1096.5	928.3	713.11	733.19	1008.9	684.02	441.64	629.35	934.76	836.53	902.89	642.59	819.3	759.08	775.05	796.86	934.76	738.29	802.41	764.36	890.44	854.13	718.08	728.11	808.0	902.89	921.88	872.1	1447.15	1030.12	718.08	775.05	872.1	1119.56	1037.29	1407.55	728.11	848.22	1008.9	796.86	813.63	759.08	587.13	713.11	1023.0	872.1	688.78	902.89	921.88	1208.34	1378.57	698.41	780.44	921.88	819.3	1051.79	660.68	890.44	884.29	941.27	503.95	647.07	753.83	753.83	607.87	753.83	713.11	1008.9	825.0	967.76	819.3	591.22	890.44	791.35	866.07	813.63	842.36	656.11	620.67	896.64	813.63	486.75	500.46	616.37	514.56	713.11	813.63	476.71	397.93
SEMA4D	46.84	14.89	301.33	262.2	303.44	490.14	305.55	587.13	204.07	426.57	323.03	423.61	281.09	414.87	536.45	237.86	426.57	460.44	387.02	642.59	323.03	173.85	371.22	228.13	389.72	435.55	295.11	529.06	525.39	339.14	409.15	356.05	341.51	438.59	480.04	387.02	381.68	406.31	283.05	381.68	265.87	336.79	532.74	438.59	493.56	297.17	273.37	587.13	438.59	358.54	381.68	356.05	587.13	363.56	387.02	392.44	447.82	389.72	497.0	438.59	563.18	525.39	575.03	486.75	532.74	616.37	248.0	301.33	336.79	603.67	633.73	406.31	387.02	305.55	329.84	275.28	438.59	348.71	351.14	339.14	373.81	381.68	412.0	470.14	429.54	540.19	356.05	371.22	327.56	414.87	316.37	400.71	607.87	466.88	511.0	316.37	599.49	463.65	397.93	497.0	260.38	555.41	256.78	429.54	358.54	460.44	406.31	305.55	277.2	521.76	447.82	511.0	285.03	486.75	429.54	339.14	463.65	309.83	293.07	426.57	363.56	277.2	341.51	483.38	341.51	454.09	285.03	423.61	764.36	366.09	599.49	368.65	480.04	432.53	316.37	318.57	336.79	368.65	480.04	334.46	493.56	503.95	178.77	368.65	371.22	327.56	323.03	329.84	460.44	339.14
SETD5	55.49	138.1	616.37	327.56	633.73	591.22	607.87	679.29	387.02	764.36	466.88	738.29	769.69	915.51	974.5	555.41	698.41	1096.5	842.36	961.07	507.46	332.14	728.11	521.76	759.08	988.12	503.95	733.19	802.41	540.19	909.17	819.3	674.59	612.11	1059.11	607.87	624.99	651.58	368.65	624.99	447.82	753.83	638.15	1015.93	928.3	529.06	583.07	1008.9	791.35	563.18	780.44	417.77	1088.92	674.59	743.43	780.44	723.08	529.06	1044.52	738.29	872.1	1135.2	860.08	872.1	848.22	587.13	493.56	307.69	529.06	723.08	1397.83	587.13	395.18	555.41	579.04	486.75	813.63	426.57	718.08	490.14	480.04	819.3	665.29	748.61	808.0	947.83	878.17	753.83	915.51	866.07	748.61	759.08	579.04	518.15	1662.49	1225.22	1295.13	595.34	529.06	1127.35	688.78	780.44	441.64	480.04	447.82	819.3	813.63	356.05	775.05	1037.29	684.02	753.83	575.03	688.78	802.41	612.11	1175.27	579.04	616.37	684.02	638.15	389.72	688.78	638.15	358.54	703.28	620.67	435.55	769.69	460.44	1059.11	743.43	500.46	1023.0	656.11	591.22	607.87	759.08	928.3	743.43	802.41	872.1	305.55	536.45	802.41	633.73	738.29	624.99	409.15	540.19
SETDB1	177.53	133.36	406.31	384.34	412.0	435.55	371.22	547.75	381.68	540.19	327.56	444.72	450.94	555.41	638.15	366.09	429.54	633.73	483.38	665.29	277.2	325.29	480.04	381.68	444.72	599.49	441.64	507.46	575.03	403.5	629.35	435.55	497.0	429.54	595.34	503.95	438.59	511.0	384.34	414.87	417.77	435.55	480.04	480.04	591.22	327.56	426.57	656.11	529.06	444.72	454.09	384.34	579.04	486.75	518.15	483.38	529.06	343.89	587.13	432.53	612.11	669.92	511.0	532.74	579.04	703.28	384.34	346.29	450.94	476.71	616.37	486.75	384.34	473.41	511.0	389.72	493.56	406.31	457.25	412.0	486.75	476.71	435.55	426.57	500.46	591.22	518.15	559.28	414.87	532.74	409.15	483.38	403.5	595.34	738.29	490.14	693.58	400.71	406.31	708.18	447.82	555.41	403.5	480.04	384.34	493.56	463.65	366.09	497.0	571.05	954.43	521.76	392.44	454.09	466.88	373.81	587.13	351.14	346.29	460.44	603.67	363.56	353.59	373.81	301.33	486.75	426.57	514.56	656.11	395.18	532.74	470.14	381.68	775.05	392.44	435.55	521.76	483.38	503.95	490.14	438.59	543.96	343.89	346.29	450.94	368.65	363.56	457.25	325.29	341.51
SGK494	0.45	3.11	48.52	33.06	20.56	47.17	79.45	131.51	28.45	101.54	44.25	60.39	84.04	110.43	224.97	57.49	50.63	170.25	67.12	112.77	47.17	22.92	91.41	10.31	63.0	119.26	47.84	90.14	155.5	23.08	166.73	50.27	66.18	109.66	131.51	32.82	68.55	111.99	17.25	20.71	19.82	77.79	49.91	105.15	221.86	37.05	21.47	96.68	65.26	35.0	87.03	59.97	147.06	65.26	63.0	49.21	44.57	18.29	143.01	57.89	175.07	211.31	144.01	109.66	142.01	182.55	26.1	15.8	27.25	84.63	136.19	78.34	39.22	67.12	60.39	19.39	149.12	67.59	53.57	67.59	75.64	56.68	88.26	60.39	50.98	143.01	70.51	127.0	38.4	98.73	69.52	21.47	54.72	133.36	150.17	74.58	108.14	49.91	63.45	153.34	92.05	146.03	11.04	33.78	36.79	157.68	71.5	56.68	60.82	148.09	193.01	134.3	46.84	32.82	59.13	42.41	130.6	22.26	66.65	98.04	81.71	22.1	33.06	55.89	16.15	145.02	38.95	78.89	149.12	40.64	156.59	72.52	83.45	99.43	49.91	60.39	97.36	38.12	47.5	58.71	69.52	114.36	13.32	20.86	17.13	18.56	43.94	45.85	11.73	13.32
SIN3B	56.28	63.0	414.87	412.0	483.38	521.76	476.71	1001.93	444.72	819.3	444.72	591.22	698.41	890.44	934.76	435.55	555.41	748.61	551.56	1208.34	493.56	348.71	579.04	312.0	507.46	819.3	511.0	860.08	884.29	457.25	825.0	647.07	607.87	660.68	759.08	511.0	633.73	819.3	264.03	555.41	395.18	698.41	656.11	764.36	743.43	432.53	368.65	624.99	669.92	457.25	563.18	473.41	836.53	444.72	603.67	511.0	454.09	356.05	941.27	423.61	974.5	764.36	842.36	866.07	884.29	748.61	341.51	426.57	441.64	825.0	1044.52	463.65	293.07	559.28	511.0	450.94	791.35	429.54	669.92	525.39	688.78	587.13	551.56	457.25	518.15	896.64	547.75	775.05	450.94	514.56	420.68	476.71	540.19	825.0	981.29	575.03	642.59	543.96	587.13	1135.2	555.41	612.11	320.8	429.54	547.75	599.49	620.67	493.56	595.34	915.51	743.43	607.87	336.79	698.41	529.06	438.59	688.78	368.65	507.46	620.67	665.29	336.79	470.14	463.65	316.37	884.29	490.14	525.39	791.35	403.5	934.76	555.41	665.29	785.88	429.54	579.04	603.67	486.75	647.07	543.96	698.41	1225.22	217.27	518.15	540.19	555.41	555.41	563.18	356.05	346.29
SLC25A27	7.4	34.26	348.71	733.19	150.17	224.97	974.5	1457.23	651.58	1208.34	190.34	620.67	1088.92	1331.57	947.83	420.68	507.46	1508.65	718.08	1697.45	426.57	163.28	1183.45	123.5	329.84	1001.93	819.3	802.41	1359.57	135.24	1340.84	819.3	1135.2	1175.27	1340.84	366.09	825.0	1498.22	59.55	90.14	239.52	759.08	555.41	1151.06	1487.87	915.51	138.1	1104.13	1023.0	563.18	591.22	1427.22	1073.91	194.36	1159.07	842.36	157.68	217.27	1709.26	368.65	1674.06	2485.67	1733.13	1073.91	1369.04	1322.37	1242.34	312.0	215.77	1044.52	1044.52	967.76	406.31	796.86	665.29	400.71	1015.93	297.17	651.58	620.67	1605.83	438.59	1051.79	214.27	303.44	860.08	825.0	1359.57	253.23	890.44	583.07	183.82	607.87	1819.35	1088.92	420.68	1769.57	813.63	1023.0	1639.59	769.69	2104.58	348.71	242.88	848.22	1135.2	759.08	571.05	890.44	1183.45	2018.8	1583.71	264.03	651.58	679.29	140.04	1268.46	145.02	420.68	674.59	995.0	88.26	147.06	159.9	224.97	1662.49	172.65	1551.09	3491.39	785.88	1963.57	412.0	1674.06	1225.22	189.02	1175.27	1697.45	163.28	232.94	236.21	563.18	1331.57	131.51	156.59	70.01	105.15	181.28	698.41	82.87	73.54
SLC35E2B	40.36	100.13	703.28	336.79	620.67	441.64	587.13	819.3	493.56	723.08	688.78	460.44	599.49	1051.79	1487.87	327.56	708.18	1037.29	708.18	1143.1	518.15	420.68	1073.91	518.15	802.41	884.29	444.72	647.07	1037.29	579.04	802.41	551.56	638.15	974.5	1199.98	490.14	571.05	915.51	575.03	339.14	307.69	1015.93	759.08	1073.91	866.07	343.89	698.41	718.08	738.29	444.72	669.92	591.22	974.5	703.28	693.58	454.09	660.68	536.45	954.43	884.29	679.29	447.82	884.29	848.22	813.63	1044.52	595.34	420.68	521.76	802.41	1183.45	718.08	392.44	599.49	884.29	483.38	438.59	733.19	583.07	490.14	1104.13	743.43	536.45	698.41	915.51	723.08	915.51	780.44	902.89	967.76	967.76	563.18	796.86	915.51	1617.0	753.83	1662.49	629.35	503.95	1001.93	733.19	1081.39	651.58	507.46	532.74	974.5	878.17	473.41	915.51	1135.2	1001.93	1015.93	559.28	579.04	733.19	638.15	902.89	599.49	599.49	703.28	1051.79	620.67	890.44	647.07	320.8	665.29	447.82	563.18	1350.18	642.59	961.07	438.59	825.0	1583.71	854.13	728.11	1037.29	457.25	587.13	785.88	490.14	733.19	232.94	599.49	511.0	389.72	620.67	493.56	432.53	334.46
SLTM	142.01	412.0	1135.2	728.11	1216.75	941.27	1183.45	1135.2	1208.34	1111.82	915.51	1001.93	1175.27	1191.69	1388.16	866.07	1059.11	1313.23	1127.35	1529.73	1023.0	902.89	1037.29	915.51	934.76	1417.35	988.12	1051.79	1167.14	819.3	1286.18	1259.69	1135.2	1096.5	1340.84	1088.92	1159.07	1143.1	813.63	698.41	947.83	1104.13	981.29	1135.2	1350.18	872.1	753.83	1508.65	1208.34	1008.9	1417.35	1216.75	1519.15	941.27	1111.82	1001.93	961.07	921.88	1397.83	967.76	1369.04	1340.84	1111.82	1286.18	1242.34	1233.75	896.64	791.35	842.36	1304.15	1467.37	1143.1	934.76	1015.93	1378.57	802.41	1208.34	1066.48	1023.0	1044.52	1044.52	1127.35	1151.06	928.3	947.83	1143.1	1119.56	1295.13	967.76	1111.82	1023.0	974.5	981.29	1104.13	1639.59	1037.29	1498.22	1104.13	1051.79	1447.15	1119.56	1175.27	1167.14	860.08	921.88	1369.04	1001.93	1030.12	1111.82	1242.34	1561.89	1037.29	890.44	1119.56	1051.79	813.63	1073.91	878.17	866.07	1111.82	1111.82	647.07	872.1	753.83	638.15	1199.98	915.51	836.53	1277.29	884.29	1044.52	1159.07	1088.92	1407.55	884.29	967.76	1104.13	967.76	1143.1	866.07	1037.29	1259.69	497.0	802.41	928.3	934.76	1001.93	1104.13	825.0	708.18
SPDYE1	0.4	1.5	2.81	1.38	3.82	2.32	1.35	6.41	3.76	6.46	2.58	6.46	5.63	4.35	3.96	0.97	3.53	7.82	4.82	6.89	3.0	1.45	5.06	2.92	2.25	7.0	3.53	3.17	5.11	1.51	6.16	2.97	5.11	8.65	9.27	3.79	4.06	3.96	3.53	3.29	0.64	5.36	4.5	9.2	9.78	6.41	3.79	5.36	6.26	6.11	2.23	5.06	4.5	1.91	7.06	1.43	3.99	4.06	6.67	4.28	9.41	2.01	5.59	4.39	8.13	10.31	2.76	1.43	2.73	4.21	9.06	3.63	2.86	3.53	4.39	1.83	7.34	3.41	2.27	1.87	4.94	3.08	5.82	1.48	3.26	7.28	5.32	5.36	2.66	7.88	0.0	2.76	4.21	7.51	14.56	4.21	5.87	2.41	5.68	6.46	2.63	8.0	1.81	2.73	3.79	4.46	3.0	3.0	6.41	6.62	8.65	5.63	3.99	7.06	3.56	1.89	7.34	0.66	3.26	4.9	8.78	2.25	3.17	1.91	0.66	8.0	2.29	7.34	6.84	2.61	10.08	4.58	5.82	10.79	1.66	3.47	5.28	2.92	4.82	2.29	3.79	6.89	1.89	1.91	1.89	2.89	2.25	1.06	2.2	1.5
SPDYE2	0.0	9.63	8.45	13.93	5.06	15.34	32.13	32.36	23.42	29.48	4.98	23.59	14.89	27.05	26.47	3.89	17.38	37.05	19.39	35.25	11.91	9.56	17.51	4.1	10.39	23.42	18.7	30.34	49.21	3.63	26.1	22.75	25.91	33.78	32.36	13.93	24.46	29.06	3.56	8.58	8.38	27.64	23.25	33.78	44.89	21.01	7.06	26.28	12.18	24.99	12.64	15.0	18.03	12.0	27.44	8.58	10.88	8.45	21.16	15.11	50.27	7.88	33.3	21.47	44.89	23.42	13.72	17.64	16.63	26.1	31.67	17.0	11.38	20.71	13.72	3.03	24.46	9.48	20.86	8.38	11.47	27.84	26.67	15.11	21.63	24.28	10.24	27.05	10.79	36.01	6.84	3.63	12.0	27.64	40.36	14.78	35.25	15.56	11.38	31.9	31.45	10.63	10.96	12.36	32.36	28.24	23.08	17.0	8.19	33.54	31.22	26.67	9.78	37.05	17.51	7.69	30.12	11.55	20.86	22.92	37.05	9.56	14.67	8.58	5.23	22.43	4.35	17.0	25.72	12.64	32.13	19.68	28.86	25.17	4.86	19.11	18.7	16.15	15.11	9.41	30.56	38.12	10.71	4.46	11.04	15.56	12.83	19.97	6.62	15.34
SPIN3	31.9	15.91	107.38	58.3	110.43	87.65	124.37	150.17	72.01	149.12	55.49	108.14	115.97	161.02	134.3	132.44	96.01	163.28	152.28	140.04	63.89	55.1	153.34	66.18	152.28	186.4	101.54	125.24	139.07	90.77	167.9	132.44	142.01	107.38	176.29	127.0	126.12	107.38	47.17	72.52	59.97	126.12	104.42	150.17	208.38	108.14	71.5	201.25	136.19	115.16	194.36	97.36	177.53	81.14	134.3	176.29	101.54	107.38	157.68	117.6	122.64	187.71	134.3	155.5	161.02	221.86	58.71	64.8	59.13	152.28	177.53	124.37	57.89	114.36	122.64	80.57	134.3	113.56	136.19	73.03	105.15	124.37	118.43	78.34	103.69	194.36	137.14	163.28	135.24	208.38	135.24	115.16	94.67	158.79	251.48	149.12	201.25	90.14	107.38	271.48	108.14	137.14	127.89	87.65	76.71	130.6	121.79	78.34	154.42	194.36	232.94	158.79	80.01	124.37	137.14	81.14	136.19	67.12	92.7	82.87	146.03	72.52	130.6	75.11	70.01	134.3	84.63	100.83	144.01	97.36	178.77	115.97	107.38	164.42	119.26	92.05	123.5	137.14	113.56	126.12	133.36	124.37	112.77	54.72	108.14	63.0	122.64	131.51	63.0	74.58
SRSF11	325.29	583.07	1594.73	1135.2	2090.03	1350.18	1977.24	2997.45	1388.16	2451.44	1119.56	2119.22	2573.36	2720.15	2434.5	1208.34	1857.6	3146.52	2417.67	3639.7	1477.58	1397.83	2271.4	1208.34	1936.53	3235.01	1870.53	2287.2	2591.27	1081.39	3768.09	2351.53	2335.28	2018.8	3467.27	2075.59	2287.2	2777.33	1051.79	1167.14	1572.76	2240.11	1583.71	3235.01	2384.37	1977.24	1216.75	4769.75	2451.44	1769.57	4181.07	2319.15	3325.99	1896.65	2417.67	2468.49	1340.84	1745.2	3190.46	2163.77	3168.41	3690.52	2816.11	2468.49	2417.67	2537.92	1369.04	1175.27	1322.37	2645.74	3639.7	2148.82	1508.65	2255.7	2609.3	1250.98	2777.33	1936.53	2351.53	1923.14	2047.0	2148.82	2434.5	1437.15	1498.22	2609.3	2537.92	2627.46	1508.65	2468.49	2104.58	1757.34	1605.83	2627.46	4512.4	2796.65	3325.99	1639.59	2451.44	2915.45	2209.26	2935.74	2303.12	1407.55	1529.73	3039.3	2287.2	1628.26	2720.15	3372.43	3467.27	2502.97	1216.75	2133.97	2104.58	1407.55	2319.15	1819.35	1628.26	1991.0	2609.3	1073.91	1819.35	1457.23	915.51	2163.77	1617.0	2434.5	2701.35	1477.58	2956.17	1832.01	2645.74	2997.45	1605.83	2004.85	2555.58	1870.53	1769.57	1709.26	2400.97	2468.49	1639.59	1135.2	1457.23	1151.06	1594.73	2255.7	995.0	1378.57
SSBP3-AS1	0.0	0.83	3.35	9.56	2.27	6.41	3.35	22.75	1.66	11.3	2.23	6.06	2.66	23.42	15.0	4.54	7.34	16.63	12.36	28.65	4.9	1.36	11.55	6.36	4.5	11.47	9.13	12.36	17.64	6.52	13.93	5.68	8.58	3.86	12.36	3.14	9.85	17.9	0.0	2.92	3.06	4.9	5.73	18.16	4.98	6.89	0.0	2.71	15.0	5.73	10.88	2.76	10.31	4.66	7.69	8.71	1.41	4.78	14.56	8.13	25.17	19.39	13.93	10.96	25.54	20.71	6.06	1.79	11.3	4.94	20.56	5.11	8.19	2.78	5.54	0.0	11.82	1.36	4.54	5.87	10.39	7.22	0.0	4.58	7.11	12.18	3.14	9.27	2.73	8.99	14.56	4.21	10.55	17.64	13.42	10.08	21.32	5.77	5.19	27.84	1.83	16.63	6.94	5.54	6.62	13.12	8.71	4.46	8.65	21.78	11.47	7.75	0.0	3.69	6.46	0.0	11.64	2.34	3.44	7.82	7.17	2.27	1.41	5.54	1.39	18.7	1.39	7.46	38.12	2.68	16.27	10.08	8.92	11.91	2.84	3.66	15.11	5.15	4.66	7.22	3.14	30.78	0.0	4.17	3.66	6.84	4.03	4.54	1.35	1.77
STAT2	77.79	555.41	934.76	921.88	934.76	974.5	1167.14	1870.53	872.1	1175.27	775.05	1199.98	1457.23	1617.0	1674.06	878.17	1427.22	1769.57	1529.73	2384.37	884.29	842.36	1963.57	718.08	1572.76	2104.58	1066.48	1286.18	1733.13	974.5	1709.26	902.89	1135.2	981.29	1721.16	1457.23	1216.75	1457.23	813.63	896.64	571.05	1359.57	1437.15	1909.85	2739.08	825.0	825.0	2537.92	1340.84	1151.06	1651.0	1175.27	2133.97	1651.0	1313.23	1340.84	1277.29	1008.9	2047.0	1111.82	1857.6	1540.37	1519.15	1794.29	1322.37	1572.76	616.37	921.88	759.08	2367.9	1883.54	1397.83	656.11	1388.16	995.0	733.19	1832.01	1340.84	1388.16	1037.29	1088.92	1233.75	1388.16	1268.46	1250.98	1508.65	1388.16	1427.22	1143.1	909.17	808.0	1051.79	1233.75	1709.26	2682.69	1674.06	1594.73	1242.34	1781.89	1519.15	1268.46	1651.0	808.0	1015.93	1167.14	1313.23	1832.01	769.69	1191.69	2018.8	1427.22	1745.2	902.89	1175.27	1397.83	1001.93	1427.22	866.07	1143.1	1359.57	1407.55	947.83	928.3	1001.93	796.86	1457.23	915.51	1135.2	1819.35	947.83	1397.83	1286.18	1081.39	1250.98	1127.35	1277.29	1225.22	1233.75	1044.52	1167.14	1073.91	1909.85	738.29	753.83	1051.79	796.86	1242.34	954.43	738.29	769.69
STX16	80.57	151.22	429.54	363.56	403.5	400.71	493.56	967.76	521.76	728.11	389.72	651.58	555.41	813.63	743.43	563.18	493.56	981.29	603.67	1322.37	454.09	314.17	698.41	320.8	426.57	836.53	575.03	703.28	860.08	363.56	785.88	802.41	583.07	563.18	780.44	432.53	591.22	753.83	334.46	325.29	327.56	607.87	529.06	802.41	947.83	559.28	297.17	909.17	674.59	432.53	974.5	616.37	836.53	417.77	607.87	575.03	392.44	368.65	1023.0	444.72	1175.27	1111.82	947.83	836.53	819.3	780.44	551.56	361.04	343.89	808.0	1208.34	555.41	470.14	518.15	551.56	384.34	769.69	435.55	587.13	543.96	647.07	543.96	669.92	444.72	417.77	713.11	579.04	738.29	620.67	688.78	647.07	346.29	532.74	764.36	1304.15	444.72	995.0	555.41	665.29	1073.91	684.02	780.44	447.82	358.54	493.56	860.08	493.56	529.06	543.96	947.83	878.17	1175.27	363.56	599.49	525.39	463.65	785.88	348.71	595.34	567.1	708.18	305.55	444.72	368.65	273.37	961.07	432.53	603.67	1001.93	470.14	981.29	547.75	808.0	1030.12	429.54	660.68	656.11	381.68	476.71	470.14	633.73	1059.11	318.57	400.71	376.41	417.77	476.71	595.34	291.04	287.01
